fold_id,final_score,label,regime_adjusted_score,tp_level,sl_level,tp_sl_outcome,confidence,ev,ticker,date,sector,strategy,tp_pct,sl_pct,max_holding_days,rr_ratio,risk_benefit_score,sim_entry_date,sim_actual_entry_date,entry_price,tp_price,sl_price,sim_outcome,sim_days_to_outcome,sim_outcome_date
2024Q4,0.553,1,0.596,0.04,0.08,TP,0.553,-0.013,BMY,2024-12-31,Healthcare,conservative,0.04,0.08,91,0.521,-0.015,2025-02-14,2025-02-14,53.9,56.23,49.44,TP,10,2025-02-24
2024Q4,0.469,1,0.431,0.07,0.05,TP,0.469,0.007,BR,2024-12-31,Professional Services,conservative,0.07,0.05,91,1.461,0.01,2025-02-14,2025-02-14,240.33,257.33,228.69,SL,25,2025-03-11
2024Q4,0.559,1,0.515,0.05,0.03,TP,0.559,0.012,BRK-B,2024-12-31,Financials,conservative,0.05,0.03,91,1.446,0.016,2025-02-14,2025-02-14,479.59,501.54,464.4,TP,13,2025-02-27
2024Q4,0.215,1,0.172,0.09,0.04,TP,0.215,-0.016,BRO,2024-12-31,Financials,conservative,0.09,0.04,91,1.977,-0.024,2025-02-14,2025-02-14,110.6,120.35,105.67,TP,38,2025-03-24
2024Q4,0.409,1,0.385,0.07,0.03,TP,0.409,0.009,BSX,2024-12-31,Health Care,conservative,0.07,0.03,91,2.1,0.014,2025-02-14,2025-02-14,106.11,113.79,102.45,SL,11,2025-02-25
2024Q4,0.84,0,0.797,0.05,0.11,SL,0.84,0.028,BWA,2024-12-31,Auto Components,conservative,0.05,0.11,91,0.495,0.032,2025-02-14,2025-02-14,30.22,31.86,26.9,SL,49,2025-04-04
2024Q4,0.228,0,0.185,0.12,0.07,SL,0.228,-0.031,BX,2024-12-31,Financials,conservative,0.12,0.07,91,1.581,-0.043,2025-02-14,2025-02-14,164.84,184.37,152.49,SL,18,2025-03-04
2024Q4,0.529,0,0.554,0.05,0.08,SL,0.529,-0.012,BXP,2024-12-31,Real Estate,conservative,0.05,0.08,91,0.599,-0.014,2025-02-14,2025-02-14,70.88,74.28,65.21,SL,27,2025-03-13
2024Q4,0.59,1,0.621,0.05,0.07,TP,0.59,0.002,C,2024-12-31,Banking,conservative,0.05,0.07,91,0.742,0.002,2025-02-14,2025-02-14,84.61,89.06,78.62,SL,10,2025-02-24
2024Q4,0.632,0,0.678,0.03,0.07,SL,0.632,-0.007,CAG,2024-12-31,Consumer Staples,conservative,0.03,0.07,91,0.439,-0.007,2025-02-14,2025-02-14,25.28,26.08,23.45,TP,11,2025-02-25
