report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-06-30,5843000000.0,2285000000.0,856000000.0,5473000000.0,370000000.0,3089000000.0,1020000000.0,,1311000000.0,68000000.0,,,-1000000.0,,,202000000.0,99000000.0,111000000.0,103000000.0,3089000000.0,,49.8716,0.4772,,179000000.0,,,,0.05186880244088482,0.011637857265103543,0.019658860942468923,0.07856598016781083,0.13653699466056446,8.348648648648648,2.669392523364486,7340000000.0,,928000000.0,893000000.0,1562000000.0,,,,1.9775928297055059,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2015-09-30,5898000000.0,2289000000.0,865000000.0,5470000000.0,428000000.0,3073000000.0,1093000000.0,,1956000000.0,179000000.0,,,0.0,,,352000000.0,175000000.0,163000000.0,177000000.0,3073000000.0,,96.279,0.3097,,342000000.0,,,,0.09151329243353783,0.030349270939301457,0.051128249071693804,0.09049079754601227,0.17484662576687116,7.179906542056075,2.646242774566474,6979000000.0,,936000000.0,916000000.0,1561000000.0,,,,1.968609865470852,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2015-12-31,32882000000.0,7391000000.0,4375000000.0,27117000000.0,5434000000.0,,1518000000.0,,10653000000.0,-4325000000.0,-6382000000.0,1128000000.0,1344000000.0,-19.0,329000000.0,505000000.0,965000000.0,1236000000.0,-460000000.0,0.0,1.6894,,0.2518,-19.0,-3089000000.0,-1.1744571218255428,-0.1940879508545709,-0.5990800713414062,-0.40598892330798836,-0.13153092877562192,-0.7959146117040854,-0.04318032479113865,-0.2899652679996245,0.0,1.6893714285714285,14674000000.0,,-4040000000.0,26000000.0,-2474000000.0,,,,-0.0,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2016-03-31,5699000000.0,2294000000.0,1054000000.0,5326000000.0,373000000.0,2748000000.0,918000000.0,,579000000.0,144000000.0,,,-1000000.0,,,207000000.0,73000000.0,47000000.0,134000000.0,2748000000.0,,,0.3041,,191000000.0,,,,0.24870466321243523,0.025267590805404458,0.04613905799423262,0.231433506044905,0.3298791018998273,7.367292225201072,2.176470588235294,14499000000.0,,-3934000000.0,-46000000.0,-2377000000.0,,,,-1.156079091291544,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2016-06-30,31422000000.0,6364000000.0,4514000000.0,26278000000.0,5121000000.0,,1389000000.0,,5867000000.0,563000000.0,-189000000.0,561000000.0,46000000.0,0.0,315000000.0,873000000.0,622000000.0,622000000.0,251000000.0,0.0,,,0.3819,0.0,1185000000.0,-0.03690685413005272,-0.00601489402329578,-0.03221407874552582,0.09596045679222771,0.017917382725478964,0.1099394649482523,0.04278166013294699,0.2019771603886143,0.0,1.4098360655737705,19055000000.0,,-3439000000.0,102000000.0,-1371000000.0,,,,-0.0,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2016-09-30,5230000000.0,2116000000.0,1359000000.0,4710000000.0,520000000.0,2016000000.0,1218000000.0,,1509000000.0,394000000.0,,,20000000.0,,,231000000.0,239000000.0,153000000.0,-8000000.0,2016000000.0,,,0.3114,,547000000.0,,,,0.26110006626905236,0.07533460803059273,0.1553627760252366,-0.005301524188204109,0.36249171636845595,3.876923076923077,1.5570272259013982,18608000000.0,,-3224000000.0,-83000000.0,-1166000000.0,,,,-1.7289879931389365,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2016-12-31,30355000000.0,6395000000.0,4382000000.0,25863000000.0,4446000000.0,,1973000000.0,,4396000000.0,-574000000.0,-585000000.0,500000000.0,-49000000.0,-2.0,1000000.0,761000000.0,310000000.0,545000000.0,451000000.0,0.0,1.4279,,0.3691,-2.0,-29000000.0,-0.13157894736842105,-0.019271948608137045,-0.13307552320291174,-0.1305732484076433,-0.01890957008730028,-0.12910481331533963,0.10259326660600546,-0.0065969062784349405,0.0,1.4593792788680968,12351000000.0,,527000000.0,828000000.0,1894000000.0,,,,0.0,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2017-03-31,4816000000.0,1644000000.0,1088000000.0,4512000000.0,304000000.0,2039000000.0,885000000.0,,381000000.0,8000000.0,,,1000000.0,,,15000000.0,32000000.0,43000000.0,-17000000.0,2039000000.0,,,0.5775,,51000000.0,,,,0.02099737532808399,0.0016611295681063123,0.0034144259496372174,-0.04461942257217848,0.13385826771653545,6.707236842105263,1.5110294117647058,12153000000.0,,391000000.0,677000000.0,1754000000.0,,,,1.1624857468643102,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2017-06-30,4650000000.0,1492000000.0,272000000.0,4340000000.0,310000000.0,1000000.0,743000000.0,,747000000.0,-1000000.0,,,7000000.0,,,-137000000.0,55000000.0,85000000.0,-192000000.0,1000000.0,,,0.5383,,84000000.0,,,,-0.0013386880856760374,-0.00021505376344086021,-0.003215434083601286,-0.2570281124497992,0.11244979919678715,0.0032258064516129032,5.485294117647059,7033000000.0,,-173000000.0,234000000.0,653000000.0,,,,0.0015313935681470138,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2017-09-30,25470000000.0,4760000000.0,3705000000.0,21695000000.0,3690000000.0,,1223000000.0,,8132000000.0,758000000.0,-619000000.0,692000000.0,5000000.0,-1.0,317000000.0,806000000.0,760000000.0,789000000.0,46000000.0,0.0,,,0.8584,-1.0,1547000000.0,-0.16775067750677508,-0.0243031016882607,-0.07611903590752582,0.09321200196753567,0.02976050255202199,0.20542005420054202,0.005656665027053615,0.19023610427939006,0.0,1.2847503373819162,13656000000.0,,191000000.0,288000000.0,1653000000.0,,,,0.0,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2017-12-31,4404000000.0,1554000000.0,429000000.0,4329000000.0,75000000.0,39000000.0,837000000.0,,-7671000000.0,-960000000.0,,,-6000000.0,,,-683000000.0,-767000000.0,-749000000.0,-1450000000.0,39000000.0,1.3218,,1.0085,,-1709000000.0,,,,0.12514665623777865,-0.21798365122615804,-8.421052631578947,0.18902359535914484,0.22278712032329553,0.52,3.6223776223776225,1589000000.0,,-195000000.0,-1613000000.0,-27000000.0,,,,-1.4444444444444444,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2018-03-31,23752000000.0,4557000000.0,3708000000.0,21414000000.0,2258000000.0,,764000000.0,,2421000000.0,406000000.0,279000000.0,167000000.0,-1000000.0,0.0,322000000.0,357000000.0,358000000.0,235000000.0,-1000000.0,0.0,,,1.091,0.0,641000000.0,0.12356067316209035,0.011746379252273493,0.11524163568773234,0.16769929781082196,0.017093297406534185,0.17980513728963685,-0.0004130524576621231,0.2647666253614209,0.0,1.2289644012944985,3629000000.0,,203000000.0,-1597000000.0,563000000.0,,,,0.0,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2018-06-30,22947000000.0,4753000000.0,3663000000.0,20807000000.0,2071000000.0,,980000000.0,,5343000000.0,740000000.0,351000000.0,369000000.0,7000000.0,1.0,318000000.0,524000000.0,691000000.0,,-167000000.0,0.0,,,1.0329,1.0,740000000.0,0.16948334138097537,0.01529611713949536,0.06569343065693431,0.13849897061575894,0.032248224168736656,0.35731530661516175,-0.03125584877409695,0.13849897061575894,0.0,1.2975702975702976,8225000000.0,,944000000.0,-1572000000.0,1219000000.0,,,,0.0,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2018-09-30,11450000000.0,4285000000.0,2723000000.0,12367000000.0,-936000000.0,,1359000000.0,,7795000000.0,981000000.0,280000000.0,361000000.0,19000000.0,0.0,313000000.0,1082000000.0,345000000.0,,737000000.0,0.0,,,1.158,0.0,981000000.0,-0.29914529914529914,0.02445414847161572,0.0359204618345093,0.12584990378447722,0.08567685589519651,-1.0480769230769231,0.09454778704297627,0.12584990378447722,-0.0,1.5736320235034889,7888000000.0,,1167000000.0,-881000000.0,653000000.0,,,,0.0,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2018-12-31,10628000000.0,3600000000.0,2398000000.0,11843000000.0,-1234000000.0,,563000000.0,,-6081000000.0,-1145000000.0,-642000000.0,-414000000.0,-18000000.0,-1.0,-645000000.0,-586000000.0,-1006000000.0,,-1592000000.0,0.0,1.5013,43.0007,1.238,-1.0,-1145000000.0,0.520259319286872,-0.06040647346631539,0.10557474099654662,0.18829139944088144,-0.10773428678961235,0.9278768233387358,0.261799046209505,0.18829139944088144,-0.0,1.5012510425354462,9478000000.0,268000000.0,982000000.0,-1023000000.0,1217000000.0,483000000.0,0.0,0.0,0.0,2.0331262939958594,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2019-03-31,9530000000.0,3458000000.0,1945000000.0,11050000000.0,-1538000000.0,,859000000.0,,2165000000.0,221000000.0,482000000.0,114000000.0,4000000.0,1.0,280000000.0,-127000000.0,49000000.0,,-176000000.0,0.0,,24.7991,1.2434,1.0,221000000.0,-0.31339401820546164,0.050577124868835255,0.22263279445727482,0.10207852193995381,0.023189926547743968,-0.14369310793237972,-0.08129330254041571,0.10207852193995381,-0.0,1.777892030848329,9222000000.0,471000000.0,797000000.0,-1198000000.0,797000000.0,430000000.0,1.0,1.0,0.0,1.8534883720930233,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2019-06-30,9171000000.0,3045000000.0,2294000000.0,10800000000.0,-1648000000.0,,294000000.0,,4630000000.0,541000000.0,683000000.0,219000000.0,3000000.0,2.49,274000000.0,389000000.0,107000000.0,,282000000.0,0.0,,15.8017,1.0097,2.49,541000000.0,-0.41444174757281554,0.07447388507251118,0.14751619870410368,0.11684665226781857,0.0589902954966743,-0.3282766990291262,0.06090712742980561,0.11684665226781857,-0.0,1.3273757628596339,8509000000.0,803000000.0,598000000.0,-749000000.0,598000000.0,280000000.0,2.49,2.49,0.0,2.1357142857142857,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2019-09-30,9527000000.0,3187000000.0,2564000000.0,11079000000.0,-1571000000.0,,243000000.0,251985517.0,7626000000.0,1081000000.0,1055000000.0,318000000.0,9000000.0,3.94,268000000.0,861000000.0,183000000.0,,678000000.0,0.0,,9.6053,1.0762,3.94,1081000000.0,-0.671546785486951,0.11073790280256114,0.13834251245738263,0.14175190138998164,0.11346698855883279,-0.6880967536600892,0.0889063729346971,0.14175190138998164,-0.0,1.2429797191887675,8340000000.0,1578000000.0,698000000.0,-808000000.0,698000000.0,237000000.0,6.43,6.43,0.0,2.9451476793248945,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2019-12-31,12531000000.0,3088000000.0,2359000000.0,10853000000.0,1658000000.0,,345000000.0,,-4600000000.0,-553000000.0,2218000000.0,-238000000.0,-3350000000.0,9.379999999999999,-558000000.0,290000000.0,-111000000.0,,179000000.0,0.0,1.309,2.2302,1.0078,9.379999999999999,-553000000.0,1.3377563329312425,0.1770010374271806,-0.4821739130434783,0.12021739130434783,-0.04413055622057298,-0.3335343787696019,-0.03891304347826087,0.12021739130434783,0.0,1.3090292496820686,9821000000.0,4438000000.0,1290000000.0,963000000.0,1290000000.0,413000000.0,16.81,16.81,0.0,3.123486682808717,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2020-03-31,12822000000.0,3479000000.0,2852000000.0,11286000000.0,1536000000.0,5807000000.0,759000000.0,,2019000000.0,244000000.0,121000000.0,98000000.0,23000000.0,0.49,249000000.0,208000000.0,66000000.0,,142000000.0,5807000000.0,,1.6423,0.6921,0.49,244000000.0,0.07877604166666667,0.009436905318982999,0.05993065874195146,0.12085190688459634,0.019029792544064887,0.03322892550728585,0.0703318474492323,0.12085190688459634,3.7805989583333335,1.2198457223001402,9675000000.0,4077000000.0,1313000000.0,1281000000.0,1313000000.0,397000000.0,16.299999999999997,16.299999999999997,4.422696115765422,3.3073047858942064,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2020-06-30,12337000000.0,3076000000.0,2157000000.0,10587000000.0,1750000000.0,5810000000.0,418000000.0,,4257000000.0,728000000.0,434000000.0,193000000.0,124000000.0,1.76,247000000.0,692000000.0,116000000.0,,576000000.0,5810000000.0,,1.8972,0.8412,1.76,728000000.0,0.248,0.0351787306476453,0.1019497298567066,0.17101245008221752,0.059009483667017915,0.0962962962962963,0.13530655391120508,0.17101245008221752,3.32,1.426054705609643,9302000000.0,3828000000.0,1500000000.0,1575000000.0,1500000000.0,371000000.0,15.569999999999999,15.569999999999999,3.8733333333333335,4.0431266846361185,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
