report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2023-06-30,4696565000.0,3449122000.0,897729000.0,,2520189000.0,557744000.0,1935179000.0,617431000.0,294512000.0,257888000.0,63557000.0,4.38,59189302.0,-80788000.0,84075000.0,26725000.0,-164863000.0,0.0,,4.1546,50.1532,4.38,321237000.0,0.10232883327401239,0.05490991820617835,0.1332631244964936,0.31905627334732345,0.15218850555943403,0.06270795783727043,0.11686107668908959,-0.08519263592670238,0.16599859754575674,0.0,3.8420525570634343,,408715000.0,,,-131354000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2023-09-30,4651154000.0,3363467000.0,876651000.0,,2490406000.0,551122000.0,2660484000.0,760248000.0,277786000.0,196712000.0,99622000.0,3.34,59297423.0,-40203000.0,130024000.0,42019000.0,-170227000.0,0.0,,1.9607,32.0124,3.34,319805000.0,0.07898792405736253,0.042293159934072275,0.07393842624124032,0.28575552418281785,0.10441182882513107,0.05972410287855444,0.11154245532656121,-0.06398347067676408,0.12020557161779585,0.0,3.8367229376342467,,532477000.0,,,-96480000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2023-12-31,,,,,,,,,,-558649000.0,,,,-67045000.0,-81914000.0,-25012000.0,-148959000.0,0.0,3.6999,1.7865,154.9533,,,,,,,,,,,,,,,34329000.0,,,-514464000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2024-03-31,4166822000.0,2989067000.0,658890000.0,,2240551000.0,214229000.0,204399000.0,-26187000.0,-173705000.0,-157311000.0,-23754000.0,-2.75,57140126.0,-217019000.0,26347000.0,14988000.0,-243366000.0,0.0,,1.8121,,-2.75,-158717000.0,-0.07021085438358689,-0.03775323255949018,-0.7696270529699265,-0.12811706515198215,-0.8498329248186146,-0.041687645884561426,-0.07752780454450713,-1.1906418328856794,-0.7765057558990015,0.0,4.536518994065777,,-261360000.0,,,-727415000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2024-06-30,3948214000.0,2893195000.0,566824000.0,,2106189000.0,259498000.0,469804000.0,-37156000.0,-333887000.0,-288129000.0,-35999000.0,-5.06,56913569.0,-261791000.0,48535000.0,30430000.0,-310326000.0,0.0,,0.9153,,-5.06,-303457000.0,-0.1368011132904027,-0.07297704734343174,-0.613296183089118,-0.07908830065303829,-0.7106942469625631,-0.08456659137523954,-0.15852660896054438,-0.6605435458191076,-0.6459225549378038,0.0,5.1042210633283,,-807377000.0,,,-872878000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2024-09-30,2816394000.0,2118115000.0,903812000.0,,956366000.0,303904000.0,730707000.0,-739482000.0,-1419153000.0,-1493450000.0,85109000.0,-26.22,56952656.0,-325656000.0,95905000.0,47215000.0,-421561000.0,0.0,,1.2515,,-26.22,-1371938000.0,-1.5615883458843163,-0.5302702675832998,-2.0438424703745826,-1.0120089173909652,-1.942164232722555,-0.5038900807202401,-1.483901560699565,-0.5769220768379117,-1.877548730202393,0.0,2.3435349386819384,,-2497539000.0,,,-1124212000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2024-12-31,,,,,,,,,,,,,,491147000.0,-62624000.0,-32768000.0,428523000.0,0.0,1.9539,0.8503,,,,,,,,,,,,,,,,,,,-546730000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2025-03-31,2525173000.0,1989683000.0,974426000.0,,594213000.0,401364000.0,219480000.0,17536000.0,-102726000.0,-98523000.0,5726000.0,-1.7,58121502.0,33823000.0,10109000.0,12001000.0,23714000.0,0.0,,1.0012,,-1.7,-90725000.0,-0.16580418132891742,-0.03901633670247544,-0.4488928376161837,0.07989794058684163,-0.46804264625478403,-0.040680777119033035,-0.17287740254757133,0.1080462912338254,-0.41336340441042463,0.0,2.0419026175409933,,,,,-279650000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2025-06-30,2490448000.0,1971913000.0,1016730000.0,,513219000.0,545240000.0,508909000.0,49667000.0,-218219000.0,-223267000.0,11383000.0,-3.83,58345680.0,26024000.0,11365000.0,16227000.0,14659000.0,0.0,,1.2488,,-3.83,-201992000.0,-0.435032607912022,-0.08964933216834883,-0.4387169415357166,0.09759505137460725,-0.42879768288633135,-0.0876223876186132,-0.42519665094238523,0.028804756842578928,-0.39691182510036177,0.0,1.9394657381999154,,,,,45335000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2025-09-30,2232310000.0,1767516000.0,774787000.0,,479760000.0,439515000.0,849086000.0,121810000.0,-253369000.0,-273327000.0,13946000.0,-4.66,58659959.0,51632000.0,14174000.0,23430000.0,37458000.0,0.0,,2.1082,,-4.66,-229939000.0,-0.5697161080540271,-0.12244132759338981,-0.321907321519846,0.1434601442021185,-0.2984020464358145,-0.11350081305911813,-0.5281161414040354,0.044115672617379156,-0.27080766848116683,0.0,2.281292794019518,,,,,504354000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2025-12-31,,,,,,,,,,,,,,-7218000.0,-12181000.0,-21147000.0,-19399000.0,0.0,,1.4566,,,,,,,,,,,,,,,,,,,56432000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
