report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-03-31,248320000000.0,228990000000.0,19330000000.0,,0.0,14145000000.0,2398000000.0,,783000000.0,158000000.0,219000000.0,0.0,1362000000.0,,122000000.0,73000000.0,,0.0,,26.4136,7.2454,0.0,,0.0405069839627522,0.003153189432989691,0.32652210175145957,,,,,,0.0,8935000000.0,2573000000.0,,445000000.0,1.0,1.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2018-06-30,261882000000.0,241785000000.0,20097000000.0,,0.0,13250000000.0,4884000000.0,,1649000000.0,341000000.0,484000000.0,1.0,1363000000.0,,253000000.0,148000000.0,,0.0,,24.1666,7.0303,1.0,,0.08205204756928895,0.006296729061180226,0.33763308763308764,,,,,,0.0,9608000000.0,3083000000.0,,657000000.0,2.0,2.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2018-09-30,272102000000.0,251268000000.0,20834000000.0,,0.0,21830000000.0,7463000000.0,,2572000000.0,569000000.0,780000000.0,1.0,1363000000.0,4655000000.0,400000000.0,226000000.0,4255000000.0,0.0,,21.125,6.4414,1.0,,0.1234520495344149,0.009452337726293817,0.34463352539193354,,,,0.5701460538657377,,0.0,10695000000.0,3898000000.0,,1003000000.0,2.0,2.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2018-12-31,296482000000.0,275812000000.0,20670000000.0,,0.0,27938000000.0,-4613000000.0,,-1497000000.0,-211000000.0,-428000000.0,0.0,-2727000000.0,7801000000.0,-205000000.0,-141000000.0,7596000000.0,0.0,0.1884,15.9921,5.1037,0.0,,-0.07242380261248185,-0.005049210407377176,0.3245176674615218,,,,-1.646650769564275,,0.0,10132000000.0,3507000000.0,,857000000.0,2.0,2.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2019-03-31,282815000000.0,261190000000.0,21625000000.0,6829000000.0,,32558000000.0,2723000000.0,1264000000.0,964000000.0,317000000.0,300000000.0,0.69,1344000000.0,-2595000000.0,139000000.0,83000000.0,-2734000000.0,6829000000.0,,15.9651,5.132,0.69,1347000000.0,0.04457803468208092,0.0034085886533599704,0.3540213000367242,0.46419390378259273,0.004469352757102699,0.0444225767906094,-1.0040396621373484,0.49467499081894967,0.31579190751445085,10457000000.0,3688000000.0,,1016000000.0,2.69,2.69,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2019-06-30,276321000000.0,255001000000.0,21320000000.0,,,24199000000.0,5404000000.0,,1901000000.0,635000000.0,599000000.0,1.0,1340000000.0,-381000000.0,310000000.0,167000000.0,-691000000.0,0.0,,14.4759,4.6103,1.0,,0.08916510318949343,0.0068796797927048615,0.3517764618800888,,,,-0.1278682457438934,,0.0,10977000000.0,3940000000.0,8426000000.0,1310000000.0,2.69,2.69,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2019-09-30,278987000000.0,257633000000.0,21354000000.0,,,20252000000.0,8115000000.0,,2852000000.0,896000000.0,884000000.0,2.0,1329000000.0,5021000000.0,515000000.0,255000000.0,4506000000.0,0.0,,14.4387,4.5688,2.0,,0.1335581155755362,0.010222698548677895,0.3514479359211337,,,,0.555268022181146,,0.0,11629000000.0,4220000000.0,8677000000.0,1637000000.0,3.69,3.69,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2019-12-31,294000000000.0,272260000000.0,21745000000.0,7430000000.0,,29345000000.0,-5521000000.0,,-2013000000.0,-784000000.0,-639000000.0,-1.69,-2693000000.0,7280000000.0,-256000000.0,-156000000.0,7024000000.0,7430000000.0,0.193,16.4648,5.1748,-1.69,,-0.09257300528857208,-0.006846938775510204,0.36460786089476543,,,,-1.2722332910704583,,0.34168774430903653,10721000000.0,3704000000.0,8105000000.0,1064000000.0,2.0,2.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2020-03-31,370779000000.0,344509000000.0,26270000000.0,,,68458000000.0,2617000000.0,,795000000.0,136000000.0,252000000.0,0.0,1294000000.0,10118000000.0,156000000.0,96000000.0,9962000000.0,0.0,,12.2428,3.764,0.0,,0.030262657023220403,0.002144134376542361,0.303782957585021,,,,3.8066488345433704,,0.0,10615000000.0,3535000000.0,20801000000.0,883000000.0,1.31,1.31,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2020-06-30,400484000000.0,369669000000.0,30815000000.0,,,33574000000.0,5067000000.0,,1466000000.0,233000000.0,469000000.0,1.0,1294000000.0,-6325000000.0,335000000.0,205000000.0,-6660000000.0,0.0,,13.2876,3.9324,1.0,,0.04757423332792471,0.0036605707094415755,0.28932307085060194,,,,-1.3143872113676731,,0.0,10278000000.0,3100000000.0,14832000000.0,481000000.0,1.31,1.31,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
