report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-07-05,2692807000.0,1316386000.0,402079000.0,618585000.0,2074222000.0,,,300685000.0,855140000.0,490991000.0,165914000.0,135666000.0,606000.0,38908000.0,0.0,217154000.0,,46110000.0,,0.0,,36.2178,2.5103,0.0,165914000.0,0.06540572802718321,0.050380885076427684,0.15864770680824192,0.5741644642982435,0.19401969268190003,0.061613773285645795,0.07998854510269393,,0.19401969268190003,0.0,3.273948651881844,1677778000.0,146662000.0,169418000.0,937715000.0,,169418000.0,,0.0,0.0,0.0,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2015-10-04,2661884000.0,1336657000.0,395741000.0,616279000.0,2045605000.0,,,294217000.0,1321133000.0,749616000.0,252717000.0,207118000.0,1114000.0,54863000.0,0.0,215348000.0,,66727000.0,,0.0,,38.1297,2.3977,0.0,252717000.0,0.1012502413711347,0.07780880008294877,0.1567730122553899,0.5674038874208729,0.19128808378868745,0.09493914836258831,0.12354144617362589,,0.19128808378868745,0.0,3.377605555148443,1674324000.0,168697000.0,199542000.0,968750000.0,,199542000.0,8816000.0,0.0,0.0,0.0,22.63407441016334,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2015-12-31,2548674000.0,1259968000.0,372857000.0,582888000.0,1965786000.0,,,264705000.0,-879096000.0,-517387000.0,-210786000.0,-169094000.0,-6000.0,-56775000.0,0.0,-437993000.0,,-44108000.0,,0.0,3.3789,20.5617,2.5911,0.0,-210786000.0,-0.08601851880113094,-0.066345872402669,0.19234986850127858,0.5885443683056231,0.23977586065685658,-0.08270418264556392,-0.10722733807240463,,0.23977586065685658,0.0,3.3792258157953317,1639578000.0,206477000.0,242969000.0,915643000.0,,242969000.0,1876000.0,0.0,0.0,0.0,129.51439232409382,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2016-04-03,2548974000.0,1242722000.0,344522000.0,553073000.0,1995901000.0,,,319358000.0,430994000.0,230332000.0,56113000.0,49986000.0,710000.0,7206000.0,0.0,205732000.0,,20334000.0,,0.0,,19.7432,2.5569,0.0,56113000.0,0.025044328350955283,0.019610243180197207,0.11597841269252009,0.5344204327670454,0.1301943878569075,0.022013955418925417,0.028114119888711916,,0.1301943878569075,0.0,3.6070904035155955,1728171000.0,223676000.0,263958000.0,953552000.0,,263958000.0,2424000.0,0.0,0.0,0.0,108.89356435643565,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2016-07-03,2407858000.0,1412886000.0,455349000.0,662279000.0,1745579000.0,,,381095000.0,962787000.0,513203000.0,-175687000.0,-173560000.0,1401000.0,-65000.0,0.0,203645000.0,,46593000.0,,0.0,,,2.2292,0.0,-175687000.0,-0.09942832721979354,-0.0720806625639884,-0.18026832518511363,0.5330389795458393,-0.18247753656831678,-0.07296402030352288,-0.10064683408771531,,-0.18247753656831678,0.0,3.1028639570966448,1835818000.0,-85550000.0,-77643000.0,975764000.0,,-77643000.0,3219000.0,0.0,0.0,-0.0,-24.12022367194781,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2016-10-02,2365687000.0,1285188000.0,369084000.0,583543000.0,1782144000.0,,,297937000.0,1373261000.0,740561000.0,-119187000.0,-109767000.0,2034000.0,-4178000.0,0.0,203167000.0,,66252000.0,,0.0,,,2.5679,0.0,-119187000.0,-0.06159266591251886,-0.04639962936770587,-0.07993163717603573,0.5392718499979247,-0.08679122177066122,-0.05038155935252635,-0.06687843406593406,,-0.08679122177066122,0.0,3.4821016354000713,1887946000.0,-402435000.0,-449547000.0,966709000.0,,-449547000.0,4139000.0,0.0,0.0,-0.0,-108.61246677941531,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2016-12-31,2762493000.0,1623803000.0,372696000.0,933834000.0,1828659000.0,,,307884000.0,-1013792000.0,-524529000.0,178746000.0,189920000.0,-508000.0,-14602000.0,0.0,-409966000.0,,-47907000.0,,0.0,4.3569,,2.9128,0.0,178746000.0,0.10385752619815941,0.06874949547383469,-0.18733625832517914,0.517393114169376,-0.17631427353934534,0.06470459834649354,0.09774703758327824,,-0.17631427353934534,0.0,4.356910189537854,1753250000.0,-43421000.0,-60015000.0,959567000.0,,-60015000.0,3637000.0,0.0,0.0,-0.0,-16.50123728347539,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2017-04-02,2842280000.0,1854153000.0,393057000.0,922427000.0,1919853000.0,,,324746000.0,456913000.0,264933000.0,93382000.0,85221000.0,5402000.0,6795000.0,0.0,201936000.0,,22066000.0,,0.0,,,3.4744,0.0,93382000.0,0.044389336058541985,0.02998332324753367,0.18651471943236458,0.5798324845211232,0.20437588775105983,0.03285460967955303,0.0486401823472943,,0.20437588775105983,0.0,4.7172623817919535,1779169000.0,-8186000.0,-22746000.0,994168000.0,,-22746000.0,8329000.0,0.0,0.0,-0.0,-2.7309400888462,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2017-07-02,3030225000.0,2080025000.0,439207000.0,981577000.0,2048648000.0,,,598349000.0,1153814000.0,656152000.0,303288000.0,260197000.0,10911000.0,38696000.0,1.0,201732000.0,,45967000.0,,0.0,,15.1341,3.038,1.0,303288000.0,0.12700912992373506,0.08586722108094283,0.22551035088844476,0.5686809139081342,0.2628569249463085,0.10008761725614435,0.14804300201889245,,0.2628569249463085,0.0,4.73586486554176,1970196000.0,425571000.0,456229000.0,1137117000.0,,456229000.0,17839000.0,1.0,1.0,0.0,25.57480800493301,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2017-10-01,3089327000.0,2140088000.0,431375000.0,979430000.0,2109897000.0,,,418677000.0,1657191000.0,950938000.0,432018000.0,363616000.0,16283000.0,62713000.0,1.0,201413000.0,,73247000.0,,0.0,,17.4225,3.6766,1.0,432018000.0,0.1723382705411686,0.11770071604592197,0.21941707383156198,0.5738252259395568,0.2606929436618953,0.13984210800604793,0.20475786258760498,,0.2606929436618953,0.0,4.961084902926688,2254126000.0,898954000.0,1007434000.0,1347494000.0,,1007434000.0,32088000.0,2.0,2.0,0.0,31.395973572675143,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2017-12-31,3109545000.0,2270281000.0,454336000.0,1155899000.0,1953646000.0,,,429843000.0,-1131312000.0,-648151000.0,-298660000.0,-451342000.0,-10933000.0,158516000.0,-1.0,-403440000.0,,-35905000.0,,0.0,4.9974,33.6292,4.0561,-1.0,-298660000.0,-0.2310254774918281,-0.14514728038989627,0.3989544882402025,0.5729197604197604,0.2639943711372283,-0.0960462061169721,-0.1528731407839496,,0.2639943711372283,0.0,4.996920781095929,2136606000.0,257692000.0,530028000.0,1223872000.0,,530028000.0,21663000.0,1.0,1.0,0.0,24.466971333610303,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2018-04-01,2995193000.0,2156425000.0,391325000.0,1090210000.0,1904983000.0,,,637873000.0,487467000.0,269832000.0,97534000.0,86974000.0,6890000.0,8846000.0,0.0,203484000.0,,34797000.0,,0.0,,32.8597,3.9346,0.0,97534000.0,0.04565605047394124,0.029037861667011108,0.17842028280888758,0.5535390087944415,0.20008328768921793,0.0325635109323506,0.05119940702882913,,0.20008328768921793,0.0,5.510573053088865,2167160000.0,259445000.0,534180000.0,1228771000.0,,534180000.0,23151000.0,1.0,1.0,0.0,23.073733316055463,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2018-07-01,2931720000.0,1894185000.0,452310000.0,1191780000.0,1739940000.0,,,480384000.0,1014396000.0,577166000.0,217933000.0,188010000.0,12530000.0,27821000.0,0.0,199197000.0,49921000.0,62663000.0,-12742000.0,0.0,,39.5112,3.6698,0.0,217933000.0,0.10805545018793751,0.06412958945601899,0.18534181917121123,0.5689750353905181,0.2148401610416445,0.07433622583329923,0.12525316964952815,-0.012561169405242134,0.2148401610416445,0.0,4.187802613251973,2027742000.0,187258000.0,448825000.0,1149785000.0,,448825000.0,24770000.0,0.0,0.0,0.0,18.119701251513927,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2018-09-30,2882487000.0,1879395000.0,458412000.0,1214727000.0,1667760000.0,,,814019000.0,1581244000.0,910859000.0,361527000.0,307991000.0,18087000.0,48684000.0,1.0,196300000.0,290505000.0,88269000.0,202236000.0,0.0,,34.0404,3.3386,1.0,361527000.0,0.18467345421403558,0.10684905083700291,0.19477765607331948,0.5760394980154866,0.22863454343542172,0.12542190129565198,0.21677399625845445,0.12789676988497664,0.22863454343542172,0.0,4.0997945079971725,1951795000.0,131633000.0,378334000.0,1109706000.0,,378334000.0,26574000.0,0.0,0.0,0.0,14.236998570030858,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2018-12-31,2706606000.0,1732482000.0,476287000.0,1184252000.0,1522354000.0,,,926752000.0,-982305000.0,-537463000.0,-203197000.0,-131196000.0,-6238000.0,-69329000.0,1.0,-406376000.0,136455000.0,-71350000.0,65105000.0,0.0,3.6374,12.4499,2.6775,1.0,-203197000.0,-0.08617969276528324,-0.04847251502435153,0.13355933238658055,0.5471447259252472,0.20685734064267208,-0.07507446595477879,-0.13347552540342128,-0.06627778541288093,0.20685734064267208,0.0,3.6374748838410453,2100802000.0,451779000.0,473797000.0,1220394000.0,,473797000.0,31269000.0,2.0,2.0,0.0,15.15229140682465,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2019-03-31,2616643000.0,1594042000.0,441968000.0,1146415000.0,1470228000.0,,,483728000.0,494099000.0,287635000.0,93085000.0,109138000.0,5713000.0,-15159000.0,0.62,176972000.0,18016000.0,25711000.0,-7695000.0,0.0,,15.2677,3.4333,0.62,93085000.0,0.0742320238765688,0.041709167051065046,0.2208828595079124,0.5821404212516115,0.188393419132603,0.035574207104293556,0.06331330922822855,-0.015573802011337809,0.188393419132603,0.0,3.606690982152554,2107434000.0,473943000.0,469348000.0,1238197000.0,246904000.0,469348000.0,30092000.0,2.62,2.62,0.0,15.5971022198591,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2019-06-30,2671514000.0,1616826000.0,467000000.0,1192102000.0,1479412000.0,,,495107000.0,1058277000.0,611553000.0,227079000.0,206535000.0,11513000.0,18621000.0,1.0,177781000.0,163274000.0,58956000.0,104318000.0,0.0,,17.7955,3.9023,1.0,227079000.0,0.13960614081810882,0.07731009457558523,0.1951615692299842,0.5778761137206988,0.21457425607851252,0.08500011603906998,0.15349273900711904,0.09857343587737426,0.21457425607851252,0.0,3.462154175588865,2151315000.0,492468000.0,478494000.0,1272584000.0,363964000.0,478494000.0,29075000.0,3.62,3.62,0.0,16.457231298366295,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2019-09-29,2698791000.0,1654579000.0,493711000.0,1216156000.0,1482635000.0,,,593939000.0,1640315000.0,956591000.0,382000000.0,342395000.0,17195000.0,34494000.0,1.92,178685000.0,362422000.0,96048000.0,266374000.0,0.0,,20.2418,4.5565,1.92,382000000.0,0.23093681182489284,0.12686977242772782,0.20873734618045925,0.5831751828154959,0.23288209886515698,0.14154486212529982,0.2576493877454667,0.1623919795892862,0.23288209886515698,0.0,3.351310787079891,2210386000.0,526872000.0,498967000.0,1318316000.0,428102000.0,498967000.0,28183000.0,4.54,4.54,0.0,17.704538196785297,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2019-12-31,2787014000.0,1658884000.0,539029000.0,1306856000.0,1480158000.0,,,773924000.0,-897726000.0,-515950000.0,-148510000.0,-190600000.0,-11276000.0,20344000.0,-0.94,-353979000.0,35038000.0,-46073000.0,-11035000.0,0.0,3.0777,24.443,4.9791,-0.94,-148510000.0,-0.12877003671229692,-0.06838860515232431,0.21231422505307856,0.5747299287310382,0.16542909529188193,-0.05328642052031314,-0.10033388327462338,0.012292169325607146,0.16542909529188193,0.0,3.077541282565502,2294965000.0,467468000.0,553654000.0,1339829000.0,351962000.0,553654000.0,23145000.0,2.6,2.6,0.0,23.921106070425576,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
