report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-03-31,21301292000.0,9471497000.0,11063772000.0,368049000.0,,619083000.0,216625000.0,3587758000.0,350000.0,9.76,382243000.0,201382000.0,0.0,,6.408,10.1555,9.76,216625000.0,0.32427982066152483,0.16842912627083842,5.795277854504162,0.3499126934514435,0.010169570934946106,0.01957966957381262,0.3499126934514435,0.0,2697677000.0,4275356000.0,1007274000.0,1007274000.0,11.76,11.76,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2016-06-30,21229922000.0,9344994000.0,11160578000.0,497843000.0,,1214237000.0,422643000.0,3806597000.0,763000.0,10.36,382012000.0,475076000.0,0.0,,5.9839,9.6331,10.36,422643000.0,0.34107525613816775,0.17930339075197732,3.1349703558695707,0.34807290504242583,0.019907892266396457,0.03786927522929368,0.34807290504242583,0.0,2566431000.0,7613011000.0,965562000.0,965562000.0,20.85,20.85,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2016-09-30,21297744000.0,10517051000.0,10115505000.0,517586000.0,,1820311000.0,632016000.0,4014913000.0,1189000.0,10.92,382284000.0,819321000.0,0.0,,5.5749,9.3211,10.92,632016000.0,0.3969068276868036,0.18851353457906153,2.205619259566085,0.3472022088533223,0.02967525574539726,0.062479925619136165,0.3472022088533223,0.0,2344970000.0,10962290000.0,875722000.0,875722000.0,29.97,29.97,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2016-12-31,20704148000.0,9801072000.0,10229078000.0,77207000.0,,-1227831000.0,-415198000.0,-7117105000.0,-689000.0,-19.36,-764547000.0,-384290000.0,0.0,0.1663,5.4239,9.5966,-19.36,-415198000.0,-0.695771896548252,-0.3437526142104471,5.796485835591381,0.33815565822983784,-0.020053855874677867,-0.04058997301614085,0.33815565822983784,0.0,2425800000.0,4292163000.0,856086000.0,856086000.0,11.68,11.68,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2017-03-31,20608338000.0,9733179000.0,10280276000.0,42139000.0,,604100000.0,204371000.0,143742000.0,262000.0,0.39,382280000.0,293284000.0,0.0,,26.9347,9.475,0.39,204371000.0,0.013982309424377322,0.006974943830987244,0.23794404899851018,0.33830657175964246,0.009916908389216054,0.019879913729942657,0.33830657175964246,0.0,2410817000.0,848147000.0,843832000.0,843832000.0,2.31,2.31,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2017-06-30,20636575000.0,9730199000.0,10290505000.0,37719000.0,,1216580000.0,414921000.0,339783000.0,482000.0,0.92,382505000.0,550033000.0,0.0,,29.2976,9.9577,0.92,414921000.0,0.03301907923857964,0.016465086866401038,0.2792935935162505,0.3410552532509165,0.020106098032255836,0.040320761711888774,0.3410552532509165,0.0,2413160000.0,-2618667000.0,836110000.0,836110000.0,-7.129999999999999,-7.129999999999999,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2017-09-30,20697833000.0,9823516000.0,10259269000.0,46565000.0,,1840702000.0,632707000.0,478012000.0,710000.0,1.0,382640000.0,963034000.0,0.0,,31.9194,9.8543,1.0,632707000.0,0.04659318319853003,0.023094784850182144,0.25969005303411413,0.3437313590141153,0.030568755676016905,0.06167174288928383,0.3437313590141153,0.0,2433551000.0,-6155568000.0,836801000.0,836801000.0,-17.049999999999997,-17.049999999999997,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2017-12-31,20570599000.0,9729781000.0,10242464000.0,50647000.0,,-1189976000.0,-404528000.0,-358083000.0,-976000.0,-1.31,-764747000.0,-540563000.0,0.0,0.1183,38.7416,9.4573,-1.31,-404528000.0,-0.03496063056701981,-0.0174075144821986,0.3009161529308154,0.33994635185919714,-0.019665348588050354,-0.039495183971356894,0.33994635185919714,0.0,2471406000.0,603454000.0,847471000.0,847471000.0,1.0000000000000022,1.0000000000000022,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2018-03-31,20383870000.0,9504210000.0,10289172000.0,44453000.0,,633016000.0,196869000.0,211809000.0,213000.0,0.57,383018000.0,361018000.0,0.0,,34.6749,9.3112,0.57,196869000.0,0.02058562146691687,0.010391010146748385,0.33460291682990634,0.3110016176526344,0.009658077685935006,0.019133609584911206,0.3110016176526344,0.0,2500322000.0,671521000.0,839969000.0,839969000.0,1.1800000000000022,1.1800000000000022,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2018-06-30,20406582000.0,9600313000.0,10208437000.0,34507000.0,,1272824000.0,414523000.0,325411000.0,487000.0,0.88,383224000.0,685454000.0,0.0,,41.0995,9.5773,0.88,414523000.0,0.03187667220750836,0.015946374556993426,0.2556606412198387,0.3256718917933666,0.02031320090743271,0.04060592233659276,0.3256718917933666,0.0,2556566000.0,657149000.0,839571000.0,839571000.0,1.1400000000000021,1.1400000000000021,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
