report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-09-26,4388472000.0,2231953000.0,894656000.0,,3234685000.0,914907000.0,2038913000.0,1125561000.0,403819000.0,323844000.0,,90800000.0,1.0,191523.0,,53297000.0,,0.0,,12.5481,2.358,1.0,403819000.0,0.10011608549209583,0.07379425002597716,0.15883169120016402,0.5520397388216172,0.19805602298871997,0.09201813296290827,0.12484028583927029,,0.19805602298871997,0.0,2.494761114886616,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2015-12-26,4499391000.0,2211087000.0,865998000.0,,3345126000.0,833070000.0,-577867000.0,-350229000.0,-132600000.0,-72162000.0,,-25048000.0,0.0,,,-12437000.0,,0.0,2.5532,15.4217,2.4951,0.0,-132600000.0,-0.02157228158221843,-0.016038170499074206,0.12487648541965539,0.6060719854222512,0.22946456537576987,-0.02947065502864721,-0.03963976244841001,,0.22946456537576987,0.0,2.553224141395246,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2016-03-26,4410324000.0,2129133000.0,680720000.0,,3437247000.0,857679000.0,624040000.0,339850000.0,103803000.0,88092000.0,,19455000.0,0.0,189651000.0,,13908000.0,,0.0,,17.0348,2.8458,0.0,103803000.0,0.025628649904996643,0.01997404272339175,0.14116402794692648,0.5445965002243446,0.16634029869880135,0.023536366035692615,0.03019945904382199,,0.16634029869880135,0.0,3.1277661887413326,3444310000.0,544319000.0,653384000.0,1878554000.0,,653384000.0,2.0,2.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2016-06-25,4527583000.0,2212587000.0,1010429000.0,,3218835000.0,801464000.0,1435648000.0,802808000.0,304477000.0,249155000.0,,62193000.0,1.0,189491000.0,,28614000.0,,0.0,,14.9763,2.5897,1.0,304477000.0,0.0774053345387384,0.055030465482355594,0.17354880862161198,0.5591955688302425,0.21208332404600572,0.06724934694736684,0.09459229814513637,,0.21208332404600572,0.0,2.189750096246248,3520734000.0,588929000.0,679499000.0,1917990000.0,,679499000.0,2.0,2.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2016-09-24,4591906000.0,2247459000.0,919995000.0,,3362229000.0,912559000.0,2157898000.0,1208788000.0,464093000.0,374209000.0,,86904000.0,1.0,189376000.0,,42157000.0,,0.0,,18.0005,3.1031,1.0,464093000.0,0.11129789196393226,0.08149317516517106,0.17341366459397062,0.5601692016953536,0.2150671625813639,0.1010676176733583,0.1380313476565695,,0.2150671625813639,0.0,2.4429034940407286,3639719000.0,639294000.0,739773000.0,2001217000.0,,739773000.0,2.0,2.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2016-12-31,4525133000.0,2263016000.0,782735000.0,,3418003000.0,846883000.0,-1198921000.0,-671876000.0,-248464000.0,-200642000.0,,-49696000.0,0.0,,,6281000.0,,0.0,2.8913,18.1438,3.0708,0.0,-248464000.0,-0.058701528348570786,-0.04433947024319506,0.1673521441362692,0.5604005601703532,0.20723967634231114,-0.05490755741322962,-0.07269273900578788,,0.20723967634231114,0.0,2.8911649536560904,3018665000.0,510814000.0,623909000.0,1679570000.0,,623909000.0,2.0,2.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2017-04-01,4600681000.0,2156910000.0,571459000.0,,3702062000.0,833577000.0,638546000.0,372123000.0,116345000.0,237812000.0,,-150120000.0,1.0,189031.0,,25538000.0,,0.0,,14.3278,3.1202,1.0,116345000.0,0.06423771400911168,0.05169060841210247,0.37242735840487606,0.5827661593683149,0.18220300495187505,0.02528864748501363,0.03142708036764376,,0.18220300495187505,0.0,3.774391513651898,3033171000.0,660534000.0,636451000.0,1711843000.0,,636451000.0,3.0,3.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2017-07-01,4748772000.0,2304934000.0,928509000.0,,3484447000.0,859560000.0,1455431000.0,849981000.0,319695000.0,408762000.0,,-93015000.0,2.0,188691.0,,39812000.0,,0.0,,14.3939,3.1891,2.0,319695000.0,0.11731043692155456,0.0860774111707195,0.2808528882509717,0.5840063871114467,0.21965658282666783,0.06732161493539804,0.09174913551562128,,0.21965658282666783,0.0,2.4824035092820855,3052954000.0,820141000.0,651669000.0,1759016000.0,,651669000.0,4.0,4.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2017-09-30,4835391000.0,2332474000.0,846045000.0,,3639685000.0,891279000.0,2198508000.0,1283646000.0,489485000.0,556175000.0,,-54372000.0,2.0,188671.0,462577000.0,85211000.0,377366000.0,0.0,,14.4588,3.2953,2.0,489485000.0,0.1528085534874584,0.11502172213167457,0.25297838352191576,0.5838714255304052,0.22264417504962455,0.10122966270979948,0.13448553927056875,0.1716464074727042,0.22264417504962455,0.0,2.756914821315651,3093564000.0,1002107000.0,677061000.0,1833874000.0,,677061000.0,5.0,5.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2017-12-30,5010260000.0,2363925000.0,828656000.0,,3802466000.0,891488000.0,-1205481000.0,-722586000.0,-256665000.0,-507794000.0,,284846000.0,-2.0,,198265000.0,-10865000.0,187400000.0,0.0,2.9619,15.7436,3.5764,-2.0,-256665000.0,-0.1335433374026224,-0.10135082810073728,0.4212376636380001,0.5994171621120532,0.21291501068867946,-0.051227880389440865,-0.06749961735358055,-0.15545661856138754,0.21291501068867946,0.0,2.8527217566758702,3087004000.0,694955000.0,668860000.0,1783164000.0,,668860000.0,3.0,3.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
