report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-03-31,21356900000.0,5392600000.0,3333900000.0,15013700000.0,6343200000.0,,1847300000.0,20600000.0,,-594600000.0,,165000000.0,-1.0,351300000.0,,77300000.0,75800000.0,,0.0,,30.4653,1.0345,-1.0,,-0.0937381763147938,-0.027841119263563533,-28.864077669902912,,,,,,0.0,1.6175050241458953,-4427200000.0,631000000.0,,,1.9999999999999996,1.9999999999999996,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2016-06-30,21427200000.0,5538000000.0,3174200000.0,14717500000.0,6709700000.0,,2064900000.0,1475900000.0,,-113300000.0,,329900000.0,0.0,351100000.0,,152000000.0,155500000.0,,0.0,,27.332,1.0147,0.0,,-0.01688600086442017,-0.0052876717443249704,-0.07676671861237211,,,,,,0.0,1.7446915758301305,-12285400000.0,-307900000.0,,,-4.440892098500626e-16,-4.440892098500626e-16,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2016-09-30,20968900000.0,4869500000.0,2295900000.0,13990700000.0,6978200000.0,,1787900000.0,2240700000.0,,232900000.0,,478600000.0,0.0,351800000.0,,242000000.0,230600000.0,,0.0,,35.5182,1.1898,0.0,,0.03337536900633401,0.011106925017525955,0.10394073280671219,,,,,,0.0,2.120954745415741,-10120600000.0,-1331800000.0,,,-3.0000000000000004,-3.0000000000000004,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2016-12-31,20638900000.0,4738200000.0,2244500000.0,13861300000.0,6777600000.0,,1915700000.0,-731500000.0,,996700000.0,,-364800000.0,2.0,-702400000.0,,-96100000.0,-159500000.0,,0.0,1.329,43.8894,1.3443,2.0,,0.147057955618508,0.0482923023998372,-1.3625427204374574,,,,,,0.0,2.111026954778347,3005700000.0,521700000.0,,,0.9999999999999996,0.9999999999999996,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2017-03-31,21039700000.0,5036400000.0,2388600000.0,13960400000.0,7079300000.0,,1764400000.0,786700000.0,,310300000.0,,137900000.0,0.0,352700000.0,,92700000.0,73900000.0,,0.0,,16.5458,1.3909,0.0,,0.04383201728984504,0.014748309148894708,0.39443243930341937,,,,,,0.0,2.108515448379804,3771800000.0,1426600000.0,,,1.9999999999999996,1.9999999999999996,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2017-06-30,22053300000.0,5440900000.0,2554900000.0,14552800000.0,7500500000.0,,1879800000.0,1609800000.0,,683300000.0,,303900000.0,1.0,352700000.0,,188300000.0,151500000.0,,0.0,,17.5973,1.3439,1.0,,0.09110059329378041,0.030984025066543328,0.4244626661697105,,,,,,0.0,2.1295941132725353,3905700000.0,2223200000.0,,,2.9999999999999996,2.9999999999999996,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2017-09-30,23103900000.0,5980500000.0,2760100000.0,15168300000.0,7935600000.0,,2313300000.0,0.0,,1086000000.0,,483000000.0,3.0,352800000.0,,295900000.0,235400000.0,,0.0,,18.6372,1.4178,3.0,,0.13685165582942688,0.04700505109526963,,,,,,,0.0,2.166769319952176,1665000000.0,3076300000.0,,,6.0,6.0,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2017-12-31,23440200000.0,6082600000.0,2991600000.0,15389700000.0,8050500000.0,,2364700000.0,-2310800000.0,,-404400000.0,,-426700000.0,0.0,-705300000.0,,-153500000.0,-139400000.0,,0.0,1.2796,15.3263,1.3196,0.0,,-0.05023290478852245,-0.017252412522077456,0.17500432750562575,,,,,,0.0,2.0332263671613853,85700000.0,1675200000.0,,,3.9999999999999996,3.9999999999999996,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2018-03-31,23781700000.0,6405700000.0,3016800000.0,15214400000.0,8567300000.0,,2504100000.0,939900000.0,,512100000.0,,157300000.0,1.0,353500000.0,,98400000.0,93600000.0,,0.0,,12.0819,1.0865,1.0,,0.05977379104268556,0.021533363889040733,0.5448451962974784,,,,,,0.0,2.1233426146910634,238900000.0,1877000000.0,,,5.0,5.0,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2018-06-30,24155800000.0,6743100000.0,3096000000.0,15376400000.0,8779400000.0,,2506800000.0,11459200000.0,,1071700000.0,,317300000.0,3.0,353000000.0,1198500000.0,221600000.0,179800000.0,976900000.0,0.0,,10.3757,0.9744,3.0,,0.12206984531972573,0.04436615636824282,0.09352310807037141,,,,0.08525027925160569,,0.0,2.1780038759689924,10088300000.0,2265400000.0,,,7.0,7.0,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
