report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-12-31,11534800000.0,2672000000.0,1471200000.0,7280400000.0,4254400000.0,4278400000.0,,238500000.0,-3696200000.0,-1229900000.0,-396300000.0,522200000.0,148400000.0,-79300000.0,-1.0,-365100000.0,-49900000.0,-89500000.0,-139400000.0,4278400000.0,1.8165,20.171,3.7881,-1.0,-396300000.0,0.12274351259872132,0.04527169955265804,-0.14128023375358476,0.3327471457172231,0.10721822412207131,-0.034356902590422025,-0.046444309019313706,0.03771440939343109,0.10721822412207131,1.0056412185031967,1.8162044589450788,4890000000.0,,700700000.0,1794100000.0,564600000.0,700700000.0,2.0,2.0,6.105894105894106,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2017-03-31,11818000000.0,2841100000.0,1397600000.0,7443200000.0,4374800000.0,4528900000.0,,238100000.0,1183500000.0,422300000.0,138400000.0,,,22900000.0,0.0,184000000.0,-106000000.0,23600000.0,-129600000.0,4528900000.0,,22.7642,5.0316,0.0,138400000.0,,,,0.356822982678496,0.1169412758766371,0.011710949399221526,0.015544099643968239,-0.10950570342205324,0.1169412758766371,1.0352244674042241,2.032842014882656,4498000000.0,,668500000.0,1681000000.0,488200000.0,668500000.0,2.0,2.0,6.7747195213163796,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2017-06-30,8669100000.0,1754800000.0,1048400000.0,3765600000.0,4903500000.0,1698900000.0,,177800000.0,2448800000.0,905500000.0,351200000.0,,,41100000.0,1.0,183900000.0,155300000.0,37600000.0,117700000.0,1698900000.0,,19.3674,6.9935,1.0,351200000.0,,,,0.36977295001633453,0.1434171839268213,0.04051170248353347,0.05319277838361808,0.04806435805292388,0.1434171839268213,0.34646680942184155,1.673788630293781,3638000000.0,,632200000.0,1451900000.0,311000000.0,632200000.0,2.0,2.0,2.687282505536223,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2017-09-30,8628800000.0,1705800000.0,1072600000.0,3620200000.0,5008600000.0,1503400000.0,,108500000.0,3675600000.0,1360800000.0,543400000.0,,,88800000.0,2.0,183700000.0,361800000.0,50500000.0,311300000.0,1503400000.0,,20.7108,10.4604,2.0,543400000.0,,,,0.3702252693437806,0.1478398084666449,0.0629751529760801,0.08344594594594594,0.08469365545761236,0.1478398084666449,0.3001637184043445,1.5903412269252284,3611700000.0,,636700000.0,1458700000.0,160000000.0,636700000.0,2.0,2.0,2.361237631537616,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2017-12-31,8633700000.0,1748800000.0,1199400000.0,3595900000.0,5037800000.0,1440700000.0,,113300000.0,-2371400000.0,-859500000.0,-352200000.0,666500000.0,97200000.0,-143600000.0,0.0,-367900000.0,209100000.0,-40800000.0,168300000.0,1440700000.0,1.4587,18.9991,4.4498,0.0,-352200000.0,0.13229981341061575,0.07719749354274529,-0.28105760310365185,0.36244412583284136,0.14851986168508055,-0.040793634247194135,-0.05436443621208613,-0.0709707345871637,0.14851986168508055,0.2859780062725793,1.4580623645155912,4936500000.0,,680800000.0,1829100000.0,467700000.0,680800000.0,3.0,3.0,2.116186839012926,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2018-03-31,9368100000.0,2719000000.0,1027500000.0,4648400000.0,4719700000.0,2673100000.0,,907500000.0,1269700000.0,462000000.0,152300000.0,,,27600000.0,0.0,181500000.0,-167600000.0,16800000.0,-184400000.0,2673100000.0,,17.6031,4.1445,0.0,152300000.0,,,,0.36386548003465385,0.11994959439237615,0.016257298705180345,0.02060112541932691,-0.1452311569662125,0.11994959439237615,0.5663707439032142,2.646228710462287,5022700000.0,,694700000.0,1868800000.0,412900000.0,694700000.0,3.0,3.0,3.8478479919389663,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2018-06-30,3806000000.0,996600000.0,709400000.0,1917100000.0,1888900000.0,779900000.0,,78700000.0,1513200000.0,535900000.0,215300000.0,,,35900000.0,0.0,179900000.0,171900000.0,20300000.0,151600000.0,779900000.0,,16.0208,2.5192,0.0,215300000.0,,,,0.3541501453872588,0.1422812582606397,0.056568575932737786,0.08067296163069544,0.10018503832936823,0.1422812582606397,0.4128858065540791,1.404849168311249,4087100000.0,,558800000.0,1499200000.0,446800000.0,558800000.0,2.0,2.0,1.3956692913385826,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2018-09-30,3809500000.0,989600000.0,707400000.0,1929300000.0,1880200000.0,798800000.0,,64700000.0,2224600000.0,779700000.0,323700000.0,,,46500000.0,1.0,178500000.0,284600000.0,33800000.0,250800000.0,798800000.0,,16.9301,2.5527,1.0,323700000.0,,,,0.35048997572597324,0.14550930504360335,0.08497178107363171,0.12082866741321388,0.11273936887530342,0.14550930504360335,0.42484842038081055,1.3989256432004524,2636100000.0,,339100000.0,918100000.0,386300000.0,339100000.0,1.0,1.0,2.35564730168092,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2018-12-31,3806500000.0,1039400000.0,818700000.0,1970400000.0,1836100000.0,787600000.0,,74300000.0,-2042400000.0,-729900000.0,-254600000.0,347400000.0,,-51900000.0,0.0,-362600000.0,150200000.0,-22700000.0,127500000.0,787600000.0,1.2686,18.6359,2.1834,0.0,-254600000.0,0.18920538097053538,0.0912649415473532,-0.1700940070505288,0.35737367802585196,0.12465726596161379,-0.0668855904374097,-0.09703853336890651,-0.062426556991774386,0.12465726596161379,0.4289526714231251,1.2695737144253083,2965100000.0,,436700000.0,1047700000.0,345500000.0,436700000.0,1.0,1.0,1.8035264483627205,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2019-03-31,4382200000.0,1251600000.0,705300000.0,2511800000.0,1870400000.0,1370700000.0,,78900000.0,688900000.0,235600000.0,67600000.0,,,10800000.0,0.3,172500000.0,-256300000.0,16800000.0,-273100000.0,1370700000.0,,26.4346,2.6766,0.3,67600000.0,,,,0.34199448395993615,0.09812744955726521,0.015426041714207476,0.020857116411095,-0.3964290898533895,0.09812744955726521,0.7328378956372968,1.774564015312633,2384300000.0,,352000000.0,821300000.0,256800000.0,352000000.0,1.3,1.3,3.894034090909091,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2019-06-30,4170000000.0,1041500000.0,710200000.0,2363400000.0,1806600000.0,1215100000.0,,80500000.0,1488400000.0,522300000.0,201400000.0,,,32900000.0,0.97,171400000.0,96700000.0,29800000.0,66900000.0,1215100000.0,,17.0511,2.1376,0.97,201400000.0,,,,0.3509137328675087,0.13531308787960225,0.04829736211031175,0.0666512228215905,0.04494759473259877,0.13531308787960225,0.6725893944425994,1.466488313151225,2359500000.0,,338100000.0,807700000.0,172100000.0,338100000.0,2.27,2.27,3.5939071280686186,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2019-09-30,4080400000.0,1002600000.0,694200000.0,2211600000.0,1868800000.0,1118700000.0,,113200000.0,2202000000.0,777300000.0,310200000.0,,,42800000.0,1.51,170300000.0,264700000.0,44600000.0,220100000.0,1118700000.0,,18.1127,2.1594,1.51,310200000.0,,,,0.3529972752043597,0.14087193460490463,0.07602195863150671,0.1038326359832636,0.09995458673932789,0.14087193460490463,0.5986194349315068,1.4442523768366464,2336900000.0,,324600000.0,805300000.0,141400000.0,324600000.0,2.7800000000000002,2.7800000000000002,3.446395563770795,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2019-12-31,4139500000.0,1061900000.0,749000000.0,2185600000.0,1953900000.0,1029100000.0,,82500000.0,-1422100000.0,-483700000.0,-146700000.0,355700000.0,,-40700000.0,-0.6900000000000004,-343800000.0,247900000.0,-32700000.0,215200000.0,1029100000.0,1.4179,21.7026,2.6104,-0.6900000000000004,-146700000.0,0.18204616408209223,0.08592825220437252,-0.25012305745024965,0.3401307924899796,0.10315730258069053,-0.035439062688730524,-0.04917867918203151,-0.15132550453554602,0.10315730258069053,0.5266902093249398,1.4177570093457943,2957200000.0,,432500000.0,1051500000.0,229100000.0,432500000.0,2.09,2.09,2.379421965317919,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2020-03-31,4426700000.0,1339600000.0,682800000.0,2534200000.0,1892500000.0,1450500000.0,,,710000000.0,251600000.0,100700000.0,,,19900000.0,0.43,168700000.0,-162400000.0,18700000.0,-181100000.0,1450500000.0,,13.0787,1.656,0.43,100700000.0,,,,0.3543661971830986,0.14183098591549295,0.022748322678293086,0.03012264433143883,-0.2550704225352113,0.14183098591549295,0.766446499339498,1.9619214997070884,2978300000.0,,465600000.0,1067500000.0,321100000.0,465600000.0,2.2199999999999998,2.2199999999999998,3.1153350515463916,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2020-06-30,4116100000.0,1001700000.0,750600000.0,2166400000.0,1949700000.0,1013000000.0,,90600000.0,1423300000.0,496700000.0,211800000.0,,,49700000.0,0.86,167500000.0,266000000.0,30500000.0,235500000.0,1013000000.0,,18.8202,2.1793,0.86,211800000.0,,,,0.34897772781563974,0.14880910559966276,0.05145647579018974,0.07148884463496136,0.16546054942738705,0.14880910559966276,0.5195671128891625,1.3345323741007193,2913200000.0,,476000000.0,1041900000.0,489700000.0,476000000.0,2.1099999999999994,2.1099999999999994,2.1281512605042017,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
