report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-06-30,4131105000.0,1151476000.0,348242000.0,1085793000.0,3045312000.0,257448000.0,,1067259000.0,227781000.0,144946000.0,9254000.0,77217000.0,0.0,180782000.0,363752000.0,159495000.0,144449000.0,204257000.0,0.0,,37.416,5.9324,0.0,372230000.0,0.047596436752621735,0.035086496228006796,0.13581145720017354,0.2134261692803715,0.05513803207616364,0.0747972621524494,0.19138465920643444,0.3487719475778607,0.0,3.30653970514757,2174630000.0,338154000.0,484776000.0,264086000.0,781347000.0,20895000.0,0.9999999999999999,0.9999999999999999,0.0,23.20057430007179,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2015-09-30,4184809000.0,1210985000.0,332006000.0,1099146000.0,3085663000.0,256471000.0,,1618289000.0,343470000.0,232986000.0,13884000.0,103163000.0,1.0,180642000.0,546360000.0,262404000.0,219234000.0,283956000.0,0.0,,37.3752,5.7247,1.0,562704000.0,0.0755059771595278,0.05567422551423494,0.1439705763309273,0.21224268347618996,0.08207543044377892,0.11131157226177972,0.17546680475489854,0.3477153957049699,0.0,3.6474792624229684,2365340000.0,334299000.0,474809000.0,227979000.0,810971000.0,23840000.0,0.9999999999999999,0.9999999999999999,0.0,19.91648489932886,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2015-12-31,4187925000.0,1253188000.0,332440000.0,1067047000.0,3120878000.0,289473000.0,,-1014636000.0,-226622000.0,-134272000.0,-9189000.0,-87061000.0,0.0,-361834000.0,-245690000.0,-202147000.0,-134580000.0,-447837000.0,0.0,3.7702,29.147,4.2618,0.0,-361202000.0,-0.04302379010009363,-0.032061701200475176,0.13233514284925826,0.22335300541277858,-0.05411319448175409,-0.07261482185461912,0.4413770061381619,0.355991705399769,0.0,3.7696667067741547,2197448000.0,321406000.0,466150000.0,48181000.0,765713000.0,18525000.0,0.9999999999999999,0.9999999999999999,0.0,25.163292847503374,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2016-03-31,4183752000.0,1330828000.0,333233000.0,1070170000.0,3113582000.0,312912000.0,,567725000.0,114119000.0,74858000.0,4653000.0,37739000.0,0.0,177539000.0,190238000.0,41806000.0,80669000.0,148432000.0,0.0,,30.7989,4.382,0.0,194788000.0,0.02404240517834443,0.017892551948585862,0.13185609229820777,0.20101105288652077,0.02727671238639384,0.03665199760276106,0.26145052622308335,0.3431027345986173,0.0,3.9936860995159544,2238637000.0,318518000.0,458748000.0,188808000.0,768520000.0,18602000.0,0.9999999999999999,0.9999999999999999,0.0,24.661219223739383,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2016-06-30,4269722000.0,1365584000.0,376542000.0,1119249000.0,3150473000.0,326644000.0,,1139860000.0,224299000.0,148493000.0,9292000.0,73453000.0,0.0,176980000.0,433110000.0,86820000.0,165783000.0,346290000.0,0.0,,30.2273,4.3264,0.0,390082000.0,0.047133557405507044,0.03477814246454453,0.13027301598441915,0.19677767445124839,0.052532459958751415,0.07119534114401234,0.30380046672398364,0.34221921990419873,0.0,3.6266445708579655,2311238000.0,322065000.0,455266000.0,330841000.0,786372000.0,18640000.0,0.9999999999999999,0.9999999999999999,0.0,24.42414163090129,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2016-09-30,4353635000.0,1386964000.0,431536000.0,1184704000.0,3168931000.0,381803000.0,,1723925000.0,336064000.0,224493000.0,13958000.0,109139000.0,1.0,176525000.0,684510000.0,134874000.0,250294000.0,549636000.0,0.0,,29.5898,4.0201,1.0,586358000.0,0.07084187064975539,0.05156449725344454,0.13022202241976885,0.19494119523761186,0.07719158817861396,0.10604964260818554,0.31882825528952824,0.34012964601128237,0.0,3.214016907048311,2416874000.0,313572000.0,447860000.0,596521000.0,810026000.0,18714000.0,0.9999999999999999,0.9999999999999999,0.0,23.931815752912257,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2016-12-31,4373146000.0,1309917000.0,374588000.0,1148776000.0,3224370000.0,324169000.0,,-1091461000.0,-214888000.0,-131712000.0,-9265000.0,-77017000.0,0.0,-354829000.0,-441560000.0,-82551000.0,-162444000.0,-524111000.0,0.0,3.4968,37.0449,5.0042,0.0,-377332000.0,-0.04084891001963174,-0.030118363301842654,0.12067494853228837,0.19688106125642602,-0.04913808045740984,-0.06664495699935181,0.48019214612340705,0.3457127648170663,0.0,3.4969539867801425,2340049000.0,316132000.0,459594000.0,520247000.0,793896000.0,18638000.0,0.9999999999999999,0.9999999999999999,0.0,24.65897628500912,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2017-03-31,4449995000.0,1398461000.0,381876000.0,1191449000.0,3258546000.0,522319000.0,,609237000.0,115228000.0,80930000.0,4597000.0,33641000.0,0.0,175171000.0,142618000.0,45224000.0,86533000.0,97394000.0,0.0,,32.689,4.351,0.0,201761000.0,0.02483623063783663,0.018186537288244143,0.13283828789124758,0.18913493435231282,0.025893961678608628,0.035361784059516115,0.15986225393401912,0.33116997162023976,0.0,3.6620814086247893,2381561000.0,322204000.0,460703000.0,469209000.0,800869000.0,18582000.0,0.9999999999999999,0.9999999999999999,0.0,24.79297169303627,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2017-06-30,4489039000.0,1238357000.0,399064000.0,1201867000.0,3287172000.0,352501000.0,,1218145000.0,202439000.0,138702000.0,9243000.0,63278000.0,0.0,174305000.0,367251000.0,104881000.0,175739000.0,262370000.0,0.0,,28.7987,3.5784,0.0,378178000.0,0.04219493230046983,0.03089792715100047,0.11386329213681458,0.1661862914513461,0.045096288983009505,0.06158454744686314,0.2153848679754873,0.31045400999060047,0.0,3.1031538800793856,2459846000.0,312413000.0,438843000.0,385289000.0,788965000.0,18533000.0,0.9999999999999999,0.9999999999999999,0.0,23.679005018075866,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2017-09-30,4509134000.0,1295783000.0,430306000.0,1236479000.0,3272655000.0,368152000.0,,1839544000.0,288316000.0,199214000.0,13989000.0,88895000.0,1.0,173371000.0,603542000.0,185466000.0,272917000.0,418076000.0,0.0,,29.8751,3.5033,1.0,561233000.0,0.06087228870748673,0.04418010198854148,0.10829531666543447,0.15673232061858808,0.0639404373434012,0.08809850106412072,0.22727154120803852,0.3050935449220024,0.0,3.0113059078888047,2575465000.0,287134000.0,391095000.0,253729000.0,763840000.0,18564000.0,0.9999999999999999,0.9999999999999999,0.0,21.06738849385908,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
