report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2021-03-31,36836000000.0,15786000000.0,9958000000.0,,13043000000.0,,887000000.0,,,4782000000.0,,164000000.0,-452000000.0,,69000000.0,,678000000.0,,292000000.0,,887000000.0,,,1.1213,,456000000.0,-0.03465460400214675,-0.012270604843088282,-0.0945211208699289,0.034295273943956504,0.004452166358996634,0.011773151471643935,0.09535759096612297,0.06800582688031895,1.585258083952601,20062000000.0,-182000000.0,245000000.0,,,1499000000.0,,,,0.5917278185456971,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2021-06-30,36669000000.0,15512000000.0,9805000000.0,,13890000000.0,,51000000.0,,,9924000000.0,,358000000.0,-520000000.0,,213000000.0,-0.67,1184000000.0,,570000000.0,,51000000.0,,,1.1638,-0.67,928000000.0,-0.037437005039596835,-0.014180915759906187,-0.05239822652156389,0.03607416364369206,0.009763015080858492,0.025679649953374937,0.09351068117694478,0.00367170626349892,1.5820499745028047,19826000000.0,9709000000.0,16714000000.0,,,17844000000.0,,,,0.0028581035642232682,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2021-09-30,35772000000.0,14887000000.0,9354000000.0,,14142000000.0,,56000000.0,,,15017000000.0,,736000000.0,-512000000.0,,406000000.0,-0.64,1600000000.0,,832000000.0,,56000000.0,,184.1529,1.2569,-0.64,1568000000.0,-0.03620421439683213,-0.014312870401431288,-0.034094692681627486,0.049011120729839514,0.020574751202057474,0.0518382870826877,0.10441499633748419,0.003959835949653515,1.5915116527688689,19633000000.0,19789000000.0,33610000000.0,,,34562000000.0,,,,0.0016202766043631734,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2021-12-31,35308000000.0,15065000000.0,9128000000.0,,14830000000.0,,40000000.0,,,-9221000000.0,,52000000.0,1265000000.0,,70000000.0,1.04,-1088000000.0,,-589000000.0,,40000000.0,1.6504,,1.2165,1.04,-537000000.0,0.08530006743088335,0.0358275744873683,-0.13718685608936124,-0.0056393015941871814,0.0014727540500736377,0.003496973772696705,0.0582366337707407,0.0026972353337828725,1.6504163014899211,20502000000.0,-219000000.0,1310000000.0,,,2415000000.0,,,,0.016563146997929608,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2022-03-31,34994000000.0,14707000000.0,9142000000.0,,15704000000.0,,35000000.0,,,4835000000.0,,279000000.0,72000000.0,,107000000.0,0.08,72000000.0,,277000000.0,,35000000.0,,122.4845,1.8175,0.08,556000000.0,0.004584819154355578,0.0020574955706692574,0.014891416752843847,0.05770423991726991,0.007972795336343373,0.01772666624309041,0.11499482936918304,0.002228731533367295,1.608728943338438,20555000000.0,305000000.0,1425000000.0,,,2515000000.0,,-0.19,-0.19,0.013916500994035786,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2022-06-30,33753000000.0,14199000000.0,9375000000.0,,14882000000.0,,34000000.0,,,9882000000.0,,253000000.0,-767000000.0,,289000000.0,-0.79,393000000.0,,551000000.0,,34000000.0,,,1.4379,-0.79,804000000.0,-0.051538771670474395,-0.02272390602316831,-0.07761586723335358,0.025602104837077515,0.007495630018072468,0.01696165191740413,0.08136004857316333,0.0022846391614030374,1.51456,20513000000.0,58000000.0,1320000000.0,,,2391000000.0,,-0.31,-0.31,0.014219991635299039,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2022-09-30,33165000000.0,14335000000.0,9465000000.0,,14144000000.0,,43000000.0,,,15251000000.0,,522000000.0,-783000000.0,,443000000.0,-0.8,990000000.0,,806000000.0,,43000000.0,,,1.0199,-0.8,1328000000.0,-0.0553591628959276,-0.02360922659430122,-0.05134089567897187,0.034227263785981246,0.015739484396200813,0.036794248255445125,0.08707625729460364,0.003040158371040724,1.514527205493925,20747000000.0,-213000000.0,1106000000.0,,,2151000000.0,,-0.47000000000000003,-0.47000000000000003,0.0199907019990702,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2022-12-31,34181000000.0,14592000000.0,11075000000.0,,14394000000.0,,677000000.0,,,-8812000000.0,,131000000.0,877000000.0,,-239000000.0,1.5100000000000002,433000000.0,,-573000000.0,,677000000.0,1.3176,,1.4076,1.5100000000000002,-442000000.0,0.060928164512991524,0.02565752903659928,-0.0995233772128915,-0.01486609169314571,0.003832538544805594,0.008692190299250216,0.05015887426236949,0.04703348617479505,1.3175620767494356,21156000000.0,-601000000.0,1185000000.0,,,2246000000.0,,2.220446049250313e-16,2.220446049250313e-16,0.3014247551202137,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2023-03-31,35042000000.0,15386000000.0,11618000000.0,,14714000000.0,,684000000.0,,,5716000000.0,,438000000.0,576000000.0,,179000000.0,0.57,461000000.0,,269000000.0,,684000000.0,,,1.3252,0.57,707000000.0,0.03914639119206198,0.016437417955596143,0.10076976906927922,0.07662701189643108,0.012499286570401233,0.028445252630211717,0.12368789363191042,0.0464863395405736,1.3243243243243243,22037000000.0,-97000000.0,1344000000.0,,,2397000000.0,,0.49000000000000016,0.49000000000000016,0.2853566958698373,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2023-06-30,36093000000.0,15806000000.0,12311000000.0,,15125000000.0,,797000000.0,,,12030000000.0,,952000000.0,985000000.0,,379000000.0,0.97,1320000000.0,,545000000.0,,797000000.0,,27.7102,1.3686,0.97,1497000000.0,0.06512396694214877,0.027290610367661318,0.08187863674147963,0.07913549459684123,0.02637630565483612,0.059791483481974626,0.12443890274314215,0.052694214876033055,1.2838924539030137,24185000000.0,1655000000.0,2043000000.0,,,3090000000.0,,2.25,2.25,0.25792880258899675,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
