report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-09-30,16314000000.0,6912000000.0,2867000000.0,,5026000000.0,,,2785000000.0,,10685000000.0,2644000000.0,194000000.0,711000000.0,5.0,347500000.0,1707000000.0,219000000.0,1488000000.0,0.0,,22.6629,3.6527,5.0,2644000000.0,0.24744969583528312,0.16206938825548609,0.5260644647831277,0.13926064576509126,0.24744969583528312,0.0,2.410882455528427,14646000000.0,3642000000.0,1737000000.0,3642000000.0,276000000.0,6.999999999999999,6.999999999999999,0.0,13.195652173913043,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2017-12-31,16780000000.0,7278000000.0,3053000000.0,,4589000000.0,7478000000.0,850000000.0,3094000000.0,,-6912000000.0,-1642000000.0,-127000000.0,214000000.0,-5.0,,-695000000.0,-127000000.0,-822000000.0,8328000000.0,2.3839,33.5633,3.9557,-5.0,-1642000000.0,0.23755787037037038,-0.09785458879618593,-0.12711930014709297,0.1189236111111111,0.23755787037037038,1.814774460666812,2.3838847035702586,14314000000.0,3494000000.0,1851000000.0,3494000000.0,260000000.0,4.0,4.0,2.383514596451059,13.438461538461539,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2018-03-31,16163000000.0,6423000000.0,2925000000.0,,4163000000.0,,,1940000000.0,,3744000000.0,903000000.0,66000000.0,197000000.0,1.0,342800000.0,538000000.0,94000000.0,444000000.0,0.0,,28.7206,3.55,1.0,903000000.0,0.24118589743589744,0.05586834127327848,0.2169108815757867,0.11858974358974358,0.24118589743589744,0.0,2.195897435897436,14587000000.0,3588000000.0,1896000000.0,3588000000.0,262000000.0,3.999999999999999,3.999999999999999,0.0,13.694656488549619,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2018-06-30,15523000000.0,6119000000.0,3547000000.0,,3788000000.0,,,1628000000.0,,7575000000.0,1835000000.0,130000000.0,425000000.0,3.0,340800000.0,1158000000.0,181000000.0,977000000.0,0.0,,24.6989,3.1367,3.0,1835000000.0,0.24224422442244226,0.11821168588546029,0.4844244984160507,0.12897689768976897,0.24224422442244226,0.0,1.7251198195658304,15092000000.0,3740000000.0,2087000000.0,3740000000.0,263000000.0,3.999999999999999,3.999999999999999,0.0,14.220532319391635,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2018-09-30,15319000000.0,5940000000.0,3663000000.0,,3546000000.0,,,1589000000.0,,11188000000.0,2724000000.0,194000000.0,622000000.0,5.0,339000000.0,2002000000.0,282000000.0,1720000000.0,0.0,,25.2628,3.2054,5.0,2724000000.0,0.24347515194851627,0.1778183954566225,0.7681895093062606,0.15373614587057563,0.24347515194851627,0.0,1.6216216216216217,15595000000.0,3820000000.0,2319000000.0,3820000000.0,263000000.0,3.999999999999999,3.999999999999999,0.0,14.524714828897338,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2018-12-31,14870000000.0,5778000000.0,3542000000.0,,3258000000.0,6029000000.0,1351000000.0,1504000000.0,,-7739000000.0,-1878000000.0,-133000000.0,-413000000.0,-2.0,,-887000000.0,-193000000.0,-1080000000.0,7380000000.0,1.6313,16.4011,2.8464,-2.0,-1878000000.0,0.24266701124176251,-0.12629455279085408,-0.17653694303440495,0.13955291381315416,0.24266701124176251,2.265193370165746,1.6312817617165443,14768000000.0,3584000000.0,2061000000.0,3584000000.0,257000000.0,7.0,7.0,2.0591517857142856,13.945525291828794,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2019-03-31,15326000000.0,6075000000.0,3961000000.0,15326000000.0,3200000000.0,5981000000.0,,1755000000.0,,3552000000.0,839000000.0,63000000.0,193000000.0,1.81,329600000.0,616000000.0,77000000.0,539000000.0,5981000000.0,,19.2685,3.3154,1.81,839000000.0,0.23620495495495494,0.05474357301318022,0.0913843807864067,0.15174549549549549,0.23620495495495494,1.8690625,1.5337036101994446,14576000000.0,3520000000.0,2156000000.0,3520000000.0,254000000.0,7.809999999999999,7.809999999999999,1.6991477272727273,13.858267716535433,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2019-06-30,15187000000.0,6289000000.0,2188000000.0,,3095000000.0,,,1677000000.0,,,1710000000.0,118000000.0,395000000.0,3.0,327900000.0,1301000000.0,154000000.0,1147000000.0,0.0,,19.8877,3.4153,3.0,1710000000.0,,0.1125962994666491,0.5525040387722132,,,0.0,2.8743144424131626,,3395000000.0,2326000000.0,3395000000.0,242000000.0,7.809999999999999,7.809999999999999,0.0,14.02892561983471,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2019-09-30,14960000000.0,6245000000.0,2223000000.0,,2970000000.0,,,1825000000.0,,,2578000000.0,170000000.0,577000000.0,5.0,326600000.0,2221000000.0,244000000.0,1977000000.0,0.0,,20.2239,3.537,5.0,2578000000.0,,0.17232620320855616,0.868013468013468,,,0.0,2.8092667566351777,,3249000000.0,2583000000.0,3249000000.0,218000000.0,7.809999999999999,7.809999999999999,0.0,14.903669724770642,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2019-12-31,15068000000.0,6253000000.0,2154000000.0,,3030000000.0,7754000000.0,4000000.0,1981000000.0,,10557000000.0,-1725000000.0,-130000000.0,-398000000.0,-2.0700000000000003,,-1143000000.0,-149000000.0,-1292000000.0,7758000000.0,2.903,22.9013,4.092,-2.0700000000000003,-1725000000.0,-0.16339869281045752,-0.11448101937881604,-0.15989988876529476,-0.12238325281803543,-0.16339869281045752,2.5603960396039604,2.90297121634169,,3402000000.0,2371000000.0,3402000000.0,221000000.0,7.739999999999998,7.739999999999998,2.2804232804232805,15.393665158371041,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2020-03-31,14149000000.0,5506000000.0,2032000000.0,,2284000000.0,,4000000.0,1430000000.0,,,761000000.0,51000000.0,169000000.0,1.0,319700000.0,614000000.0,60000000.0,554000000.0,4000000.0,,18.0322,3.2572,1.0,761000000.0,,0.0537847197681815,0.3326048951048951,,,0.0017513134851138354,2.7096456692913384,,3324000000.0,2386000000.0,3324000000.0,209000000.0,6.929999999999998,6.929999999999998,0.0012033694344163659,15.904306220095695,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2020-06-30,14263000000.0,5609000000.0,2042000000.0,,2358000000.0,,4000000.0,1812000000.0,,,1210000000.0,102000000.0,256000000.0,2.0,318600000.0,1351000000.0,116000000.0,1235000000.0,4000000.0,,25.2887,4.3392,2.0,1210000000.0,,0.08483488747107902,0.5122777307366638,,,0.0016963528413910093,2.746816846229187,,2824000000.0,2474000000.0,2824000000.0,193000000.0,5.929999999999998,5.929999999999998,0.00141643059490085,14.632124352331607,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2020-09-30,14940000000.0,6031000000.0,2540000000.0,,2697000000.0,,353000000.0,2169000000.0,,,1999000000.0,154000000.0,413000000.0,4.0,318300000.0,2034000000.0,168000000.0,1866000000.0,353000000.0,,29.0109,4.8659,4.0,1999000000.0,,0.13380187416331996,0.6554098360655738,,,0.13088616981831666,2.3744094488188976,,2245000000.0,2363000000.0,2245000000.0,177000000.0,4.929999999999998,4.929999999999998,0.15723830734966593,12.68361581920904,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2020-12-31,15612000000.0,6523000000.0,2589000000.0,,3182000000.0,7772000000.0,350000000.0,2564000000.0,,12574000000.0,-1088000000.0,-101000000.0,-243000000.0,-0.3700000000000001,,-1192000000.0,-108000000.0,-1300000000.0,8122000000.0,2.5195,30.5985,5.1322,-0.3700000000000001,-1088000000.0,-0.08652775568633689,-0.06968998206507815,-0.09624911535739561,-0.1033879433752187,-0.08652775568633689,2.552482715273413,2.5195056006179994,,2882000000.0,2355000000.0,2882000000.0,206000000.0,6.629999999999998,6.629999999999998,2.8181818181818183,13.990291262135923,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
