report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-04-04,14738000000.0,6493000000.0,3734000000.0,10348000000.0,4390000000.0,,,708000000.0,277497000.0,3073000000.0,128000000.0,43000000.0,56000000.0,0.0,-21000000.0,110000000.0,0.0,,19.8602,0.9054,0.0,0.02915717539863326,0.008685031890351472,0.04165310771233322,0.0,1.7388859132297805,14104000000.0,643000000.0,187000000.0,2.0,2.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2015-07-04,14948000000.0,6773000000.0,4063000000.0,10346000000.0,4602000000.0,,,792000000.0,276342000.0,6320000000.0,295000000.0,85000000.0,128000000.0,1.0,202000000.0,220000000.0,0.0,,18.4929,0.8895,1.0,0.0641025641025641,0.019735081616269735,0.04667721518987342,0.0,1.6669948314053655,14072000000.0,709000000.0,178000000.0,3.0,3.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2015-10-03,14898000000.0,6737000000.0,4189000000.0,10202000000.0,4696000000.0,,,614000000.0,273862000.0,9500000000.0,471000000.0,126000000.0,204000000.0,1.0,415000000.0,332000000.0,0.0,,15.9337,0.8004,1.0,0.10029812606473594,0.03161498187676198,0.049578947368421056,0.0,1.6082597278586774,13790000000.0,792000000.0,163000000.0,3.0,3.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2016-01-02,14708000000.0,6478000000.0,3792000000.0,9744000000.0,4964000000.0,,,1005000000.0,,-5470000000.0,-197000000.0,-85000000.0,-115000000.0,0.0,494000000.0,-201000000.0,0.0,1.7239,16.2945,0.8461,0.0,-0.03968573730862208,-0.013394071253739462,0.0360146252285192,0.0,1.7083333333333333,13423000000.0,697000000.0,169000000.0,2.0,2.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2016-04-02,15099000000.0,6737000000.0,3877000000.0,10110000000.0,4989000000.0,,309000000.0,778000000.0,268721000.0,3201000000.0,150000000.0,43000000.0,64000000.0,0.0,-150000000.0,109000000.0,309000000.0,,13.6955,0.7267,0.0,0.03006614552014432,0.009934432743890324,0.046860356138706656,0.0619362597714973,1.7376837761155532,13551000000.0,719000000.0,169000000.0,2.0,2.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2016-07-02,15034000000.0,6770000000.0,3698000000.0,9848000000.0,5186000000.0,,278000000.0,743000000.0,269344000.0,6712000000.0,327000000.0,87000000.0,146000000.0,1.0,-31000000.0,223000000.0,278000000.0,,13.1724,0.6951,1.0,0.06305437716930197,0.021750698416921645,0.04871871275327771,0.05360586193598149,1.8307193077339101,13943000000.0,751000000.0,171000000.0,2.0,2.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2016-10-01,15167000000.0,6867000000.0,3620000000.0,9516000000.0,5651000000.0,,126000000.0,739000000.0,270134000.0,9963000000.0,748000000.0,132000000.0,-46000000.0,2.0,143000000.0,331000000.0,126000000.0,,11.0331,0.7739,2.0,0.1323659529286852,0.04931759741544142,0.07507778781491518,0.022296938594938948,1.8969613259668507,14406000000.0,1028000000.0,177000000.0,3.0,3.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2016-12-31,15358000000.0,7053000000.0,3893000000.0,9784000000.0,5574000000.0,,363000000.0,1298000000.0,,-6088000000.0,-263000000.0,-88000000.0,-131000000.0,0.0,1050000000.0,-214000000.0,363000000.0,1.8531,13.8335,0.9652,0.0,-0.04718335127377108,-0.017124625602291964,0.04319973718791065,0.0651237890204521,1.811713331620858,13788000000.0,962000000.0,174000000.0,3.0,3.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2017-04-01,15703000000.0,7126000000.0,4023000000.0,10121000000.0,5582000000.0,,462000000.0,997000000.0,267717000.0,3093000000.0,101000000.0,42000000.0,21000000.0,0.0,-194000000.0,106000000.0,462000000.0,,13.8801,0.9264,0.0,0.018093873163740594,0.00643189199516016,0.032654380860006466,0.0827660336796847,1.771314939100174,13680000000.0,913000000.0,173000000.0,3.0,3.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2017-07-01,15775000000.0,7186000000.0,4005000000.0,10093000000.0,5682000000.0,,362000000.0,1129000000.0,265113000.0,6697000000.0,254000000.0,85000000.0,83000000.0,0.0,266000000.0,218000000.0,362000000.0,,14.3721,0.9277,0.0,0.04470256951777543,0.016101426307448496,0.03792743019262356,0.063709961281239,1.7942571785268415,13665000000.0,840000000.0,171000000.0,2.0,2.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
