report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-09-30,6417029000.0,2407205000.0,2280997000.0,,1280758000.0,,1039706000.0,,6557390000.0,232155000.0,104302000.0,75965000.0,26157000.0,0.0,208855401.0,119516000.0,119740000.0,-224000.0,0.0,,214.9099,0.6729,0.0,232155000.0,0.08143771110545474,0.016253939323010697,0.015906023585603418,0.035403567577954036,0.03617795712003172,0.1812637516220863,-3.415993253413324e-05,0.035403567577954036,0.0,1.0553301911401023,8882404000.0,76175000.0,204911000.0,489942000.0,204911000.0,101761000.0,,,0.0,2.0136496300154283,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2016-12-31,6764266000.0,2673551000.0,2460344000.0,,1126016000.0,,1526591000.0,,-2797146000.0,-44794000.0,-50065000.0,-45607000.0,-17388000.0,,,-550399000.0,-55474000.0,-605873000.0,0.0,1.087,1894.6873,0.6672,,-44794000.0,-0.04446206803455723,-0.00740139432718938,0.017898600931091906,0.01601418016792831,-0.006622152351785101,-0.039780962259861316,0.21660399564413155,0.01601418016792831,0.0,1.0866573942505602,8354934000.0,2942000.0,194940000.0,312715000.0,194940000.0,106506000.0,,,0.0,1.8303194186243028,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2017-03-31,7823517000.0,3601449000.0,3539331000.0,,1116743000.0,,2227555000.0,,1413181000.0,-21366000.0,-32993000.0,26010000.0,6521000.0,,,760701000.0,58881000.0,701820000.0,0.0,,429.8528,0.7412,,-21366000.0,-0.029543950577706778,-0.00421715706631685,-0.02334662014278426,-0.0151190824105334,-0.0027309968138370506,-0.01913242348508117,0.4966242823813793,-0.0151190824105334,0.0,1.0175507744260144,8560399000.0,14467000.0,206864000.0,527818000.0,206864000.0,107084000.0,,,0.0,1.9317918643308056,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2017-06-30,8251426000.0,3984278000.0,3836657000.0,,1226639000.0,,2216812000.0,,4231874000.0,92067000.0,48485000.0,53937000.0,16505000.0,0.0,213119962.0,803639000.0,128607000.0,675032000.0,0.0,,123.1108,0.8056,0.0,92067000.0,0.03952670671648301,0.005875954047215596,0.011457099148037017,0.021755609926004414,0.011157707770753807,0.07505631241139406,0.15951136541399863,0.021755609926004414,0.0,1.0384764653186356,9405299000.0,69729000.0,258062000.0,770755000.0,258062000.0,110305000.0,,,0.0,2.3395312995784416,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2017-09-30,7810524000.0,3563629000.0,3212877000.0,,1378974000.0,,1801013000.0,,7791292000.0,293414000.0,184878000.0,80564000.0,42190000.0,0.0,213886452.0,417262000.0,184499000.0,232763000.0,0.0,,105.6626,0.9629,0.0,293414000.0,0.13406924278485308,0.023670370899570886,0.023728798766623045,0.03765922262957158,0.037566493618097836,0.2127770356801506,0.029874762747949892,0.03765922262957158,0.0,1.1091706903189882,10639201000.0,150305000.0,319321000.0,1003742000.0,319321000.0,114904000.0,,,0.0,2.7790242289215343,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2017-12-31,7504263000.0,3152742000.0,3577000000.0,,1181196000.0,,1825322000.0,,-3098899000.0,-272718000.0,-206385000.0,-53789000.0,-82370000.0,,,-1358596000.0,-133552000.0,-1492148000.0,0.0,0.8815,,0.9105,,-272718000.0,-0.17472544776650106,-0.027502367654225337,0.06659946000176191,0.0880048042869419,-0.03634174335307811,-0.23088293560086556,0.4815090779015386,0.0880048042869419,0.0,0.8813927872518871,10337448000.0,-6015000.0,91397000.0,117467000.0,91397000.0,106722000.0,,,0.0,0.8564026161428758,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2018-03-31,9117548000.0,4644690000.0,4438713000.0,,1137671000.0,,2942407000.0,,1482384000.0,-6030000.0,-33906000.0,29741000.0,6884000.0,,,775498000.0,45125000.0,730373000.0,0.0,,,0.8004,,-6030000.0,-0.029802992253472226,-0.0037187629832055725,-0.02287261600233138,-0.004067771913350387,-0.0006613620240880552,-0.005300302108430293,0.4927016211723818,-0.004067771913350387,0.0,1.0464046672988319,10406651000.0,-6928000.0,106733000.0,146020000.0,106733000.0,110453000.0,,,0.0,0.9663205164187483,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2018-06-30,8952809000.0,4263356000.0,4206751000.0,,1163049000.0,,2293264000.0,,4350699000.0,128695000.0,35453000.0,65733000.0,18683000.0,0.0,215075203.0,519826000.0,100641000.0,419185000.0,0.0,,,1.0159,0.0,128695000.0,0.030482808548908946,0.003959986189809255,0.008148805513780659,0.029580304222378978,0.014374818004047668,0.11065311951603071,0.09634888554689718,0.029580304222378978,0.0,1.0134557524322214,10525476000.0,-19960000.0,143361000.0,-109827000.0,143361000.0,122249000.0,,,0.0,1.1726967091755351,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2018-09-30,8511699000.0,3881047000.0,3608798000.0,,1317389000.0,,1900305000.0,,8185945000.0,362914000.0,208136000.0,101726000.0,35714000.0,0.0,215406201.0,255576000.0,163714000.0,91862000.0,0.0,,655.9241,1.0765,0.0,362914000.0,0.15799129945672843,0.024452932369906408,0.025426019842547196,0.044333794082418096,0.04263708103399803,0.2754797557896718,0.011221917567244832,0.044333794082418096,0.0,1.075440354378383,10920129000.0,3298000.0,212861000.0,-250728000.0,212861000.0,143411000.0,,,0.0,1.484272475612052,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2018-12-31,8496886000.0,3848074000.0,3749866000.0,,1098981000.0,,2371540000.0,,-3231228000.0,-213043000.0,-149434000.0,-58695000.0,-20516000.0,,,-609314000.0,-69647000.0,-678961000.0,0.0,1.0261,171.2908,0.9566,,-213043000.0,-0.1359750532538779,-0.017586913605760982,0.04624681390480647,0.06593251853474902,-0.025073067945127193,-0.19385503480041966,0.21012475752252704,0.06593251853474902,0.0,1.0261897358465608,10787800000.0,60249000.0,272536000.0,562459000.0,272536000.0,138505000.0,,,0.0,1.967697917042706,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
