report_date,total_assets,total_liabilities,total_equity,long_term_debt,revenue,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-03-31,26880700000.0,19678800000.0,7201900000.0,2560100000.0,4895300000.0,295600000.0,147600000.0,0.0,591000000.0,771100000.0,22200000.0,748900000.0,2560100000.0,,12.7315,0.8169,0.0,0.04104472430886294,0.010996737436153077,0.06038445039119155,0.15298347394439565,0.35547563837320706,19579100000.0,1255300000.0,1669200000.0,2.0,2.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2015-06-30,29304200000.0,21511000000.0,7359800000.0,,10178600000.0,658900000.0,304400000.0,1.0,590300000.0,1430000000.0,53600000.0,1376400000.0,0.0,,12.3049,0.811,1.0,0.0895268893176445,0.022484831525856362,0.06473385337865718,0.13522488357927417,0.0,20308600000.0,1299500000.0,2049100000.0,2.0,2.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2015-09-30,29935000000.0,22030100000.0,7462000000.0,,15452400000.0,937200000.0,446900000.0,1.0,589800000.0,2159500000.0,86600000.0,2072900000.0,0.0,,13.6993,0.8691,1.0,0.12559635486464754,0.03130783363955236,0.06065077269550361,0.13414744635137585,0.0,21545800000.0,1325900000.0,2538100000.0,2.0,2.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2015-12-31,29819300000.0,22065000000.0,7289400000.0,,-9672500000.0,-624100000.0,-287800000.0,0.0,-1181900000.0,-2067700000.0,-31700000.0,-2099400000.0,0.0,,14.6643,0.8923,0.0,-0.0856174719455648,-0.02092939807440148,0.06452313259240114,0.2170483329025588,0.0,20853800000.0,1267600000.0,2098800000.0,2.0,2.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2016-03-31,30721600000.0,22694300000.0,7559900000.0,,5557500000.0,258200000.0,128700000.0,0.0,585500000.0,824500000.0,54300000.0,770200000.0,0.0,,16.653,0.9531,0.0,0.03415389092448313,0.008404510181761367,0.046459739091318036,0.13858749437696807,0.0,21516000000.0,1230200000.0,2120100000.0,2.0,2.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2016-06-30,31958200000.0,23655900000.0,7835500000.0,,11376800000.0,449100000.0,221100000.0,0.0,585300000.0,1554800000.0,109100000.0,1445700000.0,0.0,,18.429,0.8849,0.0,0.05731606151490013,0.014052731380365602,0.03947507207650657,0.12707439701849377,0.0,22714200000.0,1020400000.0,2189400000.0,1.0,1.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2016-09-30,33620800000.0,25053600000.0,8094700000.0,,17311800000.0,647800000.0,274100000.0,1.0,585600000.0,2259600000.0,162100000.0,2097500000.0,0.0,,18.7023,0.8063,1.0,0.08002767242763784,0.019267834197877504,0.03741956353469888,0.12116013355052623,0.0,24573600000.0,731000000.0,2214000000.0,1.0,1.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2016-12-31,33427500000.0,24986700000.0,7957100000.0,,-10804700000.0,-324100000.0,-210400000.0,0.0,-1171400000.0,-1937000000.0,-110500000.0,-2047500000.0,0.0,,20.0147,0.8812,0.0,-0.04073091955611969,-0.009695609902026774,0.02999620535507696,0.1895008653641471,0.0,23441400000.0,1031000000.0,2265900000.0,1.0,1.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2017-03-31,34810500000.0,25793400000.0,8522900000.0,,6321700000.0,424300000.0,211200000.0,0.0,583300000.0,1118800000.0,35000000.0,1083800000.0,0.0,,19.0124,0.9412,0.0,0.049783524387239084,0.01218885106505221,0.06711802205103058,0.1714412262524321,0.0,24205600000.0,1197100000.0,2579500000.0,1.0,1.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2017-06-30,36689800000.0,27196500000.0,8991500000.0,,12927400000.0,791900000.0,393100000.0,1.0,583500000.0,2036700000.0,73200000.0,1963500000.0,0.0,,18.6478,1.0261,1.0,0.08807206806428293,0.02158365540286401,0.06125748410353203,0.15188669028574964,0.0,25756200000.0,1539900000.0,3097300000.0,2.0,2.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2017-09-30,38932600000.0,29145000000.0,9289400000.0,,19719200000.0,1015900000.0,429700000.0,1.0,585700000.0,3206600000.0,109700000.0,3096900000.0,0.0,,20.3827,1.1043,1.0,0.10936120739767907,0.02609381341086904,0.05151831717311047,0.1570499817436813,0.0,28163600000.0,1908000000.0,4096700000.0,2.0,2.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2017-12-31,38701200000.0,28912700000.0,9284800000.0,,-12129300000.0,-639900000.0,-493200000.0,0.0,-1166800000.0,-2605300000.0,-62200000.0,-2667500000.0,0.0,,20.2232,1.2007,0.0,-0.06891909357229019,-0.016534371027254968,0.052756548193218074,0.21992200704080203,0.0,26839000000.0,1592200000.0,3476700000.0,2.0,2.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2018-03-31,41330900000.0,30493500000.0,10323200000.0,,7430100000.0,718000000.0,181000000.0,1.0,585600000.0,1747100000.0,35800000.0,1711300000.0,0.0,,18.4696,1.2474,1.0,0.06955207687538748,0.01737199044782475,0.09663396185784848,0.23031991494057955,0.0,27947400000.0,1885900000.0,4104200000.0,3.0,3.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2018-06-30,43363500000.0,32144500000.0,11000800000.0,,15448100000.0,1422200000.0,359900000.0,2.0,585600000.0,3483300000.0,102000000.0,3381300000.0,0.0,,15.6577,1.1862,2.0,0.12928150679950548,0.03279716812526664,0.09206310161120138,0.21888128637178683,0.0,30468100000.0,2516200000.0,5522000000.0,4.0,4.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2018-09-30,45543700000.0,33467500000.0,11858800000.0,,23943900000.0,2350600000.0,560200000.0,3.0,586700000.0,5201500000.0,164800000.0,5036700000.0,0.0,,14.086,1.3282,3.0,0.1982156710628394,0.051611968285405006,0.09817114171041476,0.21035420294939422,0.0,34692800000.0,3850900000.0,7461800000.0,6.0,6.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2018-12-31,46575000000.0,35538700000.0,10821800000.0,,-14843100000.0,-1875500000.0,-558500000.0,-2.0,-1171200000.0,-4147100000.0,-36600000.0,-4183700000.0,0.0,,13.452,1.101,-2.0,-0.17330758284204106,-0.04026838432635534,0.12635500670345143,0.2818616057292614,0.0,31979000000.0,2615300000.0,5945600000.0,4.0,4.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2019-03-31,48850300000.0,36518400000.0,12110700000.0,,9300000000.0,1078400000.0,484700000.0,1.83,586600000.0,1868500000.0,75800000.0,1792700000.0,0.0,,14.2793,1.2562,1.83,0.0890452244709224,0.022075606495763588,0.11595698924731183,0.19276344086021505,0.0,33848900000.0,2975700000.0,6027000000.0,4.83,4.83,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2019-06-30,51324200000.0,37773300000.0,13330800000.0,,18750700000.0,2057800000.0,749300000.0,3.0,586700000.0,3374700000.0,203200000.0,3171500000.0,0.0,,14.6854,1.3541,3.0,0.15436432922255228,0.040094146620892286,0.10974523617784936,0.16914035209352185,0.0,37151500000.0,3611300000.0,5817200000.0,5.83,5.83,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2019-09-30,54008100000.0,39661900000.0,14123300000.0,,28281200000.0,2899500000.0,916000000.0,4.0,587300000.0,5133400000.0,281200000.0,4852200000.0,0.0,,14.2734,1.2445,4.0,0.205299044840795,0.05368639148572159,0.10252393816386858,0.1715698060902649,0.0,41488800000.0,4160200000.0,5632700000.0,6.83,6.83,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2019-12-31,54895300000.0,40996500000.0,13673200000.0,,-17309600000.0,-2065400000.0,-969700000.0,-2.83,-1173400000.0,-4115000000.0,-196700000.0,-4311700000.0,0.0,,10.6595,1.0852,-2.83,-0.15105461779246995,-0.03762435035421976,0.11932107038868604,0.24909298886167214,0.0,39022300000.0,3970300000.0,5504700000.0,6.0,6.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2020-03-31,56265200000.0,41688100000.0,14351500000.0,,9323400000.0,692700000.0,175600000.0,1.17,586900000.0,1625800000.0,62400000.0,1563400000.0,0.0,,12.0352,1.1075,1.17,0.04826673170051911,0.01231133986904872,0.0742969303043954,0.16768560825449944,0.0,39045700000.0,3584600000.0,5275400000.0,5.34,5.34,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2020-06-30,59406100000.0,42735500000.0,16670600000.0,,20295100000.0,2489500000.0,654000000.0,4.0,587100000.0,3878600000.0,110700000.0,3767900000.0,0.0,,10.6534,1.1567,4.0,0.14933475699734863,0.041906470884303125,0.122665076791935,0.1856556508713926,0.0,40590100000.0,4016300000.0,5871800000.0,6.34,6.34,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2020-09-30,62890800000.0,44803600000.0,18087200000.0,,31242300000.0,4020300000.0,1046700000.0,6.0,587700000.0,5358300000.0,176400000.0,5181900000.0,0.0,,10.8893,1.3211,6.0,0.22227320978371445,0.06392508920223626,0.12868130707406306,0.16586166831507285,0.0,43551200000.0,5137100000.0,6201500000.0,8.34,8.34,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
