report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-12-31,3965904000.0,2284509000.0,1650952000.0,2291787000.0,1673267000.0,,,467430000.0,-3666762000.0,-496080000.0,-209869000.0,-108837000.0,-5905000.0,-94547000.0,0.0,30131000.0,,,0.0,1.3837,21.2165,0.6271,0.0,-209869000.0,-0.06504461033415468,-0.027443175629062126,0.029682046448610517,0.13529102788782038,0.05723551187669121,-0.0529183258091976,-0.12542469313026552,0.05723551187669121,0.0,1.3837525258154084,7686999000.0,227196000.0,330554000.0,1147012000.0,,330554000.0,12770000.0,3.0,3.0,0.0,25.88519968676586,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2018-03-31,3841999000.0,2169777000.0,1512297000.0,2150333000.0,1690816000.0,,,352443000.0,1900388000.0,269119000.0,78741000.0,55374000.0,2996000.0,20633000.0,0.0,-59087000.0,,,0.0,,19.2327,0.5748,0.0,78741000.0,0.03274986751958817,0.014412809581678704,0.029138260186867104,0.1416126601515059,0.04143417028522597,0.02049479971233725,0.04656982190847496,0.04143417028522597,0.0,1.4347558713665371,7695655000.0,229930000.0,326521000.0,1149791000.0,,326521000.0,12695000.0,3.0,3.0,0.0,25.72044111855061,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2018-06-30,3869401000.0,2190223000.0,1504930000.0,2134268000.0,1734283000.0,,,306624000.0,,559963000.0,177660000.0,126190000.0,6453000.0,47162000.0,2.0,-32650000.0,,,0.0,,18.217,0.5733,2.0,177660000.0,0.07276205786483521,0.03261228288306123,,,,0.04591408334261556,0.1024400285305224,,0.0,1.4553653658309689,,246722000.0,328586000.0,1168913000.0,,328586000.0,13008000.0,4.0,4.0,0.0,25.26030135301353,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2018-09-30,3995893000.0,2324192000.0,1589568000.0,2216767000.0,1778228000.0,,,353912000.0,,869302000.0,289436000.0,205563000.0,10041000.0,76900000.0,3.5,65892000.0,,,0.0,,16.7459,0.5476,3.5,289436000.0,0.115599911822331,0.05144356968517425,,,,0.07243337096363692,0.16276652937643543,,0.0,1.4621532391190561,,278290000.0,335968000.0,1202304000.0,,335968000.0,13585000.0,5.5,5.5,0.0,24.730806036069193,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2018-12-31,4088807000.0,2386207000.0,1734398000.0,2347366000.0,1740545000.0,,,363907000.0,,-492931000.0,-142754000.0,-103596000.0,-5946000.0,-35589000.0,-1.5,296856000.0,,,0.0,1.3758,12.1148,0.4226,-1.5,-142754000.0,-0.059519288498717356,-0.025336485679074604,,,,-0.03491336225945612,-0.08201683955312847,,0.0,1.3758128180498364,,283531000.0,403083000.0,1205453000.0,,403083000.0,13544000.0,4.0,4.0,0.0,29.76100118133491,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2019-03-31,4278324000.0,2313861000.0,1673183000.0,2466702000.0,1810766000.0,,,252031000.0,2158728000.0,308754000.0,102310000.0,72410000.0,,27483000.0,1.28,-57435000.0,,,0.0,,13.9547,0.5,1.28,102310000.0,0.03998860150897465,0.016924851881250695,0.03354290118996001,0.14302589302589303,0.04739365033482681,0.023913569893257266,0.05650095042650458,0.04739365033482681,0.0,1.382909699656284,,300567000.0,426652000.0,1245088000.0,,426652000.0,,5.28,5.28,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2019-06-30,4393578000.0,2420635000.0,1704566000.0,2498747000.0,1894185000.0,,,213374000.0,,655134000.0,222269000.0,156382000.0,,60600000.0,2.77,-42198000.0,,,0.0,,15.7035,0.5626,2.77,222269000.0,0.0825589897502092,0.035593313695580234,,,,0.05058951952144698,0.1173428149837529,,0.0,1.4200887498636017,,330759000.0,471261000.0,1340259000.0,,471261000.0,,6.05,6.05,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2019-09-30,4532721000.0,2558113000.0,1793374000.0,2556910000.0,1975165000.0,,,368073000.0,,991121000.0,338018000.0,238216000.0,,92300000.0,4.22,176921000.0,,,0.0,,15.2888,0.5372,4.22,338018000.0,0.12060562028995046,0.05255474581382794,,,,0.07457286693798272,0.17113405715471872,,0.0,1.4264247167629285,,363412000.0,519843000.0,1462078000.0,,519843000.0,,6.77,6.77,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2019-12-31,4830358000.0,2659883000.0,1938610000.0,2772578000.0,2057134000.0,,,358818000.0,,-599141000.0,-201705000.0,-141868000.0,13821000.0,-54634000.0,-2.5199999999999996,278412000.0,,,0.0,1.3721,14.9062,0.5282,-2.5199999999999996,-201705000.0,-0.0689639080390485,-0.0293700798160302,,,,-0.04175777447551506,-0.0980514638326915,,0.0,1.3720567829527341,,325140000.0,460892000.0,1355868000.0,,460892000.0,,5.75,5.75,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2020-03-31,4835547000.0,2685388000.0,1786382000.0,2807953000.0,2026948000.0,,,347092000.0,,333061000.0,105995000.0,75665000.0,,28600000.0,1.35,-78813000.0,,,0.0,,10.5049,0.3703,1.35,105995000.0,0.037329522020298496,0.015647660957488367,,,,0.021919960658018628,0.052292905392738245,,0.0,1.5032551828220393,,328395000.0,464577000.0,1380175000.0,,464577000.0,,5.82,5.82,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2020-06-30,4590423000.0,2679080000.0,1808212000.0,2646225000.0,1943622000.0,,,481391000.0,,648347000.0,-16643000.0,-8024000.0,,-11757000.0,-0.14,276743000.0,,,0.0,,22.5733,0.4028,-0.14,-16643000.0,-0.004128374755996794,-0.0017479870591446582,,,,-0.0036255918027597893,-0.008562878996018774,,0.0,1.4816183058181231,,163989000.0,225665000.0,1373388000.0,,225665000.0,,2.91,2.91,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2020-09-30,4829985000.0,2897090000.0,1978848000.0,2822120000.0,2007289000.0,,,679342000.0,,1011531000.0,119212000.0,53162000.0,,62179000.0,0.96,546834000.0,,,0.0,,26.5359,0.4168,0.96,119212000.0,0.026484477322398517,0.011006659440971348,,,,0.024681650150052227,0.0593895547676493,,0.0,1.4640285661152348,,-21065000.0,6859000.0,1393798000.0,,6859000.0,,-0.34999999999999953,-0.34999999999999953,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2020-12-31,5063840000.0,3120936000.0,2163232000.0,3010596000.0,2052668000.0,,,902867000.0,,-597557000.0,48270000.0,12140000.0,9009000.0,40361000.0,0.22999999999999998,61602000.0,,,0.0,1.4427,37.7741,0.5711,0.22999999999999998,48270000.0,0.005914254034261751,0.0023973901229106765,,,,0.009532291699579766,0.02351573659257123,,0.0,1.4427190426177128,,132943000.0,256834000.0,1395382000.0,,256834000.0,,2.4,2.4,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2021-03-31,5061189000.0,3105631000.0,2093407000.0,2940517000.0,2119968000.0,,,758833000.0,,341073000.0,117004000.0,84774000.0,,31604000.0,1.54,-88989000.0,,,0.0,,43.2512,0.6983,1.54,117004000.0,0.03998833944663316,0.016749819064255454,,,,0.02311788791131886,0.055191399115458346,,0.0,1.4835294808892872,,142052000.0,267843000.0,1403394000.0,,267843000.0,,2.59,2.59,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2021-06-30,5133170000.0,3113354000.0,2143110000.0,3041993000.0,2090475000.0,,,668908000.0,,717352000.0,250362000.0,182124000.0,,67220000.0,3.32,-6972000.0,,,0.0,,20.7978,0.7286,3.32,250362000.0,0.0871208696588096,0.03547983020238955,,,,0.04877337006177469,0.11976321171025724,,0.0,1.4527271115341722,,332200000.0,534848000.0,1472399000.0,,534848000.0,,6.05,6.05,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2021-09-30,5296678000.0,3226567000.0,2250123000.0,3154628000.0,2141348000.0,,,663905000.0,,1098695000.0,387783000.0,281864000.0,,104523000.0,5.17,113941000.0,,,0.0,,17.1476,0.6498,5.17,387783000.0,0.13162923541619578,0.05321524170432864,,,,0.07321249281153205,0.18109293771960466,,0.0,1.43395138843521,,560902000.0,803419000.0,1559563000.0,,803419000.0,,10.26,10.26,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
