report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-06-30,33110500000.0,28809200000.0,27113700000.0,28302000000.0,4808500000.0,,,1639300000.0,-5137200000.0,-585700000.0,-4400000.0,-354100000.0,0.0,-965200000.0,-543900000.0,-136800000.0,0.0,1.0625,25.9345,3.451,0.0,-0.12180513673702818,-0.017689252653991936,0.11401152378727712,0.0,1.0625329630408245,10938500000.0,1452500000.0,6500000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2015-09-30,34380300000.0,30176100000.0,26587300000.0,29750100000.0,4630200000.0,1995200000.0,,3184700000.0,2714000000.0,336600000.0,4900000.0,167500000.0,0.0,465700000.0,93200000.0,68800000.0,1995200000.0,,25.028,3.3795,0.0,0.07269664377348711,0.009790490484376227,0.12402358142962418,0.43091011187421707,1.1349817394018948,11078700000.0,1493900000.0,9500000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2015-12-31,39899500000.0,35659200000.0,32468100000.0,35693300000.0,4206200000.0,1994800000.0,,2794900000.0,5521000000.0,678000000.0,21800000.0,334000000.0,1.0,462900000.0,492700000.0,141400000.0,1994800000.0,,25.9831,3.4834,1.0,0.16119062336550807,0.016992694144036893,0.12280383988407897,0.47425229423232373,1.0982841619928483,11364600000.0,1545200000.0,27200000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2016-03-31,51125600000.0,46819000000.0,43250400000.0,46622400000.0,4503200000.0,2007700000.0,,2941400000.0,8769500000.0,1210500000.0,38100000.0,596300000.0,2.0,460600000.0,1200800000.0,214700000.0,2007700000.0,,26.5326,3.5868,2.0,0.2688088470421034,0.023676983742000095,0.1380352357603056,0.4458385148338959,1.0825102195586631,11867300000.0,1639400000.0,60400000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2016-06-30,43670000000.0,39500400000.0,35847400000.0,39188400000.0,4481600000.0,,,3191100000.0,-5336700000.0,-732600000.0,-8600000.0,-356500000.0,0.0,-930100000.0,73200000.0,-136300000.0,0.0,1.1019,28.0402,3.5868,0.0,-0.1634684041413781,-0.01677581863979849,0.13727584462308168,0.0,1.1019041827301284,11667800000.0,1492500000.0,56200000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2016-09-30,34337400000.0,30124200000.0,26719300000.0,30087300000.0,4250100000.0,2007700000.0,,2776600000.0,2916900000.0,368700000.0,19900000.0,160000000.0,0.0,455300000.0,329800000.0,77600000.0,2007700000.0,,26.2862,3.376,0.0,0.08675089997882403,0.010737563123591186,0.12640131646611127,0.47238888496741255,1.1274322306347846,11870700000.0,1524600000.0,71200000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2016-12-31,39999400000.0,35808100000.0,32956300000.0,36184300000.0,3815100000.0,2002500000.0,,2705200000.0,5904200000.0,879600000.0,40400000.0,435200000.0,1.0,452700000.0,841100000.0,156000000.0,2002500000.0,,27.5641,3.8749,1.0,0.23055752142800975,0.021990329854947824,0.14897869313370143,0.5248879452701108,1.0865327721861981,12253900000.0,1726200000.0,89800000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2017-03-31,43855900000.0,39514400000.0,36418500000.0,39752800000.0,4103100000.0,2002500000.0,,2995500000.0,9314900000.0,1467600000.0,57200000.0,675100000.0,3.0,451300000.0,1668700000.0,233600000.0,2002500000.0,,26.405,3.7824,3.0,0.3576807779483805,0.0334641405147312,0.1575540263448883,0.4880456240403597,1.0850089926822906,12799300000.0,1983300000.0,108900000.0,4.0,4.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2017-06-30,37180000000.0,32658700000.0,29815900000.0,33203000000.0,3977000000.0,2002400000.0,,2780400000.0,-5756200000.0,-982500000.0,-37500000.0,-472600000.0,-1.0,-909000000.0,-713700000.0,-151100000.0,2002400000.0,1.0953,26.4476,3.7029,-1.0,-0.24704551169223032,-0.026425497579343732,0.17068552169834267,0.5034950968066382,1.0953451011037736,12379800000.0,1733400000.0,80000000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2017-09-30,35661100000.0,31002600000.0,28286600000.0,31707700000.0,3953400000.0,2002100000.0,,2363600000.0,3078800000.0,401500000.0,28000000.0,146700000.0,0.0,445000000.0,244700000.0,87200000.0,2002100000.0,,27.3346,3.8739,0.0,0.10155815247634947,0.011258766555153935,0.1304079511497986,0.5064248494966358,1.0960171954211535,12541700000.0,1766200000.0,88100000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
