report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-07-18,8167875000.0,4977928000.0,3879758000.0,,2289129000.0,1453044000.0,114536000.0,5408270000.0,2481213000.0,519577000.0,298110000.0,37215000.0,178536000.0,4.0,73665000.0,330816000.0,114535000.0,145860000.0,216281000.0,1453044000.0,,24.4589,1.2425,4.0,665437000.0,0.1302285716532358,0.03649786511179468,0.05512113855262404,0.4587812738639158,0.09607083226244252,0.06361226145111183,0.13884366115623195,0.03999079187984328,0.12304063961303707,0.6347584605323684,1.2830511593764353,10003669000.0,505107000.0,881538000.0,4560398000.0,307316000.0,1154430000.0,68255000.0,6.999999999999999,6.999999999999999,1.258667914035498,12.915361511977144,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2015-10-10,8181536000.0,5008385000.0,3950914000.0,,2413076000.0,1293102000.0,105346000.0,7703473000.0,3513600000.0,725102000.0,418579000.0,51599000.0,250484000.0,5.0,73695000.0,520088000.0,161232000.0,207496000.0,358856000.0,1293102000.0,,27.8429,1.4089,5.0,932598000.0,0.1734628333297418,0.051161420056087266,0.054336401256939566,0.45610596675032156,0.09412663612892523,0.0886266344119246,0.19564683617462517,0.04658366427713838,0.12106201968904155,0.5358728858933577,1.26765224451861,10100490000.0,514295000.0,901007000.0,4624326000.0,287420000.0,1162780000.0,63448000.0,6.999999999999999,6.999999999999999,1.1120779511171504,14.200715546589333,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2016-01-02,8134565000.0,4940746000.0,3797477000.0,,2460648000.0,1213161000.0,90782000.0,-6412958000.0,-2965965000.0,-681427000.0,-391403000.0,-45183000.0,-240261000.0,-5.0,-147280000.0,-263473000.0,-98058000.0,-167127000.0,-361531000.0,1213161000.0,1.3013,23.552,1.1451,-5.0,-848554000.0,-0.15906501051755473,-0.04811603324824376,0.06103314570280984,0.4624956221450382,0.10625782985012533,-0.08376932263741207,-0.18548242437208903,0.05637507683661736,0.13231865856598468,0.4930250080466609,1.3010601512530557,9737018000.0,473398000.0,825780000.0,4422772000.0,258779000.0,1095256000.0,65408000.0,6.0,6.0,1.1076506314505468,12.625061154598827,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2016-04-23,8438963000.0,5266227000.0,3908563000.0,,2629139000.0,1229888000.0,103708000.0,2979778000.0,1349889000.0,270999000.0,158813000.0,18943000.0,96366000.0,2.0,73847000.0,75301000.0,89138000.0,79320000.0,-13837000.0,1229888000.0,,23.9081,1.1958,2.0,350319000.0,0.06040494625807156,0.018819018403090523,0.053296923462083416,0.4530166341250925,0.0909460369195289,0.032112831872826084,0.07022469653619941,-0.004643634525793533,0.11756546964236933,0.46779116661386105,1.3473563046060661,9678563000.0,484099000.0,834251000.0,4378737000.0,199769000.0,1099800000.0,62574000.0,5.999999999999999,5.999999999999999,1.118283324240771,13.332230638923514,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2016-07-16,8437529000.0,5279784000.0,3841233000.0,,2748897000.0,1169702000.0,104827000.0,5235933000.0,2360146000.0,487683000.0,283413000.0,,180673000.0,3.0,73842000.0,192905000.0,137920000.0,139265000.0,54985000.0,1169702000.0,,26.3628,1.2643,3.0,626948000.0,0.10310062545086265,0.03358957344028091,0.05412846191882135,0.4507593966538533,0.09314156617359313,0.05779926800844181,0.12445340796544888,0.010501471275510973,0.1197395001043749,0.42551685275948864,1.374502405868116,9506226000.0,469402000.0,802357000.0,4257670000.0,38473000.0,1061311000.0,,4.999999999999999,4.999999999999999,1.10212934757107,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2016-10-08,8414645000.0,5262126000.0,3837351000.0,,2855721000.0,1042633000.0,119494000.0,7484788000.0,3348351000.0,681451000.0,397257000.0,,244667000.0,5.0,73847000.0,409417000.0,204213000.0,199262000.0,205204000.0,1042633000.0,,24.1221,1.1455,5.0,880713000.0,0.13910917768227357,0.04721019127960835,0.05307525076194543,0.44735415351777497,0.09104479645916491,0.0809839274265284,0.17480480223191633,0.027416140577395113,0.11766706017591948,0.36510324362919205,1.3712912892253015,9287541000.0,448080000.0,758706000.0,4092421000.0,-115179000.0,1009426000.0,,4.999999999999999,4.999999999999999,1.0328969136915436,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2016-12-31,8315033000.0,5172764000.0,3676046000.0,,2916192000.0,1042949000.0,135178000.0,-6132820000.0,-2802471000.0,-652535000.0,-379861000.0,,-242493000.0,-4.0,-147680000.0,-176749000.0,-171712000.0,-159460000.0,-348461000.0,1042949000.0,1.4072,27.3396,1.3133,-4.0,-811995000.0,-0.13025925590633264,-0.045683643107610035,0.061939042724228004,0.4569628653702538,0.10640048134463428,-0.0784765376156655,-0.16481731769593455,0.05681904898562162,0.13240157056623217,0.35764071775795286,1.4071543174378123,9567679000.0,459622000.0,787598000.0,4255915000.0,-102109000.0,1045985000.0,,6.0,6.0,0.997097472717104,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2017-04-22,8428657000.0,5306693000.0,3659631000.0,,3023675000.0,1073372000.0,126087000.0,2890838000.0,1270684000.0,179780000.0,107960000.0,,58203000.0,1.0,74093000.0,35081000.0,65279000.0,77430000.0,-30198000.0,1073372000.0,,26.5624,1.1456,1.0,257210000.0,0.035704895532754015,0.01280868351861987,0.0373455724603039,0.4395555890714042,0.06218957963054311,0.021329613958665065,0.043880385067586486,-0.010446105938831577,0.0889742005605295,0.35498921014990037,1.45006231502575,9478739000.0,408769000.0,696379000.0,4176710000.0,-118470000.0,952876000.0,,4.999999999999999,4.999999999999999,1.126455068655313,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2017-07-15,8437413000.0,5326215000.0,3598327000.0,,3128277000.0,1043690000.0,257230000.0,5154565000.0,2263772000.0,326491000.0,195009000.0,,107113000.0,2.0,74093000.0,267349000.0,122364000.0,135200000.0,144985000.0,1043690000.0,,20.2397,0.792,2.0,461691000.0,0.06233751039310138,0.023112416092468155,0.037832290406658954,0.439178087772683,0.06334016546498104,0.03869562862455589,0.07825828919548021,0.02812749475464952,0.08956934290284438,0.33363094124976783,1.4801920448030432,9397371000.0,320365000.0,535187000.0,4080336000.0,-28470000.0,787619000.0,,3.999999999999999,3.999999999999999,1.3251203945054653,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2017-10-07,8468224000.0,5367952000.0,3537409000.0,,3230787000.0,1044008000.0,363302000.0,7336798000.0,3211480000.0,483060000.0,291005000.0,,155117000.0,3.0,74097000.0,401005000.0,160960000.0,192753000.0,240045000.0,1044008000.0,,19.0446,0.7145,3.0,675813000.0,0.09007248079183183,0.03436434841591342,0.039663760675978814,0.4377222870249392,0.06584071143842314,0.057043838235738685,0.1130019100331127,0.032717951346077676,0.09211279907120246,0.3231435560437751,1.5174812977521117,9249381000.0,214113000.0,336796000.0,3943465000.0,6371000.0,582719000.0,,1.9999999999999991,1.9999999999999991,1.7916148263571292,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2017-12-30,8482301000.0,5426892000.0,3480097000.0,,3415196000.0,1044327000.0,546937000.0,-6008417000.0,-2660887000.0,-419119000.0,-118469000.0,,-275679000.0,0.0,-148173000.0,-102630000.0,-158845000.0,-156123000.0,-261475000.0,1044327000.0,1.5595,16.4876,0.8364,0.0,-575242000.0,-0.034688785065337395,-0.013966611182508143,0.01971717342521333,0.4428599080256913,0.06975531159039061,-0.049411002981384414,-0.09398292149182771,0.043518118000132146,0.0957393603007248,0.30578830614699715,1.559408257873272,9373784000.0,475505000.0,570212000.0,4085049000.0,93357000.0,819472000.0,,5.999999999999999,5.999999999999999,1.2743900950856162,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2018-04-21,8614953000.0,5617516000.0,3480139000.0,,3546621000.0,1044755000.0,639143000.0,2873848000.0,1272284000.0,198241000.0,136727000.0,,44290000.0,1.0,74205000.0,153970000.0,34474000.0,71692000.0,119496000.0,1044755000.0,,15.4884,0.8346,1.0,269933000.0,0.03855134224942558,0.01587089331770005,0.04757628100024775,0.4427109575732607,0.06898103170383402,0.023011268894908656,0.04317681671028467,0.0415804872073958,0.09392737542138624,0.294577571158576,1.6141642618297718,9356794000.0,504272000.0,588673000.0,4086649000.0,243051000.0,832195000.0,,5.999999999999999,5.999999999999999,1.2554209049561702,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2018-07-14,8835556000.0,5877816000.0,3598217000.0,,3657949000.0,1045077000.0,902249000.0,5200500000.0,2283842000.0,365781000.0,254562000.0,,83925000.0,3.0,74222000.0,443968000.0,61815000.0,128244000.0,382153000.0,1045077000.0,,19.3271,1.0977,3.0,494025000.0,0.06959145685191347,0.02881109010004577,0.04894952408422267,0.43915815786943563,0.07033573694837035,0.04139875294774885,0.07777567038753347,0.07348389577925199,0.09499567349293338,0.28570026536728643,1.63353572060829,9402729000.0,563825000.0,627963000.0,4106719000.0,480219000.0,864529000.0,,6.999999999999999,6.999999999999999,1.2088397266025779,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2018-10-06,8972353000.0,6024283000.0,3721232000.0,,3659636000.0,1045398000.0,970006000.0,7475482000.0,3290769000.0,520022000.0,370405000.0,,115002000.0,4.0,74212000.0,681503000.0,105132000.0,183584000.0,576371000.0,1045398000.0,,22.4807,1.3111,4.0,703606000.0,0.10121361796637698,0.041282927677945794,0.04954931334193568,0.4402082701824444,0.06956367495768166,0.05795826356809635,0.11052459982223295,0.07710151666474482,0.09412182385028818,0.28565627838397045,1.618894763884649,9541413000.0,643225000.0,664925000.0,4186008000.0,816545000.0,892322000.0,,7.999999999999999,7.999999999999999,1.1715479389727026,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2018-12-29,9040648000.0,6082454000.0,3885950000.0,,3550813000.0,1045720000.0,896527000.0,-5969276000.0,-2627482000.0,-479769000.0,-337847000.0,,-111800000.0,-3.0,-148648000.0,-468413000.0,-7706000.0,-145336000.0,-476119000.0,1045720000.0,1.5651,27.0895,1.198,-3.0,-625105000.0,-0.09514637915316858,-0.037369777033681655,0.056597651038417386,0.4401676183175313,0.08037306366802272,-0.053067988046874515,-0.10437627664154701,0.07976159922911924,0.10472040495363256,0.2945015690772789,1.5652424760997954,9580554000.0,423847000.0,604275000.0,4219413000.0,601901000.0,842459000.0,,4.999999999999999,4.999999999999999,1.2412710885633604,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2019-04-20,11081511000.0,5781838000.0,4298877000.0,11081511000.0,3547223000.0,746767000.0,537330000.0,2952036000.0,1304612000.0,207940000.0,142500000.0,,48258000.0,1.98,72103000.0,204542000.0,61312000.0,69885000.0,143230000.0,746767000.0,,28.3998,1.2629,1.98,277825000.0,0.040172269970058266,0.012859257189746055,0.04827176904346695,0.44193634494972284,0.07043952038525275,0.01876458905288277,0.04842582306898712,0.04851905600067208,0.09411301217193828,0.21052158265775792,1.3449647431177956,9658742000.0,429620000.0,613974000.0,4251741000.0,625635000.0,850351000.0,,5.979999999999999,5.979999999999999,0.8781867722857972,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
