report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-06-30,45452000000.0,16180000000.0,8652000000.0,,20576000000.0,,864000000.0,4925000000.0,,2060000000.0,1309000000.0,219000000.0,508000000.0,2.0,471000000.0,2959000000.0,610000000.0,956000000.0,2349000000.0,864000000.0,,8.0295,0.3126,2.0,3016000000.0,0.06361780715396578,0.028799612778315584,,,0.045322538062131476,0.0960820895522388,,0.041990668740279936,1.8700878409616273,2515000000.0,4179000000.0,1049000000.0,6155000000.0,445000000.0,5.0,5.0,0.14037367993501218,9.391011235955057,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2016-09-30,46265000000.0,16878000000.0,8224000000.0,,20339000000.0,,1064000000.0,5949000000.0,,2952000000.0,1922000000.0,334000000.0,652000000.0,4.0,467000000.0,3822000000.0,912000000.0,1426000000.0,2910000000.0,1064000000.0,,11.014,0.3317,4.0,4378000000.0,0.09449825458478785,0.041543283259483414,,,0.06380633308116286,0.13792459001074617,,0.05231328973892522,2.052285992217899,745000000.0,1419000000.0,21000000.0,3473000000.0,453000000.0,2.0,2.0,0.3063633746040887,3.1324503311258276,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2016-12-31,46173000000.0,16800000000.0,8328000000.0,,20024000000.0,,115000000.0,4816000000.0,,-2269000000.0,-1437000000.0,-215000000.0,-612000000.0,-3.0,-945000000.0,-2601000000.0,-560000000.0,,-3161000000.0,115000000.0,2.0173,13.926,0.4213,-3.0,-2269000000.0,-0.07176388333999201,-0.031122084335000976,,,-0.04914127303835575,-0.1126669645960574,,0.005743108270075909,2.0172910662824206,2289000000.0,3572000000.0,2422000000.0,6439000000.0,446000000.0,4.0,4.0,0.01785991613604597,8.008968609865471,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2017-03-31,46047000000.0,15908000000.0,7899000000.0,,19825000000.0,,120000000.0,4463000000.0,,537000000.0,305000000.0,121000000.0,112000000.0,0.0,451000000.0,,279000000.0,,,120000000.0,,14.1717,0.364,0.0,537000000.0,0.015384615384615385,0.006623667122722436,,,0.011661997524268683,0.026924041113060918,,0.00605296343001261,2.0139258133941005,2099000000.0,3280000000.0,,5662000000.0,459000000.0,3.0,3.0,0.021193924408336277,7.1459694989106755,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2017-06-30,45974000000.0,15731000000.0,7683000000.0,,19923000000.0,,121000000.0,5207000000.0,,1408000000.0,853000000.0,240000000.0,308000000.0,1.0,448000000.0,,572000000.0,,,121000000.0,,16.4595,0.3575,1.0,1408000000.0,0.042814837122923256,0.01855396528472615,,,0.030626006003393224,0.07024545998802634,,0.006073382522712443,2.0475074840557075,1643000000.0,2628000000.0,,4054000000.0,480000000.0,2.0,2.0,0.029847064627528366,5.475,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2017-09-30,47988000000.0,17442000000.0,9130000000.0,,20370000000.0,,121000000.0,5176000000.0,,2746000000.0,1694000000.0,354000000.0,686000000.0,3.0,446000000.0,3822000000.0,913000000.0,,2909000000.0,121000000.0,,16.5115,0.3854,3.0,2746000000.0,0.0831615120274914,0.03530049178961407,,,0.0572226389930816,0.1340100531940852,,0.005940108001963672,1.910405257393209,1415000000.0,2422000000.0,,2422000000.0,500000000.0,1.0,1.0,0.04995871180842279,4.844,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2017-12-31,50158000000.0,19312000000.0,11071000000.0,,21991000000.0,,122000000.0,5850000000.0,,-1092000000.0,1213000000.0,-247000000.0,-2055000000.0,5.0,-901000000.0,1660000000.0,-411000000.0,,1249000000.0,122000000.0,1.7444,9.9896,0.4321,5.0,-1092000000.0,0.05515892865263062,0.024183579887555325,,,-0.021771202998524662,-0.04938271604938271,,0.005547724068937293,1.7443772016981303,4065000000.0,3599000000.0,,3599000000.0,468000000.0,9.0,9.0,0.03389830508474576,7.69017094017094,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2018-03-31,49376000000.0,18260000000.0,10752000000.0,,21877000000.0,,871000000.0,4658000000.0,,801000000.0,469000000.0,121000000.0,149000000.0,1.0,432000000.0,138000000.0,356000000.0,,-218000000.0,871000000.0,,9.3297,0.4,1.0,801000000.0,0.021438039950633085,0.009498541801685028,,,0.01622245625405055,0.03521188675927554,,0.039813502765461445,1.6982886904761905,4229000000.0,3863000000.0,,3863000000.0,468000000.0,10.0,10.0,0.22547243075330053,8.254273504273504,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2018-06-30,50678000000.0,18948000000.0,11341000000.0,,21769000000.0,,183000000.0,4451000000.0,,2054000000.0,1314000000.0,245000000.0,398000000.0,3.0,432000000.0,2197000000.0,740000000.0,,1457000000.0,183000000.0,,10.4023,0.4383,3.0,2054000000.0,0.060361063898203865,0.02592841075022692,,,0.04053040767196811,0.09356778425655976,,0.008406449538334328,1.6707521382594128,4690000000.0,4509000000.0,5397000000.0,4509000000.0,473000000.0,12.0,12.0,0.04058549567531603,9.53276955602537,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2018-09-30,51894000000.0,19891000000.0,12482000000.0,,21910000000.0,,199000000.0,3551000000.0,,3273000000.0,2170000000.0,356000000.0,674000000.0,5.0,430000000.0,2693000000.0,1168000000.0,,1525000000.0,199000000.0,,10.7184,0.4244,5.0,3273000000.0,0.09904153354632587,0.04181600955794504,,,0.06307087524569314,0.1480392600298521,,0.009082610680054769,1.5935747476365967,5166000000.0,5036000000.0,4013000000.0,5036000000.0,475000000.0,14.0,14.0,0.03951548848292295,10.602105263157895,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
