report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-12-31,11451267000.0,6914765000.0,4500132000.0,57053000.0,-733070000.0,-364279000.0,-391860000.0,-75329000.0,-5558000.0,-2.63,-270444851.0,121103000.0,,0.0,0.7308,37.2986,6.276,-2.63,-364279000.0,-0.08707744572825864,-0.03421979419395251,0.5345464962418323,0.49692253127259334,-0.031811239751898195,-0.08094851439913318,0.49692253127259334,0.0,1763336000.0,296689000.0,401911000.0,401911000.0,201435000.0,1.0,1.0,0.0,1.9952391590339316,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2016-03-31,11421975000.0,6976765000.0,4406798000.0,31134000.0,504199000.0,118116000.0,61549000.0,57261000.0,2109000.0,0.0,147433194.0,,,0.0,,54.5803,6.9805,0.0,118116000.0,0.013966830338036824,0.00538864776012905,0.12207283235389202,0.23426464550703194,0.010341118764486876,0.026803134611570578,0.23426464550703194,0.0,1860926000.0,238055000.0,370709000.0,370709000.0,213230000.0,0.2500000000000002,0.2500000000000002,0.0,1.7385405430755523,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2016-06-30,11292375000.0,6966733000.0,4289820000.0,33241000.0,1019133000.0,230414000.0,111924000.0,117170000.0,4361000.0,0.46,147416934.0,395629000.0,,0.0,,106.4925,8.3266,0.46,230414000.0,0.026090605200218192,0.009911466808355196,0.10982276111165079,0.22608825344680233,0.020404387916625157,0.05371181075196628,0.22608825344680233,0.0,2053155000.0,94285000.0,344752000.0,344752000.0,238820000.0,-0.28999999999999976,-0.28999999999999976,0.0,1.443564190603802,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2016-09-30,12299035000.0,7102387000.0,5158721000.0,36445000.0,1565426000.0,346164000.0,331112000.0,180254000.0,8081000.0,1.72,147655184.0,631451000.0,,0.0,,48.9844,7.4717,1.72,346164000.0,0.06418490164519461,0.026921786953204054,0.21151558745031704,0.22113086150351405,0.028145622806992582,0.06710267913306418,0.22113086150351405,0.0,2355688000.0,112725000.0,330415000.0,330415000.0,279356000.0,-0.4499999999999995,-0.4499999999999995,0.0,1.1827739515170608,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2016-12-31,12192585000.0,7060288000.0,5096015000.0,10528000.0,-946545000.0,-197408000.0,-78398000.0,-118205000.0,-4166000.0,0.020000000000000018,-291825624.0,-114818000.0,,0.0,0.6378,37.072,7.3756,0.020000000000000018,-197408000.0,-0.015384177636839766,-0.006429973627413711,0.0828254335504387,0.20855638136591498,-0.016190824177153573,-0.03873771957107661,0.20855638136591498,0.0,2142213000.0,426187000.0,497286000.0,497286000.0,236480000.0,2.2000000000000006,2.2000000000000006,0.0,2.102867050067659,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2017-03-31,12329548000.0,7259103000.0,5031463000.0,14950000.0,550569000.0,137283000.0,83538000.0,55450000.0,2223000.0,0.41,160421655.0,219066000.0,,0.0,,37.851,7.7514,0.41,137283000.0,0.016603123187033275,0.006775430859265887,0.15173030083422787,0.24934749322973143,0.011134471433989308,0.027284906994247994,0.24934749322973143,0.0,2188583000.0,448176000.0,516453000.0,516453000.0,234669000.0,2.6100000000000008,2.6100000000000008,0.0,2.200772151413267,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2017-06-30,12579571000.0,7548277000.0,4996815000.0,22383000.0,1116558000.0,267940000.0,162189000.0,113032000.0,4862000.0,0.77,161059527.0,519312000.0,,0.0,,38.4441,8.179,0.77,267940000.0,0.032458476049243366,0.01289304698864532,0.1452580161532137,0.23996962092430488,0.02129961347648501,0.05362215731420915,0.23996962092430488,0.0,2286008000.0,498441000.0,553979000.0,553979000.0,230531000.0,2.920000000000001,2.920000000000001,0.0,2.403056421912888,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2017-09-30,21232498000.0,9994566000.0,10469279000.0,192578000.0,1726483000.0,334097000.0,174624000.0,184653000.0,7356000.0,0.73,164371096.0,681551000.0,,0.0,,92.8517,10.8723,0.73,334097000.0,0.01667965864698037,0.008224373787766281,0.10114434952443783,0.19351305515316397,0.015735171622293334,0.03191213072074973,0.19351305515316397,0.0,2447065000.0,341953000.0,541912000.0,541912000.0,234930000.0,1.9300000000000006,1.9300000000000006,0.0,2.3066956114587325,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2017-12-31,21404345000.0,10300993000.0,10349081000.0,51000.0,-935682000.0,-288025000.0,-172092000.0,-94493000.0,-6540000.0,-1.91,-310957180.0,-396624000.0,,0.0,0.5735,93.2647,9.4179,-1.91,-288025000.0,-0.016628722878872047,-0.008040049812316144,0.18392146049619423,0.3078235981882734,-0.013456380001350193,-0.027830973590795165,0.3078235981882734,0.0,2457928000.0,248259000.0,451295000.0,451295000.0,258642000.0,6.661338147750939e-16,6.661338147750939e-16,0.0,1.7448635565762713,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2018-03-31,21581917000.0,10595502000.0,10253851000.0,22370000.0,744368000.0,143813000.0,106627000.0,76985000.0,3374000.0,0.42,206507476.0,236990000.0,,0.0,,78.108,7.9914,0.42,143813000.0,0.01039872726841847,0.004940571312548371,0.14324500784558175,0.19320148098789847,0.006663587854591415,0.014025267189858718,0.19320148098789847,0.0,2651727000.0,271348000.0,457825000.0,457825000.0,280177000.0,0.010000000000000675,0.010000000000000675,0.0,1.6340563286779428,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
