report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2019-12-31,334761000000.0,315072000000.0,19689000000.0,,300000000.0,,-7895000000.0,-436000000.0,-40000000.0,-2.2199999999999998,4064000000.0,300000000.0,13.2094,0.6776,-2.2199999999999998,-0.022144344557874954,-0.0013024217277400891,0.055224825839138694,0.015236934328813043,17258000000.0,886000000.0,4.000000000000001,4.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2020-03-31,318649000000.0,302074000000.0,16575000000.0,,,,4425000000.0,52000000.0,-18000000.0,0.0,455000000.0,0.0,7.4959,0.2901,0.0,0.003137254901960784,0.00016318896340487496,0.01175141242937853,0.0,17718000000.0,686000000.0,2.780000000000001,2.780000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2020-06-30,339659000000.0,318928000000.0,20731000000.0,,,,7942000000.0,-42000000.0,-85000000.0,0.0,971000000.0,0.0,31.0425,0.4199,0.0,-0.0020259514736385123,-0.00012365342888014154,-0.00528834046839587,0.0,17385000000.0,28000000.0,-0.21999999999999886,-0.21999999999999886,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2020-09-30,347804000000.0,326255000000.0,21549000000.0,,,,13303000000.0,356000000.0,-22000000.0,1.0,341000000.0,0.0,7.6833,0.343,1.0,0.01652048818970718,0.00102356499637727,0.026760881004284746,0.0,17775000000.0,-70000000.0,-1.2199999999999989,-1.2199999999999989,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2020-12-31,365948000000.0,343249000000.0,22699000000.0,,,,-8231000000.0,133000000.0,49000000.0,1.56,-1233000000.0,0.0,19.4853,0.5576,1.56,0.005859288955460593,0.0003634396143714407,-0.016158425464706597,0.0,17439000000.0,499000000.0,2.560000000000001,2.560000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2021-03-31,366760000000.0,347167000000.0,19593000000.0,,300000000.0,,4534000000.0,225000000.0,37000000.0,1.16,-642000000.0,300000000.0,17.7126,0.6783,1.16,0.011483693155718878,0.0006134802050387175,0.04962505513895015,0.015311590874291839,17548000000.0,672000000.0,3.7200000000000006,3.7200000000000006,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2021-06-30,380148000000.0,358403000000.0,21745000000.0,,300000000.0,,9386000000.0,867000000.0,167000000.0,4.51,-231000000.0,300000000.0,8.4965,0.6336,4.51,0.039871234766613015,0.002280690678367373,0.09237161730236522,0.013796275005748447,18992000000.0,1581000000.0,8.23,8.23,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2021-09-30,377052000000.0,355882000000.0,21170000000.0,,300000000.0,,14627000000.0,1185000000.0,217000000.0,6.19,108000000.0,300000000.0,9.7287,0.6886,6.19,0.05597543693906471,0.003142802584258935,0.08101456211116428,0.014170996693434105,20316000000.0,2410000000.0,13.420000000000002,13.420000000000002,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2021-12-31,387301000000.0,367029000000.0,20272000000.0,,300000000.0,,-9317000000.0,-872000000.0,-188000000.0,-4.43,916000000.0,300000000.0,6.5369,0.6211,-4.43,-0.04301499605367009,-0.0022514788239637903,0.09359235805516797,0.014798737174427782,19230000000.0,1405000000.0,7.430000000000001,7.430000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2022-03-31,365929000000.0,351217000000.0,14712000000.0,,,,4687000000.0,104000000.0,-12000000.0,0.58,753000000.0,0.0,3.5734,0.5248,0.58,0.0070690592713431215,0.00028420813873729605,0.022189033496906336,0.0,19383000000.0,1284000000.0,6.850000000000001,6.850000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
