report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_ps_ttm
2017-09-30,943839.0,23179.0,11440415.0,11728749.0,-10784910.0,,21438.0,,,-9363346.0,,522486.0,,,,-1086784.0,,,,0.0,,,,-9363346.0,,,,,,-9.9204906769057,0.8681895351931541,,,-0.0,0.002026062865726462,,,-17518562.0,,-17518562.0,802740.0,,,-0.0,-21.823457159229637,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2017-12-31,1344006.0,450015.0,11166270.0,11853560.0,-10509554.0,,,,,-12702221.0,-14591675.0,659709.0,0.0,,,,,,,0.0,0.0403,,,-12702221.0,1.3884200033607517,-10.85685257357482,,,,-9.451015099634972,1.2086355900545351,,,-0.0,0.040301282344059386,,,-29870562.0,,-29870562.0,1405087.0,,,-0.0,-21.25887009131819,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2018-03-31,1083262.0,166940.0,11363325.0,12480299.0,-11397037.0,,141940.0,,,-764214.0,,161315.0,0.0,,,-834890.0,,,,0.0,0.0403,,,-764214.0,,,,,,-0.7054747604919216,0.06705374388097537,,,-0.0,0.014691122536757507,,,-30909898.0,,-30909898.0,1626604.0,,,-0.0,-19.002718547353872,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2018-06-30,1025119.0,101467.0,12473167.0,13644076.0,-12618957.0,,75270.0,,,-1908974.0,,335925.0,0.0,,,-1376867.0,,,,0.0,,,,-1908974.0,,,,,,-1.8621974619531976,0.15127827125490642,,,-0.0,0.008134822535447494,,,-24738755.0,,-24738755.0,1679435.0,,,-0.0,-14.730403379708056,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2018-09-30,961655.0,38174.0,14252104.0,14420438.0,-13458783.0,,18174.0,,,-2443272.0,,526342.0,0.0,,,-1553488.0,,,,0.0,,,,-2443272.0,,,,,,-2.54069494777233,0.18153736485683736,,,-0.0,0.002678481717506412,,,-17818681.0,,-17818681.0,1683291.0,,,-0.0,-10.585621262158474,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2018-12-31,9070.0,8398.0,17609913.0,17778247.0,-17769177.0,,,,,1064853.0,-7880013.0,257552.0,0.0,,,,,,,0.0,0.0005,,,1064853.0,0.4434652769793446,-868.7996692392503,,,,117.40385887541345,-0.05992697354525761,,,-0.0,0.0004768904877610696,,,-4051607.0,,-4051607.0,1281134.0,,,-0.0,-3.162516177074373,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2019-03-31,87544.0,87044.0,17805298.0,17973632.0,-17886088.0,,77044.0,,,-417419.0,,212703.0,0.0,0.0,,-235190.0,,,,0.0,0.0005,,0.0,-417419.0,,,,,,-4.768105181394499,0.023337635373369515,,,-0.0,0.004888657297395416,,,-3704812.0,,-3704812.0,1332522.0,,,-0.0,-2.7803008130447378,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2019-06-30,28014.0,27514.0,18188607.0,18356941.0,-18328927.0,,27514.0,,,-906918.0,,443098.0,0.0,,,-340557.0,,,,0.0,,,,-906918.0,,,,,,-32.37374170057828,0.049480146873845915,,,-0.0,0.001512705178576897,,,-2702756.0,,-2702756.0,1439695.0,,,-0.0,-1.8773115138970407,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2019-09-30,16234.0,16234.0,18634186.0,18828520.0,-18812286.0,,16234.0,,,-1432610.0,,766815.0,0.0,,,-500784.0,,,,0.0,,,,-1432610.0,,,,,,-88.2475052359246,0.0761528928488542,,,-0.0,0.0008711944809394948,,,-1692094.0,,-1692094.0,1680168.0,,,-0.0,-1.0070980997138381,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2019-12-31,43243.0,43243.0,21926150.0,22109900.0,-22066657.0,,,,,958910.0,-4880191.0,926307.0,0.0,,,,,,,0.0,0.002,,,958910.0,0.221156788724273,-112.85505168466572,,,,22.17491848391647,-0.04345515498790777,,,-0.0,0.0019722112637193486,,,-1798037.0,,-1798037.0,2348923.0,,,-0.0,-0.7654729422803557,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2020-03-31,61947.0,61947.0,24411768.0,24638370.0,-24576423.0,,40947.0,,,-415473.0,,320818.0,0.0,-0.02,,-227133.0,,,,0.0,0.002,,-0.02,-415473.0,,,,,,-6.706910746283113,0.01690534867502891,,,-0.0,0.0025375876093857684,,,-1796091.0,,-1796091.0,2457038.0,,,-0.0,-0.7309984623762432,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2020-06-30,46169.0,46169.0,25175409.0,25464528.0,-25418359.0,,,,,-875535.0,,646860.0,0.0,,,-388831.0,,,,0.0,,,,-875535.0,,,,,,-18.96369858563105,0.034444985217181014,,,-0.0,0.0018338927482767012,,,-1764708.0,,-1764708.0,2660800.0,,,-0.0,-0.6632245941070355,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
