report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2018-03-31,8257200000.0,3356300000.0,2017400000.0,,3279800000.0,1758400000.0,,901300000.0,-1954106000.0,-1167864000.0,-424538000.0,-383587000.0,-98132000.0,53150000.0,0.0,-485861000.0,,,-299289000.0,,1758400000.0,1.6639,5.1588,80.4052,0.0,-723827000.0,-0.11695438746265016,-0.046454851523518866,0.19629794903654152,0.5976461870543358,0.21725433523053508,-0.051414280870028584,-0.08426382438172363,,0.37041337573294386,0.5361302518446247,1.6636760186378508,3980800000.0,255400000.0,936300000.0,2420700000.0,,1552200000.0,199000000.0,1.0,1.0,1.1328437057080274,4.705025125628141,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2018-06-30,19248800000.0,2818400000.0,2139300000.0,,5123800000.0,10019800000.0,,635200000.0,1212500000.0,642000000.0,132300000.0,35700000.0,90400000.0,2000000.0,0.0,252200000.0,302400000.0,,172800000.0,,10019800000.0,,5.1019,178.7178,0.0,305100000.0,0.006967485069674851,0.0018546610697809734,0.029443298969072166,0.5294845360824743,0.10911340206185567,0.006873155729188313,0.008736363876489078,,0.25162886597938144,1.955540809555408,1.3174402842051138,4221159000.0,120513000.0,847002000.0,2478261000.0,,1483901000.0,239910000.0,1.0,1.0,6.752337251609103,3.530498937101413,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2018-09-30,18667100000.0,2176200000.0,2088100000.0,,5170200000.0,9551100000.0,,459700000.0,2644900000.0,1331300000.0,234900000.0,132000000.0,229000000.0,-133700000.0,0.0,252000000.0,789900000.0,,393800000.0,,9551100000.0,,3.9159,658.5362,0.0,628700000.0,0.025530927236857376,0.007071264417076032,0.04990736889863511,0.5033460622329766,0.0888124314718893,0.012583636451296667,0.015956471235556643,,0.2377027486861507,1.8473366600905188,1.0421914659259615,4881779000.0,-107230000.0,634905000.0,2611028000.0,,1361248000.0,369961000.0,0.0,0.0,7.0164290415853685,1.7161403499287762,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2018-12-31,18155700000.0,1877600000.0,643700000.0,,5161100000.0,10542300000.0,,432200000.0,,2110900000.0,429600000.0,181200000.0,366700000.0,-127900000.0,0.0,249500000.0,1271400000.0,,637700000.0,,10542300000.0,,3.3871,51.875,0.0,1067300000.0,0.035108794636802235,0.009980336753746757,,,,0.02366199044928039,0.027357132850210783,,,2.0426459475693166,2.9168867484853194,,-34687000.0,372262000.0,2916336000.0,,1277273000.0,587968000.0,0.0,0.0,8.253756244749557,0.6331330956786764,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2019-03-31,18350000000.0,2214800000.0,2374500000.0,18350000000.0,5287500000.0,8946200000.0,,428600000.0,1492100000.0,-1152900000.0,-82500000.0,7000000.0,-183200000.0,108200000.0,1.42,-503800000.0,-688900000.0,,-327900000.0,,8946200000.0,0.9326,3.8742,58.2335,1.42,-410400000.0,0.0013238770685579195,0.00038147138964577656,0.004691374572749815,-0.7726693921318947,-0.05529120032169425,-0.004495912806539509,-0.005796103613255865,,-0.2750485892366463,1.691952718676123,0.9327437355232681,,355900000.0,714300000.0,2931300000.0,,1590700000.0,502900000.0,1.42,1.42,5.6240648770981325,1.4203619009743487,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2019-06-30,18246400000.0,2278500000.0,2450800000.0,,5288300000.0,8711400000.0,,434000000.0,,815200000.0,171600000.0,50700000.0,132600000.0,-10200000.0,0.2,253900000.0,380600000.0,,307100000.0,,8711400000.0,,3.985,58.6584,0.2,478700000.0,0.009587201936350057,0.0027786303051560855,,,,0.009404594878989828,0.012257405515832482,,,1.6472968628859936,0.9296964256569283,,370900000.0,753600000.0,3104500000.0,,1764300000.0,545100000.0,1.6199999999999999,1.6199999999999999,4.93759564699881,1.3824986241056687,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2019-09-30,17858500000.0,2177800000.0,2423400000.0,,5361300000.0,8415300000.0,,401800000.0,2660400000.0,1642700000.0,355200000.0,159600000.0,262200000.0,-65600000.0,0.63,254600000.0,776600000.0,,604700000.0,,8415300000.0,,4.1225,57.6704,0.63,959900000.0,0.029768899334116725,0.008936920794019655,0.05999097880018042,0.6174635393173958,0.13351375732972484,0.01988968838368284,0.025782849179042725,,0.3608104044504586,1.5696379609423088,0.8986547825369315,,398500000.0,873900000.0,3415900000.0,,2095500000.0,578300000.0,2.25,2.25,4.015891195418755,1.5111533805983053,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2019-12-31,17588600000.0,2104000000.0,2336600000.0,,5616600000.0,8179700000.0,,397100000.0,3947800000.0,2428200000.0,486400000.0,470700000.0,381900000.0,-366100000.0,1.84,255800000.0,1172100000.0,55700000.0,904700000.0,1116400000.0,8179700000.0,,4.7419,38.7755,1.84,1391100000.0,0.08380514902254033,0.026761652433962908,0.11923096408126045,0.6150767516084908,0.12320786260702163,0.027654276065178583,0.035255829461522295,0.282790414914636,0.3523734738335275,1.4563436954741302,0.9004536506034408,,688000000.0,930700000.0,3733200000.0,,2419300000.0,593500000.0,4.09,4.09,3.3810193031042037,1.5681550126368997,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2020-03-31,17426100000.0,2217200000.0,1637400000.0,17426100000.0,5585500000.0,8873400000.0,,401000000.0,-1334000000.0,-1644000000.0,-366100000.0,-110400000.0,-279400000.0,21700000.0,-0.43999999999999995,-508100000.0,-785500000.0,11900000.0,-600900000.0,-797400000.0,8873400000.0,1.3543,3.0793,28.4625,-0.43999999999999995,-967000000.0,-0.019765464148240982,-0.006335324599307935,0.08275862068965517,1.232383808095952,0.2744377811094453,-0.021008716809842707,-0.025320045093333517,0.5977511244377811,0.724887556221889,1.5886491809148688,1.3540979601807743,,570600000.0,647100000.0,3242100000.0,,1862700000.0,497300000.0,2.2300000000000004,2.2300000000000004,4.763730069254308,1.3012266237683492,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2020-06-30,17028100000.0,2135000000.0,2585800000.0,,5501300000.0,7730000000.0,,378200000.0,1309700000.0,798300000.0,218300000.0,123600000.0,99100000.0,-34100000.0,0.48,257800000.0,501800000.0,9500000.0,292800000.0,492300000.0,7730000000.0,,5.053,41.3139,0.48,511100000.0,0.022467416792394525,0.007258590212648504,0.09437275711995113,0.6095288997480339,0.1666793922272276,0.012819985788197156,0.01649875673592164,0.3758876078491257,0.39024204016186914,1.4051224256084924,0.8256632376827288,6583900000.0,643500000.0,693800000.0,3225200000.0,,1895100000.0,463800000.0,2.51,2.51,4.078940425307372,1.4959034066407935,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2020-09-30,16770900000.0,2122100000.0,1975200000.0,,5443700000.0,8181400000.0,,368300000.0,2619200000.0,1606200000.0,444500000.0,197200000.0,192400000.0,-18900000.0,0.75,262800000.0,957600000.0,15800000.0,578600000.0,941800000.0,8181400000.0,,4.9574,42.6536,0.75,1023100000.0,0.03622536142697063,0.011758462575055603,0.07529016493585827,0.6132406841783751,0.16970830788026878,0.026504242467607582,0.032623613771642045,0.35957544288332316,0.39061545510079415,1.5029116226096222,1.074372215471851,6542700000.0,681100000.0,783100000.0,3188700000.0,1753100000.0,1958300000.0,394000000.0,2.63,2.63,4.177807281826073,1.9875634517766498,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2020-12-31,16576100000.0,2152500000.0,2522200000.0,,5297000000.0,7647800000.0,,370700000.0,3971300000.0,2452000000.0,690100000.0,233400000.0,278900000.0,-38300000.0,0.87,267000000.0,1467300000.0,37200000.0,865500000.0,1430100000.0,7647800000.0,,6.788,107.8926,0.87,1555600000.0,0.04406267698697376,0.014080513510415598,0.0587716868531715,0.6174300606854178,0.1737718127565281,0.041632229535294794,0.05331098201594463,0.36010878050008815,0.3917105230025432,1.4437983764394942,0.8534216160494806,6566200000.0,443800000.0,986800000.0,3212500000.0,2066800000.0,2122800000.0,291000000.0,1.6600000000000001,1.6600000000000001,3.6026945543621633,3.39106529209622,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
