report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-07-01,8295000000.0,3211000000.0,2410000000.0,,-988000000.0,4421000000.0,46000000.0,742000000.0,2777000000.0,1260000000.0,433000000.0,208000000.0,114000000.0,1.0,169500000.0,315000000.0,166000000.0,4467000000.0,,21.9266,2.2766,1.0,599000000.0,-0.21052631578947367,0.025075346594333935,0.07490097227223623,0.45372704357220023,0.15592365862441485,0.052200120554550936,0.12446105202644438,0.21570039611091105,-4.521255060728745,1.3323651452282157,6280000000.0,704000000.0,1253000000.0,3018000000.0,1588000000.0,3.9999999999999996,3.9999999999999996,2.8129722921914357,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2017-09-30,8618000000.0,3336000000.0,2563000000.0,,-830000000.0,4423000000.0,47000000.0,653000000.0,4423000000.0,2054000000.0,770000000.0,420000000.0,188000000.0,2.0,169300000.0,585000000.0,254000000.0,4470000000.0,,20.9745,2.2052,2.0,1024000000.0,-0.5060240963855421,0.048735205384079834,0.09495817318562062,0.46439068505539227,0.1740899841736378,0.08934787653747969,0.21153846153846154,0.23151706986208456,-5.385542168674699,1.3015996878657823,6548000000.0,807000000.0,1359000000.0,3131000000.0,1728000000.0,5.0,5.0,2.5868055555555554,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2017-12-31,8208000000.0,3950000000.0,2931000000.0,,-1742000000.0,4419000000.0,52000000.0,1205000000.0,-2101000000.0,-860000000.0,-97000000.0,-860000000.0,883000000.0,-3.0,-345800000.0,304000000.0,-157000000.0,4471000000.0,1.3477,,2.2992,-3.0,-254000000.0,0.4936854190585534,-0.10477582846003898,0.40932889100428366,0.40932889100428366,0.0461684911946692,-0.011817738791423001,-0.035544155368266765,0.12089481199428843,-2.5665901262916186,1.3476629136813374,6380000000.0,-155000000.0,1282000000.0,3024000000.0,1625000000.0,-4.440892098500626e-16,-4.440892098500626e-16,2.7513846153846155,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2018-03-31,9051000000.0,3621000000.0,3096000000.0,,-1554000000.0,5304000000.0,492000000.0,795000000.0,1468000000.0,669000000.0,171000000.0,117000000.0,23000000.0,0.0,170600000.0,-500000000.0,82000000.0,5796000000.0,,,2.5805,0.0,253000000.0,-0.07528957528957529,0.012926748425588332,0.07970027247956403,0.45572207084468663,0.1164850136239782,0.0188929400066291,0.04031117397454031,0.1723433242506812,-3.72972972972973,1.1695736434108528,6567000000.0,-115000000.0,1277000000.0,3123000000.0,1622000000.0,-4.440892098500626e-16,-4.440892098500626e-16,3.5733662145499383,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2018-06-30,8881000000.0,3581000000.0,2922000000.0,,-1507000000.0,5298000000.0,347000000.0,878000000.0,3227000000.0,1491000000.0,445000000.0,297000000.0,69000000.0,1.0,171100000.0,-75000000.0,178000000.0,5645000000.0,,,2.768,1.0,623000000.0,-0.19708029197080293,0.03344217993469204,0.09203594669972111,0.46203904555314534,0.13789897737837,0.050106969935818035,0.10753987433542775,0.19305856832971802,-3.7458526874585267,1.2255304585900069,7017000000.0,-26000000.0,1289000000.0,3354000000.0,1646000000.0,-4.440892098500626e-16,-4.440892098500626e-16,3.4295261239368164,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2018-09-29,8963000000.0,3664000000.0,3088000000.0,,-1411000000.0,5095000000.0,337000000.0,839000000.0,5089000000.0,2392000000.0,739000000.0,544000000.0,91000000.0,3.0,171600000.0,263000000.0,267000000.0,5432000000.0,,,2.9747,3.0,1006000000.0,-0.3855421686746988,0.060693964074528615,0.10689722931813715,0.47003340538416194,0.14521516997445472,0.08245007252036149,0.18378512807759265,0.19768127333464336,-3.84975194897236,1.1865284974093264,7683000000.0,98000000.0,1258000000.0,3692000000.0,1628000000.0,0.9999999999999996,0.9999999999999996,3.3366093366093366,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2018-12-31,9409000000.0,4272000000.0,3096000000.0,,-1293000000.0,5289000000.0,31000000.0,1246000000.0,-2441000000.0,-1072000000.0,-100000000.0,8000000.0,-50000000.0,,-341300000.0,1387000000.0,-167000000.0,5320000000.0,1.3798,19.4743,2.5616,,-267000000.0,-0.006187161639597835,0.0008502497608672548,-0.0032773453502662844,0.4391642769356821,0.04096681687832855,-0.010628122010840685,-0.024832381425378695,0.10938140106513723,-4.11446249033256,1.37984496124031,7343000000.0,966000000.0,1255000000.0,3480000000.0,1615000000.0,,,3.2941176470588234,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2019-03-30,9993000000.0,3714000000.0,2979000000.0,9993000000.0,-1108000000.0,5287000000.0,28000000.0,886000000.0,1657000000.0,773000000.0,229000000.0,151000000.0,33000000.0,0.86,174600000.0,251000000.0,95000000.0,5315000000.0,,23.2876,3.0914,0.86,324000000.0,-0.13628158844765342,0.015110577404182928,0.09112854556427279,0.46650573325286665,0.13820156910078454,0.022916041228860203,0.05443308771095793,0.1955340977670489,-4.796931407942238,1.2467270896273916,7532000000.0,1000000000.0,1313000000.0,3584000000.0,1686000000.0,,,3.1524317912218267,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2019-06-29,9974000000.0,3831000000.0,2876000000.0,,-970000000.0,5315000000.0,28000000.0,953000000.0,3517000000.0,1704000000.0,579000000.0,358000000.0,100000000.0,2.04,175300000.0,502000000.0,191000000.0,5343000000.0,,26.7782,3.6029,2.04,770000000.0,-0.36907216494845363,0.03589332263886104,0.1017912994029002,0.4845038384987205,0.16462894512368495,0.05805093242430319,0.1324033844042991,0.2189365936878021,-5.508247422680412,1.332058414464534,7822000000.0,1061000000.0,1447000000.0,3797000000.0,1833000000.0,,,2.9148936170212765,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2019-09-28,10373000000.0,4154000000.0,3656000000.0,,-1101000000.0,5112000000.0,617000000.0,1138000000.0,5511000000.0,2711000000.0,991000000.0,625000000.0,180000000.0,3.56,175700000.0,1028000000.0,290000000.0,5729000000.0,,26.9458,3.6333,3.56,1281000000.0,-0.5676657584014533,0.06025257881037308,0.11340954454726909,0.49192524042823443,0.1798221738341499,0.09553648896172756,0.2141313742437338,0.23244420250408274,-5.203451407811081,1.136214442013129,8244000000.0,1142000000.0,1699000000.0,4116000000.0,2108000000.0,,,2.717741935483871,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2019-12-31,10642000000.0,4178000000.0,3439000000.0,,-700000000.0,5113000000.0,,1001000000.0,-2798000000.0,-1257000000.0,-218000000.0,-266000000.0,-183000000.0,-1.5099999999999998,-350000000.0,42000000.0,-182000000.0,5113000000.0,1.2149,31.8077,3.5006,-1.5099999999999998,-400000000.0,0.38,-0.024995301635031008,0.09506790564689063,0.4492494639027877,0.07791279485346676,-0.02048487126479985,-0.049399501472920916,0.14295925661186562,-7.304285714285714,1.2148880488514102,7887000000.0,868000000.0,1581000000.0,3931000000.0,1975000000.0,4.949999999999999,4.949999999999999,2.588860759493671,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2020-03-28,10716000000.0,4481000000.0,3879000000.0,,-948000000.0,5111000000.0,814000000.0,1672000000.0,1655000000.0,787000000.0,259000000.0,197000000.0,26000000.0,1.12,175900000.0,308000000.0,99000000.0,5925000000.0,,25.0329,2.9017,1.12,358000000.0,-0.20780590717299577,0.018383725270623368,0.1190332326283988,0.4755287009063444,0.1564954682779456,0.024169466218738334,0.052039381153305204,0.2163141993957704,-6.25,1.1551946377932456,7885000000.0,914000000.0,1611000000.0,3945000000.0,2009000000.0,5.209999999999999,5.209999999999999,2.9492284718765553,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2020-06-27,10374000000.0,4086000000.0,3480000000.0,,-830000000.0,5111000000.0,517000000.0,1341000000.0,3273000000.0,1553000000.0,476000000.0,332000000.0,67000000.0,1.9,174800000.0,517000000.0,197000000.0,5628000000.0,,27.9015,3.0738,1.9,673000000.0,-0.4,0.03200308463466358,0.10143599144515734,0.4744882370913535,0.14543232508402076,0.04588394062078273,0.09920800333472281,0.20562175374274366,-6.780722891566265,1.1741379310344828,7641000000.0,888000000.0,1508000000.0,3794000000.0,1912000000.0,5.07,5.07,2.9435146443514646,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2020-09-26,10361000000.0,3971000000.0,3312000000.0,,-756000000.0,5162000000.0,212000000.0,1007000000.0,5141000000.0,2462000000.0,828000000.0,537000000.0,112000000.0,3.08,174300000.0,909000000.0,300000000.0,5374000000.0,,34.0946,3.5378,3.08,1128000000.0,-0.7103174603174603,0.05182897403725509,0.10445438630616612,0.47889515658432213,0.16105815989107178,0.07991506611330952,0.17929839757470767,0.21941256564870648,-7.108465608465608,1.1989734299516908,7271000000.0,800000000.0,1345000000.0,3545000000.0,1759000000.0,4.59,4.59,3.0551449687322343,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2020-12-31,10876000000.0,4327000000.0,3489000000.0,,-558000000.0,5163000000.0,,1254000000.0,-2655000000.0,-1194000000.0,-180000000.0,-117000000.0,16000000.0,-0.6499999999999995,-350900000.0,-121000000.0,-187000000.0,5163000000.0,1.2402,30.3784,3.8885,-0.6499999999999995,-367000000.0,0.20967741935483872,-0.01075763148216256,0.04406779661016949,0.4497175141242938,0.06779661016949153,-0.01655020228025009,-0.03908794788273615,0.13822975517890773,-9.25268817204301,1.24018343364861,7414000000.0,949000000.0,1383000000.0,3608000000.0,1792000000.0,5.45,5.45,2.881138392857143,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
