report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-05-31,37069000000.0,10941000000.0,5957000000.0,,14993000000.0,,,3763000000.0,-23193000000.0,-4082000000.0,-2580000000.0,235000000.0,-1455000000.0,-9.0,-1240000000.0,-1296000000.0,0.0,1.7352,41.747,1.0487,-9.0,-5378000000.0,-0.1720803041419329,-0.06959993525587418,0.11124046048376665,0.17600137972664165,-0.11011896733119318,-0.2722603881811512,0.23188030871383608,0.0,1.836662749706228,47453000000.0,1050000000.0,1867000000.0,4478000000.0,3.0,3.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2015-08-31,37245000000.0,10703000000.0,5844000000.0,,15283000000.0,,,3543000000.0,12279000000.0,1144000000.0,692000000.0,,392000000.0,2.0,1241000000.0,648000000.0,0.0,,34.5634,0.8855,2.0,1792000000.0,0.04527906824576327,0.01857967512417774,0.05635638081276977,0.09316719602573499,0.030715532286212915,0.07485441340051037,0.14594022314520727,0.0,1.83145106091718,48048000000.0,1136000000.0,2024000000.0,4632000000.0,3.0,3.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2015-11-30,38371000000.0,11152000000.0,5951000000.0,,14990000000.0,,,3647000000.0,24732000000.0,2281000000.0,1383000000.0,,756000000.0,4.0,2454000000.0,1301000000.0,0.0,,35.5587,0.9219,4.0,3582000000.0,0.09226150767178119,0.03604284485679289,0.05591945657447841,0.09222869157366974,0.05944593573271481,0.15216811207471648,0.14483260553129548,0.0,1.8739707612166023,49157000000.0,1297000000.0,2305000000.0,4912000000.0,3.0,3.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2016-02-29,37819000000.0,10237000000.0,5939000000.0,,14327000000.0,,,2841000000.0,37386000000.0,3145000000.0,1890000000.0,,1031000000.0,6.0,,1964000000.0,0.0,,33.1513,0.7621,6.0,5109000000.0,0.13191875479863197,0.04997488035114625,0.05055368319691863,0.0841223987588937,0.08315925857373278,0.21951559991624206,0.13665543251484513,0.0,1.723690857046641,51204000000.0,1385000000.0,2488000000.0,5105000000.0,3.0,3.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2016-05-31,46064000000.0,11989000000.0,8008000000.0,,13784000000.0,,,3534000000.0,-24032000000.0,-3493000000.0,-2145000000.0,336000000.0,-1259000000.0,-6.0,,-1282000000.0,0.0,1.4971,24.3307,0.8792,-6.0,-4775000000.0,-0.15561520603598375,-0.04656564779437305,0.08925599201065246,0.14534786950732356,-0.07582928100034735,-0.2534097504352873,0.1986934087882823,0.0,1.497127872127872,50365000000.0,1820000000.0,3077000000.0,5708000000.0,6.0,6.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2016-08-31,45575000000.0,11401000000.0,7474000000.0,,14142000000.0,,,2989000000.0,14663000000.0,1264000000.0,715000000.0,,427000000.0,2.0,,739000000.0,0.0,,23.7638,0.8303,2.0,2003000000.0,0.05055861971432612,0.01568842567196928,0.04876219054763691,0.0862033690240742,0.02773450356555129,0.08937915429217932,0.13660233240128214,0.0,1.5254214610650254,52749000000.0,1843000000.0,3197000000.0,5919000000.0,6.0,6.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2016-11-30,46348000000.0,12052000000.0,7807000000.0,,14531000000.0,,,3059000000.0,29594000000.0,2431000000.0,1415000000.0,,805000000.0,5.0,,1479000000.0,0.0,,27.5044,0.9223,5.0,3910000000.0,0.09737801940678549,0.030529904202986104,0.0478137460296006,0.08214502939785091,0.05245102269785104,0.16729750189250567,0.1321213759545854,0.0,1.543742794927629,57611000000.0,1875000000.0,3347000000.0,6247000000.0,7.0,7.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2017-02-28,46781000000.0,11938000000.0,7450000000.0,,15184000000.0,,,3173000000.0,44591000000.0,3456000000.0,1977000000.0,,1142000000.0,7.0,,2241000000.0,0.0,,26.9696,0.8934,7.0,5697000000.0,0.13020284510010538,0.04226074688441889,0.044336301047296536,0.07750442914489471,0.07387614629871102,0.22760800842992623,0.12776120741853736,0.0,1.6024161073825502,64816000000.0,1962000000.0,3658000000.0,6835000000.0,8.0,8.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2017-05-31,48552000000.0,12628000000.0,7918000000.0,,16073000000.0,,,3969000000.0,-28529000000.0,-2114000000.0,-1110000000.0,512000000.0,-792000000.0,-3.0,,-1464000000.0,0.0,1.5948,17.2933,0.8592,-3.0,-3578000000.0,-0.06905991414172837,-0.022862086010874937,0.03890777805040485,0.07410003855725752,-0.04354094579008074,-0.131524917563616,0.12541624312103475,0.0,1.5948471836322304,60319000000.0,2997000000.0,5037000000.0,8032000000.0,11.0,11.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2017-08-31,49350000000.0,12722000000.0,7790000000.0,,16618000000.0,,,3503000000.0,15297000000.0,1117000000.0,596000000.0,,386000000.0,2.0,,751000000.0,0.0,,19.9824,0.9435,2.0,1868000000.0,0.03586472499699121,0.012077001013171227,0.03896188795188599,0.07302085376217558,0.022634245187436678,0.06721627151281742,0.12211544747336078,0.0,1.6331193838254172,60953000000.0,2878000000.0,4890000000.0,7897000000.0,11.0,11.0,0.0,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
