report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,debt_equity,current_ratio,fcf_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2019-12-31,16008000000.0,3321000000.0,1789000000.0,9976000000.0,5958000000.0,5611000000.0,171000000.0,204000000.0,259000000.0,-187000000.0,-317000000.0,72000000.0,5782000000.0,1.8563,14.2013,1.1624,0.9704598858677409,1.8563443264393515,705000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2020-03-31,16465000000.0,3851000000.0,2315000000.0,10273000000.0,6117000000.0,5399000000.0,895000000.0,680000000.0,171000000.0,99000000.0,139000000.0,72000000.0,6294000000.0,,7.8341,0.693,1.0289357528200098,1.663498920086393,888000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2020-06-30,15973000000.0,3526000000.0,1878000000.0,9875000000.0,6021000000.0,5431000000.0,702000000.0,704000000.0,607000000.0,196000000.0,280000000.0,411000000.0,6133000000.0,,16.3358,1.084,1.0186015612024582,1.8775292864749733,1080000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2020-09-30,16009000000.0,3534000000.0,1789000000.0,9853000000.0,6075000000.0,5495000000.0,370000000.0,650000000.0,1049000000.0,278000000.0,429000000.0,771000000.0,5865000000.0,,22.4212,1.2462,0.9654320987654321,1.975405254332029,1326000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2020-12-31,16083000000.0,3541000000.0,2038000000.0,9975000000.0,6023000000.0,5269000000.0,349000000.0,564000000.0,-372000000.0,-190000000.0,-274000000.0,-562000000.0,5618000000.0,1.7375,28.5025,1.608,0.9327577619126681,1.737487733071639,692000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2021-03-31,16195000000.0,3797000000.0,2016000000.0,9876000000.0,6233000000.0,5200000000.0,324000000.0,540000000.0,216000000.0,91000000.0,149000000.0,125000000.0,5524000000.0,,30.3885,1.7373,0.8862506016364512,1.8834325396825398,745000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2021-06-30,16098000000.0,4738000000.0,2295000000.0,10070000000.0,5944000000.0,5223000000.0,325000000.0,609000000.0,642000000.0,198000000.0,289000000.0,444000000.0,5548000000.0,,49.385,1.6918,0.933378196500673,2.064488017429194,778000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2021-09-30,16259000000.0,4875000000.0,3113000000.0,10052000000.0,6120000000.0,4442000000.0,1046000000.0,717000000.0,1189000000.0,315000000.0,416000000.0,874000000.0,5488000000.0,,26.5039,1.3587,0.8967320261437909,1.5660134918085449,881000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2021-12-31,15519000000.0,4646000000.0,2971000000.0,9731000000.0,5704000000.0,4412000000.0,747000000.0,459000000.0,-428000000.0,-49000000.0,-316000000.0,-477000000.0,5159000000.0,1.5638,18.1954,1.4885,0.90445301542777,1.5637832379670145,966000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2022-03-31,15806000000.0,4929000000.0,3136000000.0,9829000000.0,5893000000.0,4379000000.0,984000000.0,487000000.0,17000000.0,112000000.0,121000000.0,-95000000.0,5363000000.0,,17.6559,1.3396,0.9100627863566944,1.5717474489795917,746000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2022-06-30,14875000000.0,4003000000.0,3148000000.0,9468000000.0,5323000000.0,4012000000.0,979000000.0,,262000000.0,247000000.0,243000000.0,15000000.0,4991000000.0,,9.0365,1.0103,0.9376291564907008,1.2716010165184244,317000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2022-09-30,14985000000.0,4105000000.0,3207000000.0,9518000000.0,5384000000.0,3979000000.0,1086000000.0,,518000000.0,408000000.0,360000000.0,110000000.0,5065000000.0,,7.2866,0.7821,0.9407503714710252,1.2800124727159339,-447000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2022-12-31,14667000000.0,3778000000.0,3251000000.0,9431000000.0,5153000000.0,4025000000.0,1126000000.0,493000000.0,178000000.0,-156000000.0,-247000000.0,22000000.0,5151000000.0,1.1621,12.3228,0.9236,0.9996118765767514,1.162103968009843,52000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2023-06-30,14771000000.0,3671000000.0,2787000000.0,9419000000.0,5281000000.0,4593000000.0,844000000.0,,408000000.0,413000000.0,260000000.0,-5000000.0,5437000000.0,,14.019,1.0109,1.0295398598750236,1.3171869393613205,142000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
