report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-12-31,2493739000.0,1380817000.0,945276000.0,,1227178000.0,,611996000.0,,523191000.0,435804000.0,141997000.0,88429000.0,55713000.0,1.0,62550000.0,189957000.0,6491000.0,15180000.0,183466000.0,0.0,,20.3061,4.0173,1.0,157177000.0,0.07205882113271261,0.03546040704339949,0.16901858021258012,0.8329730442610824,0.2714056625591801,0.0569414040523086,0.11571019037173091,0.35066734710650604,0.30041992312558896,0.0,1.460755377265476,2097274000.0,414972000.0,568499000.0,1741664000.0,649203000.0,629940000.0,6.0,6.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2018-03-31,2517146000.0,1407229000.0,962171000.0,,1226614000.0,,595917000.0,,1056495000.0,879463000.0,285354000.0,198065000.0,92224000.0,3.0,62351000.0,374712000.0,16246000.0,30049000.0,358466000.0,0.0,,20.1718,4.1197,3.0,315403000.0,0.16147296541536293,0.07868633762205292,0.1874736747452662,0.8324346068840837,0.27009498388539466,0.11336410363165267,0.23263553163423864,0.33929739374062345,0.2985371440470613,0.0,1.4625560321398172,2119563000.0,425681000.0,577876000.0,1760095000.0,666732000.0,639088000.0,7.0,7.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2018-06-30,2561066000.0,1469050000.0,943925000.0,,1265975000.0,,599268000.0,,1598698000.0,1330657000.0,437307000.0,320808000.0,123693000.0,5.0,62214000.0,556763000.0,36074000.0,44081000.0,520689000.0,0.0,,23.3639,4.9905,5.0,481388000.0,0.2534078477063133,0.12526346451048118,0.20066829382409937,0.8323379399986739,0.27353946774187493,0.1707519446980281,0.34543099192322124,0.3256956598431974,0.30111253032154917,0.0,1.5563206822575946,2166218000.0,461471000.0,600062000.0,1801653000.0,691380000.0,659752000.0,8.0,8.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2018-09-30,2605476000.0,1417658000.0,954433000.0,,1285492000.0,,424707000.0,,-1016977000.0,-845998000.0,-273759000.0,-153613000.0,-121559000.0,-2.0,-125102000.0,-360364000.0,-5346000.0,-29819000.0,-365710000.0,0.0,1.4854,25.593,5.3711,-2.0,-303578000.0,-0.11949743755698207,-0.058957748987133254,0.15104864711787974,0.8318752538159664,0.26918897870846636,-0.10507062816928653,-0.21296048516832466,0.35960498615012926,0.29851019246256305,0.0,1.4853405110678277,2161407000.0,453689000.0,590899000.0,1799926000.0,696911000.0,650390000.0,7.0,7.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2018-12-31,2891896000.0,1619636000.0,1047690000.0,,1409188000.0,,480121000.0,,,457056000.0,158216000.0,130905000.0,34406000.0,2.0,60645000.0,197858000.0,21046000.0,14001000.0,176812000.0,0.0,,19.8013,4.502,2.0,172217000.0,0.09289392188976914,0.045266150649954214,,,,0.054710127888416456,0.11227458649945926,,,0.0,1.5459114814496655,,496165000.0,607118000.0,1821178000.0,690257000.0,665430000.0,8.0,8.0,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2019-03-31,2990236000.0,1807460000.0,1074787000.0,2990236000.0,1467408000.0,,726662000.0,,1088665000.0,913773000.0,301009000.0,246992000.0,68546000.0,4.09,60374000.0,391410000.0,50056000.0,28246000.0,341354000.0,0.0,,19.0967,4.3755,4.09,329255000.0,0.1683185589829141,0.08259950050765223,0.22687603624622818,0.8393518667358646,0.2764936872224238,0.10066396097164237,0.20512972533882873,0.3135528376497821,0.30243922602453466,0.0,1.6816913490766077,,545092000.0,622773000.0,1855488000.0,673145000.0,679282000.0,9.09,9.09,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2019-06-30,3177275000.0,1504901000.0,1072066000.0,,1623782000.0,,688350000.0,,1652059000.0,1386400000.0,403749000.0,332897000.0,90103000.0,5.51,60372000.0,541755000.0,83008000.0,46645000.0,458747000.0,0.0,,18.9825,3.9923,5.51,450394000.0,0.20501335770442092,0.10477437426725732,0.2015043046283456,0.8391952103405508,0.2443913928013467,0.12707398635623293,0.24864729378697387,0.2776819714065902,0.2726258565826039,0.0,1.4037391354636748,,557181000.0,589215000.0,1911231000.0,611203000.0,648288000.0,9.6,9.6,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2019-09-30,3390275000.0,1511586000.0,1105526000.0,,1761497000.0,,599219000.0,,-498277000.0,-871359000.0,-344511000.0,-283060000.0,-79678000.0,-4.52,-120935000.0,-383182000.0,-50568000.0,-20385000.0,-433750000.0,0.0,1.3673,19.7415,3.7652,-4.52,-364896000.0,-0.16069286521634724,-0.08349175214400012,0.5680775953937268,1.748744172418153,0.6914045801833117,-0.10161742041574799,-0.1955785334860065,0.8704997421113156,0.7323155594177536,0.0,1.3673002715449478,,427734000.0,518463000.0,1885870000.0,543163000.0,586970000.0,7.08,7.08,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2019-12-31,3875360000.0,1737471000.0,1150507000.0,,1929458000.0,,735457000.0,,569305000.0,480663000.0,122335000.0,98527000.0,29028000.0,1.62,60815000.0,144012000.0,22304000.0,18979000.0,121708000.0,0.0,,21.477,3.7433,1.62,141314000.0,0.051064599488561034,0.025423960612691466,0.17306540430876244,0.8442978719666963,0.2148848156963315,0.03156738986829611,0.06340381599392161,0.21378347283090787,0.24822195483967294,0.0,1.510178556062675,2811752000.0,395356000.0,482582000.0,1909477000.0,488059000.0,556067000.0,6.7,6.7,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2020-03-31,4440977000.0,1408731000.0,1252006000.0,,1998194000.0,378685000.0,572888000.0,,1152754000.0,962874000.0,206033000.0,159906000.0,51206000.0,2.62,61017000.0,325820000.0,35463000.0,43112000.0,290357000.0,378685000.0,,19.0356,2.811,2.62,249145000.0,0.08002526281231953,0.03600694171575309,0.13871649979093545,0.8352814217083611,0.17873110828502872,0.04639362014259475,0.08668215756881187,0.2518811472352297,0.21613024114425108,0.1895136308086202,1.1251791125601633,2875841000.0,308270000.0,387606000.0,1958578000.0,437062000.0,475957000.0,5.23,5.23,0.7956285967009625,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
