report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2022-03-31,32833000000.0,10913000000.0,9865000000.0,25531000000.0,7300000000.0,,,1022000000.0,,3125000000.0,-288000000.0,-285000000.0,7000000.0,-91000000.0,-0.72,451603354.0,591000000.0,373000000.0,218000000.0,0.0,,21.0737,,-0.72,-288000000.0,-0.03904109589041096,-0.008680291170468736,-0.0912,-0.09216,-0.00877166265647367,-0.03945205479452055,0.06976,-0.09216,0.0,1.1062341611758744,11995000000.0,484000000.0,780000000.0,-166000000.0,780000000.0,362000000.0,0.8000000000000023,0.8000000000000023,0.0,2.154696132596685,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2022-06-30,37468000000.0,15153000000.0,14499000000.0,32065000000.0,5392000000.0,,1300000000.0,1871000000.0,,4713000000.0,-1972000000.0,-1650000000.0,116000000.0,-498000000.0,-3.92,440336286.0,-723000000.0,613000000.0,-1336000000.0,1300000000.0,,21.0737,,-3.92,-1972000000.0,-0.3060089020771513,-0.04403757873385289,-0.35009548058561424,-0.41841714406959474,-0.05263157894736842,-0.29468021518230725,-0.28347124973477617,-0.41841714406959474,0.2410979228486647,1.0451065590730395,10936000000.0,840000000.0,1329000000.0,101000000.0,1329000000.0,314000000.0,1.0100000000000025,1.0100000000000025,0.9781790820165538,4.232484076433121,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2022-09-30,35175000000.0,13145000000.0,11911000000.0,29574000000.0,5582000000.0,,,535000000.0,,9859000000.0,-1079000000.0,-981000000.0,186000000.0,-262000000.0,-2.53,431381151.0,92000000.0,909000000.0,-817000000.0,0.0,,,,-2.53,-1079000000.0,-0.1757434611250448,-0.02788912579957356,-0.09950299218987727,-0.10944314839233188,-0.030675195451314856,-0.19329989251164456,-0.08286844507556547,-0.10944314839233188,0.0,1.103601712702544,12032000000.0,1859000000.0,2651000000.0,567000000.0,2651000000.0,212000000.0,2.6200000000000023,2.6200000000000023,0.0,12.504716981132075,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2022-12-31,32787000000.0,11116000000.0,10337000000.0,27869000000.0,4902000000.0,,650000000.0,455000000.0,,-3969000000.0,2162000000.0,1689000000.0,59000000.0,501000000.0,3.91,-900873717.0,525000000.0,-594000000.0,-69000000.0,650000000.0,1.0754,,0.5907,3.91,2162000000.0,0.3445532435740514,0.05151431969988105,-0.4255479969765684,-0.54472159234064,0.06594076920730778,0.38940922190201727,0.017384731670445956,-0.54472159234064,0.13259893920848634,1.0753603560027087,13728000000.0,-1227000000.0,-1177000000.0,-2004000000.0,-1177000000.0,368000000.0,-3.259999999999998,-3.259999999999998,-0.5522514868309261,-3.198369565217391,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2023-03-31,31117000000.0,9512000000.0,8162000000.0,25901000000.0,5201000000.0,,0.0,518000000.0,,4425000000.0,1131000000.0,699000000.0,207000000.0,178000000.0,1.71,387553379.0,1435000000.0,484000000.0,951000000.0,0.0,,,0.5949,1.71,1131000000.0,0.13439723130167275,0.02246360510331973,0.15796610169491526,0.2555932203389831,0.036346691519105315,0.21745818111901558,0.21491525423728813,0.2555932203389831,0.0,1.1654006370987504,15028000000.0,-243000000.0,242000000.0,-1271000000.0,242000000.0,568000000.0,-0.8299999999999983,-0.8299999999999983,0.0,0.426056338028169,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2023-06-30,30472000000.0,8911000000.0,7626000000.0,25098000000.0,5359000000.0,,0.0,643000000.0,,7614000000.0,1722000000.0,1175000000.0,307000000.0,301000000.0,2.88,382416465.0,3012000000.0,926000000.0,2086000000.0,0.0,,6.0756,0.6478,2.88,1722000000.0,0.21925732412763577,0.03855998949855605,0.15432098765432098,0.22616233254531126,0.05651089524809661,0.3213286060832245,0.27396900446545835,0.22616233254531126,0.0,1.1685024914765276,17929000000.0,2582000000.0,3936000000.0,2151000000.0,3936000000.0,759000000.0,5.9700000000000015,5.9700000000000015,0.0,5.1857707509881426,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2023-09-30,31945000000.0,10699000000.0,8748000000.0,26424000000.0,5506000000.0,,0.0,3170000000.0,,11701000000.0,2559000000.0,1677000000.0,450000000.0,470000000.0,4.13,379102358.0,4572000000.0,1262000000.0,3310000000.0,0.0,,8.2317,0.789,4.13,2559000000.0,0.3045768252815111,0.05249647832211614,0.14332108366806257,0.21869925647380567,0.08010643293160119,0.4647657101343988,0.28288180497393384,0.21869925647380567,0.0,1.2230224051211707,19771000000.0,5240000000.0,7574000000.0,6278000000.0,7574000000.0,1023000000.0,12.630000000000003,12.630000000000003,0.0,7.403714565004887,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2023-12-31,32966000000.0,11637000000.0,9823000000.0,27644000000.0,5307000000.0,,0.0,3485000000.0,,-8961000000.0,-2751000000.0,-2058000000.0,-224000000.0,-441000000.0,-5.139999999999999,-773879092.0,-3566000000.0,-996000000.0,-4562000000.0,0.0,1.1847,9.225,0.9978,-5.139999999999999,-2751000000.0,-0.38778971170152626,-0.062427956075957046,0.2296618680950787,0.3069969869434215,-0.08344961475459564,-0.5183719615602035,0.509094967079567,0.3069969869434215,0.0,1.184668634836608,14779000000.0,1493000000.0,2661000000.0,1785000000.0,2661000000.0,740000000.0,3.5800000000000027,3.5800000000000027,0.0,3.595945945945946,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2024-03-31,38178000000.0,9433000000.0,8775000000.0,30894000000.0,5656000000.0,,500000000.0,1070000000.0,,3054000000.0,86000000.0,-35000000.0,170000000.0,-20000000.0,-0.24,348966197.0,312000000.0,465000000.0,-153000000.0,500000000.0,,32.876,1.801,-0.24,86000000.0,-0.006188118811881188,-0.0009167583425009168,-0.0114603798297315,0.028159790438768827,0.0022526062130022524,0.01397011046133853,-0.05009823182711198,0.028159790438768827,0.0884016973125884,1.0749857549857549,13408000000.0,759000000.0,1616000000.0,681000000.0,1616000000.0,703000000.0,1.6300000000000023,1.6300000000000023,0.3094059405940594,2.2987197724039827,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2024-09-30,37878000000.0,8531000000.0,7660000000.0,29225000000.0,5441000000.0,,,905000000.0,,13187000000.0,3482000000.0,2218000000.0,,694000000.0,5.86,353805937.0,3210000000.0,1648000000.0,1562000000.0,0.0,,19.8568,2.8892,5.86,3482000000.0,0.4076456533725418,0.05855641797349385,0.1681959505573671,0.26404792598771515,0.09192671207561118,0.6399558904613123,0.11844998862516114,0.26404792598771515,0.0,1.1137075718015665,18981000000.0,1802000000.0,3376000000.0,157000000.0,3376000000.0,,4.610000000000003,4.610000000000003,0.0,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2024-12-31,37770000000.0,8119000000.0,8432000000.0,32187000000.0,5570000000.0,,,1188000000.0,,17224000000.0,4081000000.0,2659000000.0,,655000000.0,7.0,352567060.0,4563000000.0,2078000000.0,2485000000.0,0.0,0.9629,17.6408,3.1778,7.0,4081000000.0,0.47737881508078994,0.07039978819168652,0.1543776126335346,0.2369368323269856,0.10804871591209955,0.7326750448833034,0.14427542963307013,0.2369368323269856,0.0,0.9628795066413662,24504000000.0,2784000000.0,4898000000.0,-668000000.0,4898000000.0,,7.480000000000003,7.480000000000003,0.0,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2025-03-31,38228000000.0,8430000000.0,9753000000.0,33390000000.0,4825000000.0,,,561000000.0,,3933000000.0,-120000000.0,-268000000.0,,-176000000.0,-0.93,339799989.0,599000000.0,768000000.0,-169000000.0,0.0,,16.4614,2.5193,-0.93,-120000000.0,-0.0555440414507772,-0.007010568169927802,-0.06814136791253496,-0.03051106025934401,-0.003139060374594538,-0.024870466321243522,-0.04296974319857615,-0.03051106025934401,0.0,0.8643494309443248,37398000000.0,4574000000.0,7529000000.0,3725000000.0,7529000000.0,,11.690000000000001,11.690000000000001,0.0,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2025-06-30,38146000000.0,8484000000.0,9434000000.0,33310000000.0,4823000000.0,,861000000.0,458000000.0,,8183000000.0,395000000.0,59000000.0,,-100000000.0,-0.11,339599887.0,1171000000.0,1458000000.0,-287000000.0,861000000.0,,27.5231,4.1063,-0.11,395000000.0,0.012233049968899026,0.001546689036858386,0.007210069656605157,0.048270805328119275,0.010354952026424788,0.0694933145672062,-0.03507271171941831,0.048270805328119275,0.17851959361393324,0.8993004027983889,42527000000.0,4668000000.0,7838000000.0,3591000000.0,7838000000.0,,11.82,11.82,0.10984945139066088,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2025-09-30,38020000000.0,8381000000.0,8426000000.0,32797000000.0,5210000000.0,,,602000000.0,,13154000000.0,1432000000.0,711000000.0,,104000000.0,1.64,346303617.0,2638000000.0,1916000000.0,722000000.0,0.0,,57.5991,4.0354,1.64,1432000000.0,0.136468330134357,0.018700683850604943,0.054051999391819976,0.10886422381024784,0.03766438716465018,0.2748560460652591,0.054888246921088645,0.10886422381024784,0.0,0.9946593876097792,42494000000.0,3161000000.0,5788000000.0,2751000000.0,5788000000.0,,7.600000000000001,7.600000000000001,0.0,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2025-12-31,41550000000.0,9179000000.0,11814000000.0,36440000000.0,5097000000.0,,1800000000.0,785000000.0,,-7532000000.0,199000000.0,442000000.0,,351000000.0,1.5800000000000003,-680047426.0,-338000000.0,-1390000000.0,-1728000000.0,1800000000.0,0.777,57.9054,3.1083,1.5800000000000003,199000000.0,0.08671767706494016,0.010637785800240674,-0.058682952734997344,-0.026420605416887944,0.004789410348977136,0.02885312454690445,0.22942113648433352,-0.026420605416887944,0.3531489111241907,0.7769595395293719,17738000000.0,944000000.0,1906000000.0,-1462000000.0,1906000000.0,,2.180000000000002,2.180000000000002,0.944386149003148,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
