report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-03-31,16390044000.0,3796132000.0,6957960000.0,,4631700000.0,3209491000.0,2063329000.0,1903961000.0,-102355000.0,-121861000.0,43960000.0,-49139000.0,0.0,151052000.0,,167578000.0,,3209491000.0,,26.5403,2.254,0.0,-102355000.0,-0.026310210074054884,-0.007435062407398052,-0.06400393705543338,-0.05375897930682404,-0.006244949677987442,-0.013053501693811566,,-0.05375897930682404,0.6929401731545652,0.545581176091843,7202881000.0,598461000.0,362212000.0,,362212000.0,142161000.0,5.0,5.0,8.860808035073383,2.5478999162920912,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2016-06-30,16728542000.0,4163977000.0,7446755000.0,,4202304000.0,3196847000.0,2296524000.0,4099830000.0,-71636000.0,-76940000.0,86899000.0,-75556000.0,0.0,150332000.0,,379981000.0,,3196847000.0,,81.635,2.0444,0.0,-71636000.0,-0.0183090038226649,-0.004599324914269277,-0.018766631787171664,-0.017472919608861832,-0.004282262016618065,-0.009681651313779108,,-0.017472919608861832,0.760736729184752,0.5591666437260256,8266714000.0,27734000.0,251485000.0,,251485000.0,172551000.0,2.0,2.0,12.711879436149273,1.4574531587762458,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2016-09-30,16131766000.0,3620294000.0,6619438000.0,,3885756000.0,3204210000.0,1844475000.0,6680735000.0,314516000.0,202391000.0,130273000.0,-14929000.0,1.0,154332000.0,,567044000.0,,3204210000.0,,92.1481,2.0878,1.0,314516000.0,0.0520853599659886,0.012546115533785948,0.030294720565925755,0.047078053537522445,0.019496687467447767,0.044360720488645505,,0.047078053537522445,0.8246040152804242,0.5469186356908246,9973699000.0,-546878000.0,181912000.0,,181912000.0,213056000.0,-2.0,-2.0,17.614066141870794,0.853822469209973,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2016-12-31,15777546000.0,3450251000.0,6127198000.0,,4132301000.0,3159336000.0,1796811000.0,-3910962000.0,321177000.0,278258000.0,-87984000.0,154939000.0,0.0,-301199000.0,1564334000.0,-365255000.0,1199079000.0,3159336000.0,0.5631,59.8528,1.9228,0.0,321177000.0,0.06733730190516131,0.017636329502699596,-0.07114822388967215,-0.0821222502289718,0.020356587773535884,0.044047310638201,-0.3065943877746703,-0.0821222502289718,0.7645464355089332,0.5631042117457278,8773564000.0,281848000.0,461702000.0,,461702000.0,173148000.0,1.0,1.0,6.842803366673742,2.6665165061103795,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2017-03-31,17668906000.0,5328413000.0,8019571000.0,,4089272000.0,3170933000.0,2503230000.0,2188736000.0,-72833000.0,-86122000.0,42977000.0,-46716000.0,0.0,150531000.0,,166869000.0,,3170933000.0,,62.111,2.0866,0.0,-72833000.0,-0.021060472377479416,-0.00487421235927114,-0.03934782449779233,-0.03327628366326501,-0.004122100145872076,-0.01003181039653839,,-0.03327628366326501,0.7754272643150174,0.6644261893809532,9058339000.0,317587000.0,491224000.0,,491224000.0,172165000.0,1.0,1.0,6.4551670928130545,2.8532163912525776,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2017-06-30,18623248000.0,6026561000.0,8744502000.0,,4226077000.0,3220946000.0,2874823000.0,4774788000.0,29935000.0,-29433000.0,85638000.0,-43704000.0,0.0,151060000.0,,356892000.0,,3220946000.0,,68.2655,2.3796,0.0,29935000.0,-0.00696461517383616,-0.0015804439698166508,-0.006164252737503738,0.006269388295354684,0.0016073995255822186,0.00401972707751809,,0.006269388295354684,0.7621597997386228,0.6891828717061304,9733297000.0,365094000.0,592795000.0,,592795000.0,170904000.0,1.0,1.0,5.43349049840164,3.468584702523054,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2017-09-30,19035232000.0,5983802000.0,8272556000.0,,4603420000.0,3735736000.0,3239886000.0,7740636000.0,511663000.0,322805000.0,129639000.0,22374000.0,2.0,156520000.0,,525596000.0,,3735736000.0,,55.3527,2.2643,2.0,511663000.0,0.07012286517415313,0.016958290815683254,0.04170264562240105,0.06610089920259782,0.02687978796370856,0.06135668885436368,,0.06610089920259782,0.811513179331888,0.7233317006255382,10793198000.0,485508000.0,789942000.0,,789942000.0,170270000.0,2.0,2.0,4.72912694856078,4.639349268808363,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2017-12-31,18515628000.0,5539589000.0,7878690000.0,,4522335000.0,3749054000.0,2846729000.0,-4644316000.0,156373000.0,170714000.0,-76542000.0,113451000.0,0.0,-301726000.0,1799154000.0,-339027000.0,1460127000.0,3749054000.0,0.7031,48.9885,1.8406,0.0,156373000.0,0.03774908316168528,0.009219995130599946,-0.03675761942124524,-0.033669758905294125,0.00844546023499716,0.01890528906330001,-0.31439010609958495,-0.033669758905294125,0.829008465759392,0.7031104155640088,10059844000.0,377964000.0,625138000.0,,625138000.0,181712000.0,2.0,2.0,5.997162226580371,3.4402681165800826,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2018-03-31,20429000000.0,7431000000.0,9991000000.0,,4195000000.0,3771000000.0,3423000000.0,2508000000.0,-165000000.0,-137000000.0,51000000.0,-20000000.0,0.0,151817000.0,,192000000.0,,3771000000.0,,49.572,1.5622,0.0,-165000000.0,-0.03265792610250298,-0.006706153017768858,-0.054625199362041466,-0.06578947368421052,-0.008076753634539136,-0.020713030379111222,,-0.06578947368421052,0.8989272943980929,0.7437693924532078,10379108000.0,327086000.0,532971000.0,,532971000.0,189735000.0,2.0,2.0,7.075431871527719,2.8090283816902524,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2018-06-30,20554000000.0,7794000000.0,10497000000.0,,3967000000.0,3731000000.0,3072000000.0,,-54000000.0,-136000000.0,102000000.0,-25000000.0,0.0,150942000.0,,411000000.0,,3731000000.0,,67.3847,1.7135,0.0,-54000000.0,-0.03428283337534661,-0.006616716940741461,,,-0.002627225844117933,-0.007014809041309431,,,0.9405092009074868,0.7424978565304373,,220519000.0,449036000.0,,449036000.0,206097000.0,2.0,2.0,8.308910644135437,2.178760486567005,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
