report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-09-30,55884000000.0,15314000000.0,11974000000.0,30089000000.0,23319000000.0,,316000000.0,924000000.0,82363000000.0,,3355000000.0,383000000.0,970000000.0,7.0,477220000.0,3434000000.0,1019000000.0,316000000.0,,8.0558,0.4693,7.0,,0.14387409408636734,0.0600350726504903,0.0407343103092408,,,,,0.013551181440027446,1.2789376983464171,118404000000.0,10848000000.0,561000000.0,14.0,14.0,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2018-12-31,54302000000.0,13209000000.0,8935000000.0,27149000000.0,24653000000.0,,67000000.0,3019000000.0,-47072000000.0,,-147000000.0,-260000000.0,-93000000.0,0.0,-973836000.0,799000000.0,-672000000.0,67000000.0,1.4783,7.1003,0.357,0.0,,-0.005962763152557498,-0.0027070826120584876,0.0031228755948334466,,,,,0.002717721981097635,1.4783435926133184,111461000000.0,5595000000.0,504000000.0,11.0,11.0,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2019-03-31,57855000000.0,14815000000.0,11328000000.0,31110000000.0,24217000000.0,11268000000.0,30000000.0,1253000000.0,23103000000.0,,204000000.0,119000000.0,70000000.0,0.44,459289000.0,-478000000.0,331000000.0,11298000000.0,,8.1742,0.3886,0.44,,0.00842383449642813,0.0035260565206118744,0.008830022075055188,,,,,0.4665317751992402,1.307821327683616,110969000000.0,5275000000.0,500000000.0,10.44,10.44,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2019-06-30,57781000000.0,14295000000.0,11171000000.0,30475000000.0,24752000000.0,,667000000.0,1819000000.0,50950000000.0,,1628000000.0,234000000.0,395000000.0,3.55,457620000.0,1452000000.0,665000000.0,667000000.0,,7.8712,0.3847,3.55,,0.06577246283128636,0.028175351759228813,0.031952894995093226,,,,,0.02694731738849386,1.279652672097395,109344000000.0,5040000000.0,476000000.0,10.989999999999998,10.989999999999998,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2019-09-30,58741000000.0,15617000000.0,12083000000.0,31649000000.0,24857000000.0,,842000000.0,2268000000.0,78168000000.0,,2340000000.0,343000000.0,545000000.0,5.13,455810000.0,3114000000.0,1001000000.0,842000000.0,,9.935,0.4255,5.13,,0.09413847206018425,0.039835889753323916,0.029935523487872276,,,,,0.03387375789516032,1.2924770338492095,105149000000.0,4025000000.0,436000000.0,9.12,9.12,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2019-12-31,58720000000.0,14395000000.0,11646000000.0,31551000000.0,24910000000.0,,547000000.0,1614000000.0,-44928000000.0,,-1096000000.0,-238000000.0,-209000000.0,-2.3499999999999996,-918831000.0,720000000.0,-656000000.0,547000000.0,1.236,16.0942,0.4608,-2.3499999999999996,,-0.04399839421918908,-0.018664850136239784,0.024394586894586893,,,,,0.021959052589321557,1.2360467113171905,107293000000.0,3076000000.0,458000000.0,6.77,6.77,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2020-03-31,53460000000.0,11705000000.0,10529000000.0,29821000000.0,21372000000.0,,2243000000.0,1221000000.0,20878000000.0,,-2496000000.0,111000000.0,-51000000.0,-5.66,441345000.0,217000000.0,342000000.0,2243000000.0,,62.3074,0.2245,-5.66,,-0.11678832116788321,-0.04668911335578002,-0.11955168119551682,,,,,0.10495040239565787,1.111691518662741,105068000000.0,376000000.0,450000000.0,0.669999999999999,0.669999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2020-06-30,54518000000.0,12499000000.0,10023000000.0,31223000000.0,20715000000.0,,1783000000.0,1890000000.0,31791000000.0,,-2637000000.0,228000000.0,-429000000.0,-6.0,440050000.0,981000000.0,685000000.0,1783000000.0,,,0.3591,-6.0,,-0.1272990586531499,-0.04836934590410507,-0.08294800415211852,,,,,0.08607289403813662,1.2470318267983638,85909000000.0,-3889000000.0,444000000.0,-8.88,-8.88,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2020-09-30,54281000000.0,12822000000.0,10513000000.0,31976000000.0,19722000000.0,,1860000000.0,1462000000.0,47720000000.0,,-3436000000.0,360000000.0,-1053000000.0,-7.83,439670000.0,1472000000.0,1037000000.0,1860000000.0,,,0.2971,-7.83,,-0.1742216813710577,-0.06330023396768666,-0.07200335289186924,,,,,0.09431092181320352,1.2196328355369543,55461000000.0,-9665000000.0,461000000.0,-21.840000000000003,-21.840000000000003,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2020-12-31,54721000000.0,13276000000.0,9518000000.0,33198000000.0,18984000000.0,,987000000.0,2514000000.0,-36260000000.0,,4594000000.0,-200000000.0,283000000.0,10.430000000000001,-881535000.0,-559000000.0,-669000000.0,987000000.0,1.3948,,0.4815,10.430000000000001,,0.24199325747998315,0.08395314413113796,-0.126696083838941,,,,,0.051991150442477874,1.394830846816558,64129000000.0,-3975000000.0,499000000.0,-9.059999999999999,-9.059999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2021-03-31,55496000000.0,14418000000.0,11431000000.0,35039000000.0,17979000000.0,,516000000.0,1351000000.0,21627000000.0,,-654000000.0,146000000.0,-132000000.0,-1.49,439504000.0,271000000.0,356000000.0,516000000.0,,,0.5503,-1.49,,-0.036375771733689305,-0.011784633126711835,-0.030239977805520877,,,,,0.028700150175204404,1.261306972268393,64878000000.0,-2133000000.0,534000000.0,-4.89,-4.89,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2021-06-30,56977000000.0,15780000000.0,14551000000.0,36375000000.0,18149000000.0,,2489000000.0,2207000000.0,48629000000.0,,-358000000.0,289000000.0,-70000000.0,-0.83,439722000.0,2014000000.0,720000000.0,2489000000.0,,,0.4642,-0.83,,-0.019725604716513308,-0.006283237095670182,-0.00736186226325855,,,,,0.13714254228883135,1.0844615490344307,81716000000.0,146000000.0,595000000.0,0.2800000000000006,0.2800000000000006,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2021-09-30,56407000000.0,16019000000.0,13921000000.0,35810000000.0,18139000000.0,,1489000000.0,2897000000.0,78872000000.0,,44000000.0,440000000.0,-110000000.0,0.08,440259000.0,4217000000.0,1081000000.0,1489000000.0,,,0.322,0.08,,0.002425712553062462,0.000780045029872179,0.0005578659093214322,,,,,0.08208831798886378,1.1507075641117737,112868000000.0,3626000000.0,675000000.0,8.190000000000001,8.190000000000001,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2021-12-31,55594000000.0,14697000000.0,12801000000.0,33957000000.0,19166000000.0,,1489000000.0,3147000000.0,-37652000000.0,,2285000000.0,-294000000.0,458000000.0,5.21,-879121000.0,-485000000.0,-552000000.0,1489000000.0,1.1481,24.1077,0.2848,5.21,,0.11922153814045706,0.041101557722056335,-0.060687347285668755,,,,,0.07768965877073986,1.1481134286383876,111476000000.0,1317000000.0,581000000.0,2.969999999999998,2.969999999999998,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
