report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2019-03-31,7998000000.0,2087000000.0,920000000.0,7998000000.0,3362000000.0,2275000000.0,261000000.0,164000000.0,1243000000.0,350000000.0,37000000.0,,25000000.0,0.45,6000000.0,70000000.0,163000000.0,-64000000.0,2536000000.0,,1.9118,66.602,0.45,200000000.0,,,,0.2815768302493966,0.029766693483507644,0.004626156539134784,0.006273312987453374,-0.05148833467417538,0.16090104585679807,0.7543129089827484,2.268478260869565,2904000000.0,,85000000.0,844000000.0,,401000000.0,0.45000000000000023,0.45000000000000023,6.324189526184538,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2019-06-30,7925000000.0,2037000000.0,1007000000.0,,3217000000.0,2275000000.0,332000000.0,132000000.0,1884000000.0,557000000.0,80000000.0,,24000000.0,1.0,,103000000.0,225000000.0,,2607000000.0,,1.8947,46.4742,1.0,305000000.0,,,,0.2956475583864119,0.04246284501061571,0.010094637223974764,0.013736263736263736,,0.1618895966029724,0.8103823437985701,2.022840119165839,2001000000.0,,-35000000.0,607000000.0,,270000000.0,0.4500000000000002,0.4500000000000002,9.655555555555555,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2019-09-30,7251000000.0,1433000000.0,757000000.0,,3571000000.0,1501000000.0,166000000.0,232000000.0,-1210000000.0,-292000000.0,56000000.0,505000000.0,-27000000.0,6.55,,-52000000.0,-180000000.0,,1667000000.0,1.893,1.8705,9.2342,6.55,-124000000.0,0.14141697003640435,0.06964556612880982,-0.41735537190082644,0.2413223140495868,-0.04628099173553719,0.0077230726796303955,0.010691103474608629,,0.1024793388429752,0.46681601792215066,1.892998678996037,2493000000.0,,166000000.0,767000000.0,,455000000.0,8.0,8.0,3.6637362637362636,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2019-12-31,7326000000.0,1344000000.0,688000000.0,,3625000000.0,1502000000.0,179000000.0,157000000.0,533000000.0,153000000.0,17000000.0,,-24000000.0,0.0,,29000000.0,61000000.0,,1681000000.0,,1.8819,7.8816,0.0,78000000.0,,,,0.2870544090056285,0.03189493433395872,0.0023205023205023203,0.003203920090463626,,0.14634146341463414,0.4637241379310345,1.9534883720930232,2450000000.0,,190000000.0,768000000.0,,459000000.0,8.0,8.0,3.662309368191721,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2020-03-31,6968000000.0,1645000000.0,972000000.0,,2983000000.0,1535000000.0,471000000.0,353000000.0,1143000000.0,350000000.0,-451000000.0,,-34000000.0,-9.0,,66000000.0,122000000.0,,2006000000.0,,1.265,,-9.0,-329000000.0,,,,0.30621172353455817,-0.39457567804024496,-0.06472445464982779,-0.09039887753056725,,-0.2878390201224847,0.6724773717733825,1.6923868312757202,2350000000.0,,-298000000.0,768000000.0,,-70000000.0,-1.4500000000000002,-1.4500000000000002,-28.65714285714286,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2020-06-30,6986000000.0,1670000000.0,937000000.0,6986000000.0,3013000000.0,1547000000.0,446000000.0,416000000.0,1717000000.0,546000000.0,-403000000.0,,-21000000.0,-8.47,153000000.0,94000000.0,183000000.0,59000000.0,1993000000.0,,1.7964,,-8.47,-220000000.0,,,,0.31799650553290626,-0.23471170646476414,-0.05768680217578013,-0.08050339592489013,0.0343622597553873,-0.128130460104834,0.6614669764354464,1.7822838847385272,2183000000.0,,-781000000.0,757000000.0,,-595000000.0,-10.920000000000002,-10.920000000000002,-3.349579831932773,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2020-09-30,6877000000.0,1547000000.0,813000000.0,,3036000000.0,1573000000.0,280000000.0,454000000.0,-1067000000.0,-342000000.0,449000000.0,,67000000.0,9.469999999999999,,-51000000.0,-119000000.0,,1853000000.0,1.9028,2.1273,,9.469999999999999,330000000.0,,,,0.32052483598875353,-0.4208059981255858,0.06529009742620329,0.09183882184495806,,-0.30927835051546393,0.6103425559947299,1.9028290282902829,2326000000.0,,-388000000.0,707000000.0,,-141000000.0,-8.000000000000002,-8.000000000000002,-13.141843971631205,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2020-12-31,6742000000.0,1381000000.0,585000000.0,,3122000000.0,1601000000.0,93000000.0,335000000.0,552000000.0,178000000.0,41000000.0,,0.0,0.91,,30000000.0,62000000.0,,1694000000.0,,2.4628,,0.91,103000000.0,,,,0.322463768115942,0.07427536231884058,0.00608128151883714,0.00851328903654485,,0.18659420289855072,0.5426008968609866,2.3606837606837607,2345000000.0,,-364000000.0,732000000.0,,-116000000.0,-7.09,-7.09,-14.60344827586207,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2021-03-31,6664000000.0,1418000000.0,569000000.0,,3114000000.0,1571000000.0,85000000.0,373000000.0,1149000000.0,368000000.0,112000000.0,,0.0,1.57,,55000000.0,124000000.0,,1656000000.0,,2.913,38.7707,1.57,236000000.0,,,,0.3202785030461271,0.09747606614447346,0.01680672268907563,0.02348008385744235,,0.20539599651871193,0.5317919075144508,2.492091388400703,2351000000.0,,199000000.0,750000000.0,,449000000.0,3.48,3.48,3.6881959910913142,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2021-06-30,6766000000.0,1235000000.0,602000000.0,,3202000000.0,1578000000.0,95000000.0,262000000.0,1786000000.0,566000000.0,174000000.0,,-22000000.0,2.87,,77000000.0,189000000.0,,1673000000.0,,2.9215,29.1987,2.87,363000000.0,,,,0.3169092945128779,0.09742441209406495,0.025716819391073013,0.03569230769230769,,0.2032474804031355,0.5224859462835728,2.0514950166112955,2420000000.0,,776000000.0,770000000.0,,1032000000.0,14.82,14.82,1.621124031007752,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
