report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-06-30,15629929000.0,13433018000.0,2196911000.0,1038029000.0,0.0,1042915000.0,,112738000.0,82067000.0,73430000.0,0.0,431349000.0,-106672000.0,1038029000.0,10.2302,0.0,,0.051316598624159104,0.007212956629553468,,,0.4724947892745769,261384000.0,159257000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2016-09-30,17745613000.0,15486117000.0,2259496000.0,1577689000.0,350000000.0,1454938000.0,,164387000.0,131329000.0,120987000.0,0.0,432079000.0,-139376000.0,1927689000.0,11.8531,0.0,,0.07275383536859548,0.009263528963468323,,,0.8531499945120504,241332000.0,196508000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2016-12-31,18533003000.0,16185945000.0,2347058000.0,2167979000.0,,1918793000.0,,-87574000.0,-67080000.0,-69183000.0,0.0,-861412000.0,92896000.0,2167979000.0,19.4201,0.0,,-0.037312243668456424,-0.0047253000498624,,,0.9237006499200275,250327000.0,185908000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2017-03-31,19236501000.0,16801145000.0,2435356000.0,2837347000.0,,1077576000.0,,89368000.0,61412000.0,51011000.0,0.0,438735000.0,-3613000.0,2837347000.0,18.6737,0.0,,0.03669607236067335,0.004645751324526222,,,1.16506457372146,278919000.0,207728000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2017-06-30,19513296000.0,17175586000.0,2337710000.0,2872231000.0,,1318168000.0,,156011000.0,133614000.0,95724000.0,0.0,438424000.0,-105626000.0,2872231000.0,16.9553,0.0,,0.06673667820217222,0.007995112665743398,,,1.2286515436046388,322192000.0,259275000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2017-09-30,21016170000.0,18594330000.0,2421840000.0,2738662000.0,300000000.0,1247764000.0,,229354000.0,217777000.0,136341000.0,0.0,438422000.0,-121321000.0,3038662000.0,15.8032,0.0,,0.09470237505367819,0.01091321587139807,,,1.2546914742509827,387159000.0,345723000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2017-12-31,21779584000.0,19305328000.0,2474256000.0,3275270000.0,,1534339000.0,,-201513000.0,-104721000.0,-80545000.0,0.0,-877030000.0,63648000.0,3275270000.0,16.9527,0.0,,-0.08144387646225774,-0.009252380578067975,,,1.3237393382091425,273220000.0,308082000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2018-03-31,23406322000.0,20796489000.0,2609833000.0,3744345000.0,0.0,1435649000.0,,122857000.0,104617000.0,40997000.0,0.0,438977000.0,-14158000.0,3744345000.0,14.8915,0.0,,0.04707465956634007,0.005248881050170975,,,1.4347067417723662,306709000.0,351287000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2018-06-30,24189176000.0,21460474000.0,2728702000.0,4217119000.0,,2043789000.0,,228769000.0,225978000.0,81071000.0,0.0,439212000.0,-79494000.0,4217119000.0,14.0606,0.0,,0.08383802994977099,0.009457494542186968,,,1.5454670389071434,379467000.0,443651000.0,0.0,0.0,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2018-09-30,25691183000.0,22850848000.0,2840335000.0,4532221000.0,,1839054000.0,,328523000.0,366942000.0,27404000.0,0.75,439484000.0,-92400000.0,4532221000.0,12.4957,0.75,,0.11566346927387086,0.012787383126732622,,,1.5956642438303932,478636000.0,592816000.0,0.7499999999999998,0.7499999999999998,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
