report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2015-06-30,22898300000.0,,,13644100000.0,8328300000.0,1597500000.0,1465700000.0,2609700000.0,702100000.0,516900000.0,38300000.0,210700000.0,1.0,458500000.0,50400000.0,46000000.0,408100000.0,1597500000.0,,3.0925,15.4145,1.0,748100000.0,0.06206548755448291,0.022573728180694638,0.19806874353373952,0.26903475495267654,0.03066166483974793,0.07073485260633904,0.156378127754148,0.2866613020653715,0.1918158567774936,,5219500000.0,1114500000.0,1473700000.0,1086700000.0,1562600000.0,74500000.0,2.0,2.0,1.0223345705874824,19.781208053691277,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2015-09-30,24962200000.0,,,15930000000.0,8092700000.0,1689300000.0,1590700000.0,3883200000.0,1054800000.0,766200000.0,58700000.0,311100000.0,1.0,555600000.0,88100000.0,68600000.0,467500000.0,1689300000.0,,2.5654,12.7772,1.0,1123400000.0,0.094677919606559,0.030694409947841134,0.1973114956736712,0.2716316440049444,0.04225589090705146,0.10783070946636679,0.12039039967037495,0.2892974866089823,0.20874368257812598,,5232300000.0,1162400000.0,1599800000.0,623500000.0,1689900000.0,78200000.0,2.0,2.0,0.9996449494052903,20.457800511508953,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2015-12-31,25073200000.0,,,16210200000.0,7885300000.0,2072800000.0,1851400000.0,-2661600000.0,-736600000.0,-574600000.0,-34000000.0,-225100000.0,0.0,95700000.0,-37000000.0,-43700000.0,58700000.0,2072800000.0,0.3768,2.7701,14.6585,0.0,-780300000.0,-0.07286977033213701,-0.022916899318794568,0.21588518184550645,0.27675082657048394,-0.029377981270838984,-0.07396993402355871,-0.022054403366396153,0.2931695220919748,0.2628688826043397,,5122900000.0,968100000.0,1358400000.0,855000000.0,1452000000.0,81700000.0,2.0,2.0,1.4275482093663912,16.626682986536107,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2016-03-31,22658200000.0,,,14288400000.0,7904000000.0,2073200000.0,1454500000.0,1148700000.0,274400000.0,161000000.0,23900000.0,71900000.0,0.0,-68800000.0,26000000.0,24700000.0,-94800000.0,2073200000.0,,2.5782,14.7663,0.0,299100000.0,0.020369433198380568,0.00710559532531269,0.14015843997562463,0.238878732480195,0.012110405945750325,0.027502706170067753,-0.08252807521546096,0.26038130060067904,0.26229757085020244,,4980000000.0,869500000.0,1294700000.0,839500000.0,1390300000.0,86900000.0,2.0,2.0,1.4911889520247428,14.89873417721519,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2016-06-30,23502800000.0,,,15460100000.0,7655900000.0,2072700000.0,1446200000.0,2338100000.0,575900000.0,386500000.0,46000000.0,155600000.0,0.0,174600000.0,65300000.0,49900000.0,109300000.0,2072700000.0,,2.158,12.4977,0.0,625800000.0,0.05048394049034078,0.016444849124359652,0.1653051623112784,0.24631110730935374,0.02450346341712477,0.05919659560471188,0.04674735896668235,0.2676532227021941,0.270732376337204,,4708400000.0,739100000.0,1168500000.0,540700000.0,1268000000.0,94600000.0,1.0,1.0,1.6346214511041008,12.35200845665962,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2016-09-30,24137700000.0,,,15966400000.0,7736700000.0,2073200000.0,1581300000.0,3539700000.0,882200000.0,627700000.0,69900000.0,245400000.0,1.0,542100000.0,101300000.0,75500000.0,440800000.0,2073200000.0,,2.6729,15.3989,1.0,957700000.0,0.08113278271097496,0.026004963190361965,0.17733141226657625,0.249230160748086,0.03654863553694014,0.08992956095373042,0.12453032742887815,0.2705596519479052,0.2679695477399925,,4364900000.0,600600000.0,995900000.0,514000000.0,1102300000.0,105800000.0,1.0,1.0,1.880794701986755,9.41304347826087,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2016-12-31,25734300000.0,,,17838800000.0,7503800000.0,2102400000.0,1328000000.0,-2292100000.0,-556100000.0,-321000000.0,-46400000.0,-134600000.0,1.0,-518600000.0,-44900000.0,-48900000.0,-563500000.0,2102400000.0,0.2572,2.669,14.7928,1.0,-605000000.0,-0.042778325648338174,-0.012473624695445377,0.14004624580079403,0.24261594171283976,-0.02160929187893201,-0.05788969623784639,0.24584442214563065,0.2639500894376336,0.28017804312481676,,4734400000.0,854200000.0,1176400000.0,-108200000.0,1277600000.0,93400000.0,2.0,2.0,1.6455854727614276,12.595289079229122,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2017-03-31,26598900000.0,,,18558000000.0,7663300000.0,2093600000.0,1397000000.0,1192600000.0,258600000.0,212000000.0,24000000.0,75700000.0,0.0,315900000.0,27100000.0,26300000.0,288800000.0,2093600000.0,,2.608,13.7671,0.0,284900000.0,0.027664322158861065,0.007970254409016914,0.1777628710380681,0.21683716250209625,0.009722206557414029,0.026504320019678382,0.24215998658393426,0.23888982056012076,0.2731982305273185,,4778300000.0,905200000.0,1160600000.0,275400000.0,1263400000.0,93500000.0,2.0,2.0,1.6571157194870982,12.41283422459893,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2017-06-30,28248500000.0,,,19746200000.0,7972500000.0,2074800000.0,1646100000.0,2447000000.0,577500000.0,451600000.0,47600000.0,-168300000.0,1.0,781600000.0,59900000.0,52500000.0,721700000.0,2074800000.0,,2.9564,15.5754,1.0,630000000.0,0.056644716211978675,0.01598668955873763,0.18455251328156927,0.2360032693093584,0.020443563375046464,0.057478128452420056,0.294932570494483,0.25745811197384555,0.260244590780809,,4887200000.0,970300000.0,1162200000.0,887800000.0,1267600000.0,95100000.0,3.0,3.0,1.6367939413064059,12.220820189274448,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2017-09-30,30372500000.0,,,21514100000.0,8314000000.0,2075300000.0,1716300000.0,3784700000.0,932800000.0,719100000.0,71200000.0,-291400000.0,1.0,1012000000.0,82700000.0,82200000.0,929300000.0,2075300000.0,,2.9047,15.2956,1.0,1015000000.0,0.08649266297810922,0.02367602271791917,0.19000184955214416,0.24646603429598118,0.030711992756605484,0.08978468231738423,0.2455412582239015,0.2681850609031099,0.24961510704835219,,5132200000.0,1061700000.0,1212800000.0,1376300000.0,1324900000.0,96400000.0,3.0,3.0,1.56638236848064,12.58091286307054,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
