ticker,final_score,label,fundamental_score,valuation_score,momentum_score,bear_score,sector_score,rank,selected,common_score,common_label,score_gap_vs_threshold,score_gap_vs_selected_cutoff,selected_cutoff_score,selected_rank,selection_reason,above_threshold,distance_to_threshold,selected_position
EFX,0.6153997380915411,0,0.4361380710433165,0.5068956773559954,0.5657171824304273,0.447014978120195,0.7696422289437826,136,False,0.6153997380915411,Outperform,0.045399738091541186,-0.1786068304619769,0.794006568553518,,qualified_but_not_selected,True,0.045399738091541186,
EW,0.6131683951203992,0,0.5315388471126133,0.4720946727983788,0.5363610586365386,0.5109851926927546,0.6105304927873977,137,False,0.6131683951203992,Outperform,0.04316839512039927,-0.1808381734331188,0.794006568553518,,qualified_but_not_selected,True,0.04316839512039927,
OMC,0.6129307996123698,0,0.5400793930318599,0.46431258660827196,0.5507125660508378,0.5094562936566797,0.6015127526758494,138,False,0.6129307996123698,Outperform,0.042930799612369897,-0.18107576894114819,0.794006568553518,,qualified_but_not_selected,True,0.042930799612369897,
MNST,0.6098490785910718,0,0.3926842451013203,0.47874713640165856,0.49651185324208585,0.4795783824274854,0.49413281808656245,139,False,0.6098490785910718,Outperform,0.039849078591071896,-0.18415748996244619,0.794006568553518,,qualified_but_not_selected,True,0.039849078591071896,
CLX,0.6057544174050374,0,0.5630954672608774,0.4981441873027221,0.5584122247315326,0.5178461153322188,0.6990682481562541,140,False,0.6057544174050374,Outperform,0.035754417405037486,-0.1882521511484806,0.794006568553518,,qualified_but_not_selected,True,0.035754417405037486,
LUMN,0.6043201885306171,0,0.4504543147350586,0.5291838741168315,0.5344161186504242,0.48573042300564123,0.7152234504194207,141,False,0.6043201885306171,Outperform,0.034320188530617135,-0.18968638002290095,0.794006568553518,,qualified_but_not_selected,True,0.034320188530617135,
STT,0.6040549776955529,0,0.4754273116509745,0.5228089679368987,0.5309622260180815,0.48569749278384566,0.6192246063892334,142,False,0.6040549776955529,Outperform,0.03405497769555299,-0.1899515908579651,0.794006568553518,,qualified_but_not_selected,True,0.03405497769555299,
DE,0.6039693627815926,0,0.5655631832497768,0.49198301144505663,0.512351549240971,0.5444938163613345,0.629980560996597,143,False,0.6039693627815926,Outperform,0.03396936278159268,-0.1900372057719254,0.794006568553518,,qualified_but_not_selected,True,0.03396936278159268,
TXN,0.603323984003252,0,0.4631960639235163,0.4644285744290002,0.5626605374798127,0.5283302162357012,0.7704709077364975,144,False,0.603323984003252,Outperform,0.033323984003252094,-0.190682584550266,0.794006568553518,,qualified_but_not_selected,True,0.033323984003252094,
LOW,0.6031488142930812,0,0.4346162468523362,0.5036743575430266,0.5188341025517368,0.4736569876506933,0.7706374609078226,145,False,0.6031488142930812,Outperform,0.03314881429308125,-0.19085775426043683,0.794006568553518,,qualified_but_not_selected,True,0.03314881429308125,
NKE,0.5929217771965679,0,0.48840123429957627,0.5074607372199832,0.5408548043285456,0.5093727904440609,0.5523295537188344,146,False,0.5929217771965679,Outperform,0.02292177719656796,-0.20108479135695012,0.794006568553518,,qualified_but_not_selected,True,0.02292177719656796,
ECL,0.5919263518364375,0,0.4426235008311952,0.5175503241607329,0.4830789442864853,0.4820568840809799,0.7177562530474082,147,False,0.5919263518364375,Outperform,0.02192635183643754,-0.20208021671708054,0.794006568553518,,qualified_but_not_selected,True,0.02192635183643754,
IEX,0.5910921086073995,1,0.46949971729893586,0.5055451017484879,0.48927664370704177,0.5323202387334889,0.629980560996597,148,False,0.5910921086073995,Outperform,0.021092108607399518,-0.20291445994611856,0.794006568553518,,qualified_but_not_selected,True,0.021092108607399518,
ABT,0.5881717894629193,0,0.5255824728524179,0.49702041385828144,0.5105246690231451,0.5193094860309204,0.6105304927873977,149,False,0.5881717894629193,Outperform,0.018171789462919308,-0.20583477909059877,0.794006568553518,,qualified_but_not_selected,True,0.018171789462919308,
MKC,0.58696390038918,0,0.5230842659521233,0.486125482492158,0.49643074380316654,0.4849287164563526,0.49413281808656245,150,False,0.58696390038918,Outperform,0.016963900389180053,-0.20704266816433803,0.794006568553518,,qualified_but_not_selected,True,0.016963900389180053,
AMGN,0.5863987484667553,1,0.5485626706711871,0.5071849337682455,0.506360905286208,0.5344135085527468,0.7704709077364975,151,False,0.5863987484667553,Outperform,0.016398748466755375,-0.2076078200867627,0.794006568553518,,qualified_but_not_selected,True,0.016398748466755375,
FCX,0.5855122290305873,0,0.4339607048967099,0.47186221678760015,0.5357673349507613,0.5320611433532806,0.437024634726692,152,False,0.5855122290305873,Outperform,0.015512229030587354,-0.20849433952293073,0.794006568553518,,qualified_but_not_selected,True,0.015512229030587354,
WYNN,0.5832397076543834,0,0.42376100532047684,0.4614650297188496,0.5455056960756899,0.5387464297703651,0.20760420962995413,153,False,0.5832397076543834,Outperform,0.013239707654383426,-0.21076686089913466,0.794006568553518,,qualified_but_not_selected,True,0.013239707654383426,
ADI,0.5829832832417372,0,0.4953192383153759,0.4440640611137958,0.5361754862616118,0.5182383059043211,0.7704709077364975,154,False,0.5829832832417372,Outperform,0.012983283241737253,-0.21102328531178083,0.794006568553518,,qualified_but_not_selected,True,0.012983283241737253,
ADP,0.5786319708369959,1,0.456293632276625,0.4905838384932487,0.5542085852351243,0.47048610077479114,0.7696422289437826,155,False,0.5786319708369959,Outperform,0.008631970836995961,-0.21537459771652212,0.794006568553518,,qualified_but_not_selected,True,0.008631970836995961,
MSCI,0.5762913505963221,0,0.6001126717656723,0.4876221532291671,0.5335391715176093,0.502355362973844,0.6192246063892334,156,False,0.5762913505963221,Outperform,0.006291350596322132,-0.21771521795719595,0.794006568553518,,qualified_but_not_selected,True,0.006291350596322132,
AJG,0.5755207540476069,1,0.47556226538232615,0.48884679786231067,0.4811844765426183,0.5175421423480865,0.6192246063892334,157,False,0.5755207540476069,Outperform,0.0055207540476069905,-0.2184858145059111,0.794006568553518,,qualified_but_not_selected,True,0.0055207540476069905,
ODFL,0.5754779734813998,0,0.48583151251760337,0.53009291524811,0.5601456585649037,0.5094242758209623,0.5226753407440969,158,False,0.5754779734813998,Outperform,0.005477973481399889,-0.2185285950721182,0.794006568553518,,qualified_but_not_selected,True,0.005477973481399889,
RL,0.5750695331133456,0,0.45604711954382066,0.5034172920384329,0.5450667895772423,0.5225181388023232,0.5523295537188344,159,False,0.5750695331133456,Outperform,0.005069533113345681,-0.2189370354401724,0.794006568553518,,qualified_but_not_selected,True,0.005069533113345681,
MTB,0.569753597106502,0,0.4085994050816594,0.465105349490955,0.5435124628406756,0.4913913631194398,0.42102405451994546,160,False,0.569753597106502,Outperform,-0.00024640289349797673,-0.22425297144701606,0.794006568553518,,below_threshold,False,-0.00024640289349797673,
HRL,0.5696587111430679,0,0.5005434182196274,0.48508327925753386,0.47418545822548747,0.4969475939990477,0.49413281808656245,161,False,0.5696587111430679,Outperform,-0.000341288856932076,-0.22434785741045016,0.794006568553518,,below_threshold,False,-0.000341288856932076,
HAS,0.5692607812545529,0,0.4530435497926814,0.4561976705161739,0.4786703350855962,0.3741827811875752,0.4803737367258548,162,False,0.5692607812545529,Outperform,-0.0007392187454470234,-0.2247457872989651,0.794006568553518,,below_threshold,False,-0.0007392187454470234,
AAL,0.5689970764319049,0,0.5134746032645316,0.44664832639503477,0.5345272067910816,0.5301508382982275,0.5822234027918087,163,False,0.5689970764319049,Outperform,-0.00100292356809506,-0.22500949212161314,0.794006568553518,,below_threshold,False,-0.00100292356809506,
QCOM,0.5687202569028541,0,0.5338793341841174,0.5243794848777389,0.5409545986236342,0.5336476701826306,0.7704709077364975,164,False,0.5687202569028541,Outperform,-0.0012797430971458468,-0.22528631165066393,0.794006568553518,,below_threshold,False,-0.0012797430971458468,
EMR,0.5677824354731327,0,0.4655041918492548,0.4667736421377574,0.4692448842193778,0.490898632464178,0.6822876714751154,165,False,0.5677824354731327,Outperform,-0.0022175645268672772,-0.22622413308038536,0.794006568553518,,below_threshold,False,-0.0022175645268672772,
HON,0.5666828694596147,0,0.47652707500907154,0.4709740876147594,0.5170281404541788,0.5201547024002412,0.7925252920771062,166,False,0.5666828694596147,Outperform,-0.0033171305403852935,-0.22732369909390338,0.794006568553518,,below_threshold,False,-0.0033171305403852935,
FISV,0.5649464839088134,0,0.47790914586041683,0.5081437723405237,0.568076913694461,0.5005037185356932,0.6192246063892334,167,False,0.5649464839088134,Outperform,-0.0050535160911865384,-0.22906008464470462,0.794006568553518,,below_threshold,False,-0.0050535160911865384,
EOG,0.5632287484818224,1,0.49038015585137007,0.49533014135683606,0.5482793813968739,0.4920221523708495,0.2521976637183544,168,False,0.5632287484818224,Outperform,-0.00677125151817759,-0.23077782007169567,0.794006568553518,,below_threshold,False,-0.00677125151817759,
PPG,0.5618826909610091,0,0.4091059311404308,0.46681094461489203,0.5393458077342114,0.4999758954491351,0.7177562530474082,169,False,0.5618826909610091,Outperform,-0.008117309038990883,-0.23212387759250896,0.794006568553518,,below_threshold,False,-0.008117309038990883,
TSN,0.560182164794885,0,0.4347340140005198,0.4865027203845709,0.5321461233016257,0.4743706235569423,0.49413281808656245,170,False,0.560182164794885,Outperform,-0.009817835205114922,-0.233824403758633,0.794006568553518,,below_threshold,False,-0.009817835205114922,
NDSN,0.5597617501826233,0,0.5478657873446526,0.49830349089835396,0.5410070112545009,0.5274940224032373,0.629980560996597,171,False,0.5597617501826233,Outperform,-0.010238249817376643,-0.23424481837089473,0.794006568553518,,below_threshold,False,-0.010238249817376643,
PTC,0.5576088181665046,1,0.43016967649492105,0.5217371013189944,0.5624781326822287,0.5141960660496221,0.7704709077364975,172,False,0.5576088181665046,Outperform,-0.012391181833495302,-0.23639775038701338,0.794006568553518,,below_threshold,False,-0.012391181833495302,
EXPE,0.5574425271600977,0,0.5972869102920194,0.44484274495751636,0.5612381885376377,0.4762663407549626,0.20760420962995413,173,False,0.5574425271600977,Outperform,-0.012557472839902273,-0.23656404139342035,0.794006568553518,,below_threshold,False,-0.012557472839902273,
CAT,0.5571534419035075,0,0.3931476829589158,0.48714601931354196,0.5264905794813814,0.5239973410503583,0.629980560996597,174,False,0.5571534419035075,Outperform,-0.012846558096492489,-0.23685312665001057,0.794006568553518,,below_threshold,False,-0.012846558096492489,
CPB,0.5569416261272754,1,0.4346024739688416,0.5149180074376235,0.46916152796623445,0.47802941198900606,0.49413281808656245,175,False,0.5569416261272754,Outperform,-0.013058373872724571,-0.23706494242624265,0.794006568553518,,below_threshold,False,-0.013058373872724571,
GPN,0.5534453653407571,0,0.45684824228159504,0.49443104286834316,0.5451869307159382,0.49697810130293296,0.6192246063892334,176,False,0.5534453653407571,Outperform,-0.016554634659242895,-0.24056120321276098,0.794006568553518,,below_threshold,False,-0.016554634659242895,
CTRA,0.5523950571135705,1,0.46806193871138163,0.5192014317915485,0.5329929751103147,0.4949418142677103,0.2521976637183544,177,False,0.5523950571135705,Outperform,-0.017604942886429442,-0.24161151143994752,0.794006568553518,,below_threshold,False,-0.017604942886429442,
ALGN,0.5519584899209927,0,0.4200477299199364,0.4831307757382182,0.5582809925231162,0.5020990390542198,0.6105304927873977,178,False,0.5519584899209927,Outperform,-0.018041510079007228,-0.2420480786325253,0.794006568553518,,below_threshold,False,-0.018041510079007228,
APD,0.5502843510782778,1,0.5262802692588553,0.5142631726188165,0.5159629338958663,0.4926025642267605,0.7177562530474082,179,False,0.5502843510782778,Outperform,-0.019715648921722173,-0.24372221747524025,0.794006568553518,,below_threshold,False,-0.019715648921722173,
HAL,0.5481177562035391,0,0.45360796458804076,0.4453190801470502,0.5587037777861106,0.485286914679369,0.2521976637183544,180,False,0.5481177562035391,Outperform,-0.021882243796460865,-0.24588881234997895,0.794006568553518,,below_threshold,False,-0.021882243796460865,
CMI,0.5449077964562761,0,0.4573988803579061,0.49208860177689007,0.5167861887255998,0.5211377794999976,0.629980560996597,181,False,0.5449077964562761,Outperform,-0.02509220354372388,-0.24909877209724196,0.794006568553518,,below_threshold,False,-0.02509220354372388,
A,0.5418592014824035,0,0.5794466745701616,0.4677241718255385,0.5416163764264654,0.5440328878540859,0.5334875048693354,182,False,0.5418592014824035,Outperform,-0.028140798517596433,-0.2521473670711145,0.794006568553518,,below_threshold,False,-0.028140798517596433,
NVR,0.5395124783971871,0,0.4159583734508574,0.5003935266975177,0.5504604100109024,0.4907394524170706,0.6990682481562541,183,False,0.5395124783971871,Outperform,-0.030487521602812873,-0.25449409015633095,0.794006568553518,,below_threshold,False,-0.030487521602812873,
KMB,0.538801338861113,0,0.3987037106020519,0.46831613977655917,0.5060041746265254,0.5159131536950936,0.6990682481562541,184,False,0.538801338861113,Outperform,-0.03119866113888692,-0.255205229692405,0.794006568553518,,below_threshold,False,-0.03119866113888692,
LMT,0.5374998636417712,1,0.46959001277600804,0.47663243814170186,0.4817694939595165,0.5561060442470057,0.6937541019379148,185,False,0.5374998636417712,Outperform,-0.03250013635822879,-0.2565067049117469,0.794006568553518,,below_threshold,False,-0.03250013635822879,
UAL,0.5340344764824237,0,0.5616627244281722,0.44062619982227363,0.5340794606136249,0.5209290900135524,0.5822234027918087,186,False,0.5340344764824237,Outperform,-0.0359655235175762,-0.2599720920710943,0.794006568553518,,below_threshold,False,-0.0359655235175762,
RMD,0.5338495745092176,0,0.4876785885150587,0.506087616508188,0.5402009723819821,0.5126763957057557,0.6105304927873977,187,False,0.5338495745092176,Outperform,-0.0361504254907824,-0.2601569940443005,0.794006568553518,,below_threshold,False,-0.0361504254907824,
