ticker,strategy,selected,selected_strategy,reject_reason,selection_score,rule_adjusted_rbs,risk_benefit_score,certainty_component,tp_quality_component,tp_floor_penalty_component,tp_pct,sl_pct,tp_feasibility,confidence,historical_tp_prob
HIG,balanced,False,aggressive,lower_selection_score,,,0.0027287323961660333,,,,0.253013725011012,0.10984324694345537,1.0,0.3074898585004852,0.5296296296296297
HOLX,balanced,False,aggressive,lower_selection_score,,,0.26332548487377083,,,,0.28696940119593817,0.1397203309171994,1.0,0.7352136554020583,0.5851851851851853
HON,balanced,False,aggressive,lower_selection_score,,,0.16159020901359086,,,,0.2362535158148758,0.08596779135800743,1.0,0.5640564835027911,0.48518518518518516
HPQ,balanced,False,aggressive,lower_selection_score,,,0.3141496370971318,,,,0.37333207748271036,0.23542890922207965,1.0,0.7562801424394656,0.5222222222222223
HRL,balanced,False,aggressive,lower_selection_score,,,0.18294288413856516,,,,0.2472265265852854,0.08885443688513014,1.0,0.5854170268840087,0.5888888888888889
HSIC,balanced,False,conservative,lower_selection_score,,,0.09859764318634841,,,,0.24480707821655495,0.09443103321007527,1.0,0.45471211497024167,0.5518518518518518
HST,balanced,True,balanced,selected,,,0.13518130539386294,,,,0.22065813817606236,0.1331995964668233,1.0,0.6465636553046253,0.45925925925925926
HSY,balanced,False,aggressive,lower_selection_score,,,0.09638737017499582,,,,0.2633451966981942,0.08,1.0,0.3869990997871864,0.5629629629629629
HUM,balanced,False,aggressive,lower_selection_score,,,0.22353776034142697,,,,0.4109144209413679,0.1426580461329574,1.0,0.4924631039816432,0.6592592592592593
IBM,balanced,False,aggressive,lower_selection_score,,,0.05678521127795937,,,,0.14122149707990633,0.17185107419180123,1.0,0.6993856505842837,0.39629629629629626
IDXX,balanced,False,aggressive,lower_selection_score,,,0.6247044876518677,,,,0.48091055618903417,0.11283773716832608,1.0,0.7161115000264097,0.6481481481481481
IEX,balanced,False,aggressive,lower_selection_score,,,0.2751747079582149,,,,0.32355053824654273,0.10655867685614565,1.0,0.6114465997727813,0.6148148148148148
IFF,balanced,False,conservative,lower_selection_score,,,0.07311740929812383,,,,0.26722816337550687,0.15251486661410263,1.0,0.4844873390619239,0.5037037037037037
ILMN,balanced,True,balanced,selected,,,0.5212468989463357,,,,0.55,0.24356488023020065,1.0,0.7267581814265933,0.4888888888888889
INTC,balanced,False,aggressive,lower_selection_score,,,0.16712307562948248,,,,0.2786926726359629,0.14913322559566236,1.0,0.6148303172858781,0.4740740740740741
INTU,balanced,False,aggressive,lower_selection_score,,,0.5824825275840958,,,,0.3977713695221503,0.08258776850419604,1.0,0.778228210318215,0.7592592592592593
IP,balanced,False,aggressive,lower_selection_score,,,0.20205943875663981,,,,0.2628293709816214,0.20734557923811398,1.0,0.7673346222728022,0.5
IRM,balanced,False,aggressive,lower_selection_score,,,0.08255985172534146,,,,0.2933306429117975,0.18049557537217834,1.0,0.504833479426876,0.4888888888888889
ISRG,balanced,False,aggressive,lower_selection_score,,,0.4229986806945017,,,,0.42480303304691747,0.1392714348310834,1.0,0.67236607736215,0.5629629629629629
IT,balanced,False,aggressive,lower_selection_score,,,0.48666809917144194,,,,0.3316952478068176,0.08,1.0,0.7853723143713359,0.6666666666666666
ITW,balanced,False,aggressive,lower_selection_score,,,0.29593274072425185,,,,0.3037513855165943,0.11977790562600238,1.0,0.7104314759749709,0.637037037037037
IVZ,balanced,False,aggressive,lower_selection_score,,,0.17350676646886132,,,,0.24613116584674577,0.2618724514982632,1.0,0.7920551930352396,0.4703703703703703
J,balanced,False,aggressive,lower_selection_score,,,0.23101767937419765,,,,0.33077329446137776,0.16955627803333057,1.0,0.6492539572503369,0.5259259259259259
JBHT,balanced,True,balanced,selected,,,0.12532793183634028,,,,0.3252984580192893,0.09605736893678261,1.0,0.38904409016634955,0.6037037037037037
JCI,balanced,False,conservative,lower_selection_score,,,0.05863099524263432,,,,0.30572508859285435,0.17414842148384255,1.0,0.44781783907573375,0.45925925925925926
JKHY,balanced,False,aggressive,lower_selection_score,,,0.15536346663610567,,,,0.30970330014419917,0.08,1.0,0.4078794283763558,0.6222222222222222
JNJ,balanced,True,balanced,selected,,,0.015242749646826181,,,,0.20238426442885682,0.08,1.0,0.3163679851113177,0.5407407407407407
JPM,balanced,False,aggressive,lower_selection_score,,,0.3027602152801568,,,,0.31967553855588826,0.12845122201690667,1.0,0.7031267043433836,0.5703703703703704
KEY,balanced,False,aggressive,lower_selection_score,,,0.3341742867392384,,,,0.3618208338623694,0.1719695882254843,1.0,0.7324172880393368,0.5925925925925926
KIM,balanced,False,conservative,lower_selection_score,,,0.101531869281859,,,,0.2754817127035979,0.16450027424983413,1.0,0.5365421914568337,0.5259259259259259
KLAC,balanced,False,conservative,lower_selection_score,,,0.08019175881635042,,,,0.3972619885531693,0.13053269272796028,1.0,0.3336036979631247,0.7037037037037037
KMB,balanced,True,balanced,selected,,,0.10604129680897935,,,,0.21106127596445326,0.09799979472474513,1.0,0.5401145318395247,0.5074074074074074
KMX,balanced,False,aggressive,lower_selection_score,,,0.4018278083198732,,,,0.40119463338993555,0.22355581983850378,1.0,0.8018183961625517,0.5148148148148148
KO,balanced,False,aggressive,lower_selection_score,,,-0.0018607468561489785,,,,0.16470897090333067,0.08,1.0,0.3218989205902966,0.5222222222222223
KR,balanced,False,aggressive,lower_selection_score,,,0.2929708486128542,,,,0.4200577288158017,0.11846608233230717,1.0,0.5083687913002843,0.5777777777777777
L,balanced,False,aggressive,lower_selection_score,,,0.028684069001920467,,,,0.1743587719520053,0.11758967441261203,1.0,0.4744548708666792,0.4555555555555556
LDOS,balanced,False,aggressive,lower_selection_score,,,0.28707755262926354,,,,0.33708361266716486,0.14969411950802541,1.0,0.6848513445185599,0.5444444444444444
LEN,balanced,False,aggressive,lower_selection_score,,,0.5288929287363053,,,,0.4297765464486885,0.19712211398277033,1.0,0.860479569612811,0.6407407407407407
LH,balanced,True,balanced,selected,,,0.16678828113682959,,,,0.23875281447161342,0.11520919763776764,1.0,0.6358781782714225,0.5814814814814815
LHX,balanced,False,aggressive,lower_selection_score,,,0.4501048061947676,,,,0.3556954249071026,0.1024224715335987,1.0,0.7494824002725227,0.5925925925925926
LKQ,balanced,False,aggressive,lower_selection_score,,,0.2043281795187919,,,,0.41730949084273183,0.15434365491728969,1.0,0.4832686705157033,0.5148148148148148
LLY,balanced,True,balanced,selected,,,0.2705637111258276,,,,0.39154610108930377,0.08,1.0,0.456544662474354,0.5962962962962963
LMT,balanced,False,aggressive,lower_selection_score,,,0.23890999337713464,,,,0.28827452089305694,0.08,1.0,0.5585109512963589,0.6185185185185185
LNC,balanced,False,aggressive,lower_selection_score,,,0.26673935279898353,,,,0.3571819369542051,0.22077162735275202,1.0,0.7105992222816986,0.48518518518518516
LNT,balanced,True,balanced,selected,,,0.004922878789983573,,,,0.22087855452241661,0.08,1.0,0.27556807130813493,0.6037037037037037
LOW,balanced,False,aggressive,lower_selection_score,,,0.4135805050173419,,,,0.4051516249483794,0.1152760314760207,1.0,0.6445143931130507,0.7333333333333334
LRCX,balanced,False,conservative,lower_selection_score,,,0.7750847389016284,,,,0.55,0.17532409534984256,1.0,0.8406240439589335,0.5814814814814815
LUMN,balanced,True,balanced,selected,,,0.019562432616014952,,,,0.24641982626223255,0.2917737039176569,1.0,0.5721469605595296,0.3185185185185185
LUV,balanced,True,balanced,selected,,,0.32166005190311464,,,,0.55,0.18875697425082524,1.0,0.5074123128817931,0.4777777777777778
LVS,balanced,False,aggressive,lower_selection_score,,,0.18152273187204163,,,,0.34767509163275573,0.28484736804070965,1.0,0.6702215113017879,0.4444444444444444
MA,balanced,True,balanced,selected,,,0.2292306891743056,,,,0.43204827983770455,0.08104899765245901,1.0,0.38133966174350403,0.6481481481481481
MAA,balanced,False,conservative,lower_selection_score,,,-0.026258965952504338,,,,0.25812917705793903,0.10363780686158482,1.0,0.24174470681092602,0.5851851851851853
MAR,balanced,False,aggressive,lower_selection_score,,,0.09343156621085437,,,,0.3961301751203215,0.1305996401575757,1.0,0.34882656560382846,0.6222222222222222
