Company Name,Ticker,Market Cap (mil),Sector,Industry
"Perspective Therapeutics, Inc.","CATX","402.91","Medical","Medical - Drugs"
"Cathay General Bancorp","CATY","3482.79","Finance","Banks - West"
"CAVA Group, Inc.","CAVA","7863.86","Retail-Wholesale","Retail - Restaurants"
"CCA Industries","CAWW","3.38","Consumer Staples","Cosmetics"
"Chubb Limited","CB","132567.61","Finance","Insurance - Property and Casualty"
"Colony Bankcorp","CBAN","426.73","Finance","Banks - Southeast"
"China BAK Battery","CBAT","90.42","Computer and Technology","Electronics - Power Generation"
"Central Bancompany","CBC","5820.39","Finance","Banks - Northeast"
"Companhia Brasileira de Distribuicao","CBDBY","325.66","Retail-Wholesale","Retail - Supermarkets"
"CB Financial Services","CBFV","171.32","Finance","Banks - Northeast"
"China Yibai United Guarantee International Holding","CBGH","2.81","Finance","Financial - Miscellaneous Services"
"Crescent Biopharma, Inc.","CBIO","175.74","Medical","Medical - Biomedical and Genetics"
"Commercial Bancgroup, Inc.","CBK","325.82","Finance","Banks - Southeast"
"CBL & Associates Properties","CBL","1155.51","Finance","REIT and Equity Trust - Retail"
"CeriBell, Inc.","CBLL","738.2","Medical","Medical - Products"
"China BlueChemical","CBLUY","1031.72","Basic Materials","Fertilizers"
"Chain Bridge Bancorp, Inc.","CBNA","231.43","Finance","Banks - Northeast"
"Capital Bancorp","CBNK","494.3","Finance","Banks - Northeast"
"Cboe Global Markets","CBOE","30661.36","Finance","Securities and Exchanges"
"CBRE Group","CBRE","43143.33","Finance","Real Estate - Operations"
"Cracker Barrel Old Country Store","CBRL","694.18","Retail-Wholesale","Retail - Restaurants"
"Chain Bridge I","CBRRF","81.62","Unclassified","Unclassified"
"Cardiac Biotech Solutions, Inc.","CBSC","9.76","Medical","Medical - Biomedical and Genetics"
"Commerce Bancshares","CBSH","6912.05","Finance","Banks - Midwest"
"Cabot","CBT","3955.79","Basic Materials","Chemical - Diversified "
"Community Financial System, Inc.","CBU","3308.72","Finance","Financial - Miscellaneous Services"
"Cibus, Inc.","CBUS","200.3","Consumer Staples","Agriculture - Operations"
"Cannabis Wheaton Income","CBWTF","121.94","Finance","Financial - Miscellaneous Services"
"CBIZ","CBZ","1511.27","Business Services","Consulting Services"
"Chemours","CC","2759.51","Basic Materials","Chemical - Diversified "
"Crescent Capital BDC","CCAP","476.46","Finance","Financial - SBIC & Commercial Industry"
"Coastal Financial","CCB","1193.07","Finance","Banks - West"
"Chino Commercial Bancorp","CCBC","56.21","Finance","Banks - Southwest"
"Capital City Bank Group","CCBG","719.45","Finance","Banks - Southeast"
"CCC Intelligent Solutions","CCC","3242.33","Computer and Technology","Internet - Software"
"C4 Therapeutics","CCCC","231.63","Medical","Medical - Biomedical and Genetics"
"CCL Industries Inc.","CCDBF","10773.78","Industrial Products","Commercial Printing"
"Capital Clean Energy Carriers Corp.","CCEC","1369.77","Transportation","Transportation - Shipping"
"CryoCell International","CCEL","27.43","Medical","Medical Services"
"Coca-Cola Europacific Partners","CCEP","49667.05","Consumer Staples","Beverages - Soft drinks"
"CHECHE GROUP","CCG","51.57","Auto-Tires-Trucks","Automotive - Original Equipment"
"Coca-Cola HBC","CCHGY","24073.95","Consumer Staples","Beverages - Soft drinks"
"CCH Holdings Ltd","CCHH","10.29","Retail-Wholesale","Retail - Restaurants"
"Crown Castle Inc.","CCI","38653.28","Finance","REIT and Equity Trust - Other"
"Cohen Circle Acquisition Corp. II","CCII","355.26","Unclassified","Unclassified"
"Churchill Capital Corp IX","CCIX","389.36","Business Services","Technology Services"
"Cameco","CCJ","52734.34","Oils-Energy","Alternative Energy - Other"
"Crown Holdings","CCK","13363.05","Industrial Products","Containers - Metal and Glass"
"Carnival","CCL","39092.29","Consumer Discretionary","Leisure and Recreation Services"
"CareCloud","CCLD","101.33","Medical","Medical Info Systems"
"CNB Financial","CCNE","859.82","Finance","Banks - Northeast"
"Clear Channel Outdoor","CCO","1178.61","Business Services","Advertising and Marketing"
"Capcom","CCOEY","10702.87","Consumer Discretionary","Gaming"
"Cogent Communications","CCOI","948.18","Computer and Technology","Wireless National"
"China Coal Energy","CCOZY","20434.91","Oils-Energy","Coal"
"Cross Country Healthcare","CCRN","286.32","Business Services","Staffing Firms"
"Century Communities","CCS","2023.66","Construction","Building Products - Home Builders"
"Consensus Cloud Solutions","CCSI","568.9","Computer and Technology","Internet - Software"
"CCSC Technology International Holdings Limited","CCTG","2.23","Computer and Technology","Electronics - Miscellaneous Products"
"Cactus Acquisition Corp. 1 Limited","CCTSF","46.29","Unclassified","Unclassified"
"Compania Cervecerias Unidas","CCU","2627.17","Consumer Staples","Beverages - Alcohol"
"Chaince Digital Holdings Inc.","CD","294.96","Business Services","Financial Transaction Services"
"Compass Digital Acquisition Corp.","CDAQF","85.71","Unclassified","Unclassified"
"Coeur Mining","CDE","15911.18","Basic Materials","Mining - Non Ferrous"
"City Developments","CDEVY","7325.89","Finance","Real Estate - Operations"
"Cardio Diagnostics Holdings, Inc.","CDIO","6.04","Medical","Medical - Biomedical and Genetics"
"Cadeler A/S Sponsored ADR","CDLR","2284.73","Transportation","Transportation - Shipping"
"Cardlytics","CDLX","46.94","Business Services","Technology Services"
"CareDx","CDNA","990.08","Medical","Medical Services"
"Canadian Tire Corporation, Limited","CDNAF","7434.5","Conglomerates","Diversified Operations"
"Cardinal Infrastructure Group Inc.","CDNL","1252.68","Construction","Engineering - R and D Services"
"Cadence Design Systems","CDNS","79240.56","Computer and Technology","Computer - Software"
"COPT DEFENSE PR","CDP","3653.21","Finance","REIT and Equity Trust - Other"
"Cadre Holdings, Inc.","CDRE","1713.98","Industrial Products","Security and Safety Services"
"Codere Online Luxembourg","CDRO","364.67","Consumer Discretionary","Gaming"
"CDT Equity Inc.","CDT","1.58","Medical","Medical - Drugs"
"CDT Environmental Technology Investment Holdings Limited","CDTG","2.85","Business Services","Waste Removal Services"
"CDW","CDW","16192.57","Computer and Technology","Computers - IT Services"
"Codexis","CDXS","99.81","Medical","Medical - Biomedical and Genetics"
"Cadiz","CDZI","443.81","Utilities","Utility - Water Supply"
"Celanese","CE","5813.62","Basic Materials","Chemical - Specialty"
"CECO Environmental","CECO","2138.46","Industrial Products","Pollution Control"
"Commercial National Financial","CEFC","57.46","Finance","Banks - Midwest"
"Constellation Energy Corporation","CEG","113286.83","Oils-Energy","Alternative Energy - Other"
"Camber Energy, Inc.","CEIN","8.95","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"Celcuity","CELC","4895.04","Medical","Medical - Biomedical and Genetics"
"Celsius","CELH","13074.87","Consumer Staples","Food - Miscellaneous"
"Celularity","CELU","37.78","Medical","Medical - Biomedical and Genetics"
"Creative Medical Technology Holdings, Inc.","CELZ","4.67","Medical","Medical - Biomedical and Genetics"
"CENNTRO INC","CENN","10.09","Auto-Tires-Trucks","Automotive - Domestic"
"Central Garden & Pet","CENT","2483.23","Consumer Discretionary","Consumer Products - Discretionary"
"Central Garden & Pet","CENTA","2179.36","Consumer Discretionary","Consumer Products - Discretionary"
"Century Aluminum","CENX","4994.73","Industrial Products","Metal Products - Procurement and Fabrication"
"Cantor Equity Partners IV, Inc.","CEPF","596.08","Unclassified","Unclassified"
"Cantor Equity Partners, Inc.","CEPO","266.48","Unclassified","Unclassified"
"Cantor Equity Partners VI, Inc.","CEPS","129.79","Unclassified","Unclassified"
"Cantor Equity Partners II Inc.","CEPT","342.8","Unclassified","Unclassified"
"Central Puerto","CEPU","2439.09","Oils-Energy","Alternative Energy - Other"
"Cantor Equity Partners V Inc.","CEPV","322.35","Unclassified","Unclassified"
"Cerus","CERS","457.17","Medical","Medical - Products"
"Certara","CERT","1065.54","Medical","Medical - Biomedical and Genetics"
"Central Securities Corporation","CET","1544.84","Finance","Financial - Investment Funds"
"Cemtrex","CETX","9.72","Computer and Technology","Electronics - Miscellaneous Components"
"Clean Energy Technologies, Inc.","CETY","4.63","Oils-Energy","Alternative Energy - Other"
"Eaton Vance California Municipal Income Trust","CEV","75.4","Finance","Financial - Investment Funds"
"Ceva, Inc.","CEVA","483.48","Computer and Technology","Internet - Software"
"CF Industries","CF","14990.72","Basic Materials","Fertilizers"
"CF Bankshares","CFBK","193.11","Finance","Banks - Northeast"
"C&F Financial","CFFI","241.05","Finance","Banks - Southeast"
"Capitol Federal Financial","CFFN","947.86","Finance","Financial - Savings and Loan"
"Citizens Financial Group","CFG","26378.73","Finance","Banks - Northeast"
"Confluent","CFLT","10951.08","Computer and Technology","Internet - Software"
"California First Leasing","CFNB","255.46","Finance","Banks - West"
"Cullen/Frost Bankers","CFR","8970.86","Finance","Banks - Southwest"
"Carlyle Group","CG","18341.29","Finance","Financial - Investment Management"
"Centerra Gold","CGAU","3850.27","Basic Materials","Mining - Gold"
"Carlyle Secured Lending","CGBD","583.46","Finance","Financial - SBIC & Commercial Industry"
"Canopy Growth","CGC","472.83","Medical","Medical - Products"
"Cartesian Growth Corporation III","CGCT","354.66","Unclassified","Unclassified"
"Capstone Green Energy","CGEH","137.33","Oils-Energy","Alternative Energy - Other"
"Cullinan Therapeutics, Inc.","CGEM","843.02","Medical","Medical - Biomedical and Genetics"
"Cap Gemini","CGEMY","20408.43","Business Services","Outsourcing"
"Cargojet Inc.","CGJTF","1071.99","Transportation","Transportation - Air Freight and Cargo"
"Cognyte Software","CGNT","466.27","Computer and Technology","Internet - Software"
"Cognex","CGNX","9591.17","Computer and Technology","Electronics - Testing Equipment"
"CG Oncology, Inc.","CGON","4706.06","Medical","Medical - Biomedical and Genetics"
"Creative Global Technology Holdings Limited","CGTL","47.37","Consumer Discretionary","Consumer Products - Discretionary"
"Cognition Therapeutics","CGTX","91.81","Medical","Medical - Biomedical and Genetics"
"Chagee Holdings Limited - Sponsored ADR","CHA","1971.33","Consumer Staples","Beverages - Soft drinks"
"Crane Harbor Acquisition Corp.","CHAC","235.46","Unclassified","Unclassified"
"Core AI Holdings, Inc.","CHAI","37.26","Business Services","Technology Services"
"Chiba Bank","CHBAY","8860.73","Finance","Banks - Foreign"
"Comstock Holding Companies","CHCI","117.02","Construction","Building Products - Home Builders"
"City Holding","CHCO","1747.63","Finance","Banks - Southeast"
"Community Healthcare Trust","CHCT","479.15","Finance","REIT and Equity Trust - Other"
"Church & Dwight Co.","CHD","24871.83","Consumer Staples","Consumer Products - Staples"
"Churchill Downs","CHDN","6707.21","Consumer Discretionary","Gaming"
"Chemed","CHE","6633.38","Medical","Medical - Outpatient and Home Healthcare"
"The Chef's Warehouse","CHEF","2946.65","Consumer Staples","Food - Miscellaneous"
"CochLear Ltd. Unsponsored ADR","CHEOY","8939.98","Medical","Medical Services"
"China Everbright Environment Group??","CHFFF","3900.79","Business Services","Waste Removal Services"
"Chugai Pharmaceutical Co.","CHGCY","108241.92","Medical","Medical - Drugs"
"Chegg","CHGG","70.42","Computer and Technology","Internet - Software"
"Choice Hotels International","CHH","5009.04","Consumer Discretionary","Hotels and Motels"
"Check Point Software Technologies","CHKP","16765.73","Computer and Technology","Security"
"Chesapeake Granite Wash Trust","CHKR","19.4","Oils-Energy","Oil and Gas - Royalty Trust - United States"
"Chemung Financial Corp","CHMG","269.25","Finance","Banks - Southeast"
"Cherry Hill Mortgage Investment","CHMI","95.52","Finance","REIT and Equity Trust"
"China Natural Resources","CHNR","4.29","Basic Materials","Mining - Miscellaneous"
"ChowChow Cloud International Holdings Limited","CHOW","21.21","Computer and Technology","Internet - Software"
"ChampionsGate Acquisition Corporation","CHPG","89.35","Unclassified","Unclassified"
"ChargePoint","CHPT","149.49","Auto-Tires-Trucks","Automotive - Original Equipment"
"Cheer Holding, Inc.","CHR","6.42","Computer and Technology","Communication - Infrastructure"
"Chord Energy Corporation","CHRD","5966.31","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"Coherus Oncology, Inc.","CHRS","249.62","Medical","Medical - Biomedical and Genetics"
"C.H. Robinson Worldwide","CHRW","21037.41","Transportation","Transportation - Services"
"Chanson International Holding","CHSN","86.92","Consumer Discretionary","Consumer Products - Discretionary"
"China High Speed Transmission Equipment Group","CHSTY","367.78","Industrial Products","Manufacturing - General Industrial "
"Chunghwa Telecom","CHT","33783.68","Utilities","Diversified Communication Services"
"Charter Communications","CHTR","29359.53","Consumer Discretionary","Cable Television"
"Charlie's Holdings","CHUC","78.49","Consumer Staples","Tobacco"
"Chewy","CHWY","10574.16","Retail-Wholesale","Internet - Commerce"
"Chiyoda","CHYCY","2557.05","Construction","Engineering - R and D Services"
"Chykingyoung Investment Development","CHYI","77.11","Computer and Technology","Internet - Services"
"Chime Financial, Inc.","CHYM","7652.63","Finance","Financial - Miscellaneous Services"
"Cigna Group","CI","75062.36","Medical","Medical - HMOs"
"Citizens","CIA","282.38","Finance","Insurance - Life Insurance"
"China Mengniu Dairy","CIADY","8029.33","Consumer Staples","Food - Dairy Products"
"Grupo Cibest S.A. - Sponsored ADR","CIB","18209.79","Conglomerates","Diversified Operations"
"Cib Marine Bancshares","CIBH","55.56","Finance","Banks - Northeast"
"China Construction Bank","CICHY","270364","Finance","Banks - Foreign"
"China Cosco","CICOY","28925.65","Transportation","Transportation - Shipping"
"Ciena","CIEN","48479.53","Computer and Technology","Communication - Components"
"MFS Intermediate High Income Fund","CIF","30.44","Finance","Financial - Investment Funds"
"CIPHER DIGITAL","CIFR","6763.98","Business Services","Technology Services"
"Colliers International Group","CIGI","5684.66","Finance","Real Estate - Operations"
"Concorde International Group Ltd.","CIGL","34.98","Industrial Products","Security and Safety Services"
"China Merchants Bank","CIHKY","159490.31","Finance","Banks - Foreign"
"TIANCI INTERNATIONAL, INC.","CIIT","14.72","Transportation","Transportation - Shipping"
"Credit Suisse Asset Management Income Fund, Inc.","CIK","149.36","Finance","Financial - Investment Funds"
"Chimera Investment","CIM","1108.42","Finance","REIT and Equity Trust"
"Cincinnati Financial","CINF","25012.41","Finance","Insurance - Property and Casualty"
"Cingulate Inc.","CING","51.67","Medical","Medical - Biomedical and Genetics"
"CI&T","CINT","642.43","Computer and Technology","Internet - Software"
"CION Investment Corporation","CION","438.57","Finance","Financial - SBIC & Commercial Industry"
"CISO Global, Inc.","CISO","14.45","Computer and Technology","Internet - Software"
"C3is Inc.","CISS","1.8","Transportation","Transportation - Shipping"
"CitroTech Inc.","CITR","129.74","Industrial Products","Security and Safety Services"
"Civista Bancshares","CIVB","461.58","Finance","Banks - Midwest"
"CompX International","CIX","288.48","Industrial Products","Office Supplies"
"Citizens Holding Company","CIZN","53.43","Finance","Banks - Southeast"
"CHOW TAI FOOK","CJEWY","18299.47","Retail-Wholesale","Retail - Jewelry"
"Callan JMB Inc.","CJMB","6.89","Transportation","Transportation - Services"
"Central Japan Railway Co.","CJPRY","28824.3","Transportation","Transportation - Rail"
"Corus Entertainment","CJREF","3.73","Consumer Discretionary","Broadcast Radio and Television"
"CK Hutchison","CKHUY","30602.05","Conglomerates","Diversified Operations"
"VESUVIUS PLC","CKSNY","1675.16","Construction","Engineering - R and D Services"
"CKX Lands","CKX","21.21","Finance","Real Estate - Operations"
"ColgatePalmolive","CL","79083.03","Consumer Staples","Consumer Products - Staples"
"Clarus","CLAR","123.65","Consumer Discretionary","Leisure and Recreation Products"
"CORE LABS INC","CLB","818.12","Oils-Energy","Oil and Gas - Field Services"
"Columbia Financial","CLBK","1875.55","Finance","Financial - Miscellaneous Services"
"Cellebrite DI Ltd.","CLBT","3024.51","Computer and Technology","Internet - Software"
"Calidi Biotherapeutics, Inc.","CLDI","5.45","Medical","Medical - Biomedical and Genetics"
"Chatham Lodging Trust REIT","CLDT","354.65","Finance","REIT and Equity Trust - Other"
"Celldex Therapeutics","CLDX","1650.6","Medical","Medical - Biomedical and Genetics"
"ClevelandCliffs","CLF","6040.44","Basic Materials","Steel - Producers"
"Clearfield","CLFD","447.92","Computer and Technology","Wireless Equipment"
"CollPlant Biotechnologies","CLGN","7.93","Medical","Medical - Biomedical and Genetics"
"Clean Harbors","CLH","15061.63","Business Services","Waste Removal Services"
"Click Holdings Limited","CLIK","3.49","Business Services","Business - Information Services"
"ClearSign Technologies","CLIR","31.5","Industrial Products","Industrial Services"
"Cellnex Telecom SA - Unsponsored ADR","CLLNY","24703.28","Computer and Technology","Wireless Non-US "
"Cornerstone Strategic Investment Fund, Inc.","CLM","1994.25","Finance","Financial - Investment Funds"
"Climb Global Solutions, Inc.","CLMB","460.28","Business Services","Technology Services"
"Calumet, Inc.","CLMT","2537.56","Oils-Energy","Oil and Gas - Integrated - United States"
"Clean Energy Fuels","CLNE","557.03","Utilities","Utility - Gas Distribution"
"Clene","CLNN","54.68","Medical","Medical - Biomedical and Genetics"
"Clover Health Investments","CLOV","1038.52","Medical","Medical Info Systems"
"Coloplast A/S Sponsored ADR","CLPBY","17353.26","Medical","Medical - Instruments"
"CLP","CLPHY","25062.39","Utilities","Utility - Electric Power"
"Clip Money, Inc.","CLPMF","11.38","Finance","Banks - Foreign"
"Clipper Realty","CLPR","54.25","Finance","REIT and Equity Trust - Other"
"CLPS","CLPS","31.53","Computer and Technology","Computers - IT Services"
"ClearPoint Neuro","CLPT","413.56","Medical","Medical - Instruments"
"Cellectar Biosciences","CLRB","14.25","Medical","Medical - Products"
"ClimateRock","CLRCF","30.68","Unclassified","Unclassified"
"ClearOne","CLRO","10.41","Computer and Technology","Communication - Components"
"Celestica","CLS","34091.1","Computer and Technology","Electronics - Manufacturing Services"
"Clearside Biomedical","CLSDQ","3.21","Medical","Medical - Biomedical and Genetics"
"Cleanspark","CLSK","2647.04","Finance","Financial - Miscellaneous Services"
"Catalyst Bancorp","CLST","69.27","Finance","Banks - Southeast"
"Clarivate","CLVT","1554.37","Computer and Technology","Computers - IT Services"
"Clearwater Paper","CLW","230.63","Basic Materials","Paper and Related Products"
"Euro Tech","CLWT","9.57","Industrial Products","Pollution Control"
"Calloway's Nursery","CLWY","13.63","Retail-Wholesale","Retail - Miscellaneous"
"Clorox","CLX","15313.49","Consumer Staples","Consumer Products - Staples"
"Climb Bio, Inc.","CLYM","433.65","Medical","Medical - Biomedical and Genetics"
"Canadian Imperial Bank of Commerce","CM","90927.96","Finance","Banks - Foreign"
"CHINA MINSHENG","CMAKY","22854.42","Finance","Banks - Foreign"
"Cambium Networks","CMBM","33.61","Computer and Technology","Wireless National"
"Commercial Metals","CMC","8224.89","Basic Materials","Steel - Producers"
"Caledonia Mining","CMCL","590.46","Basic Materials","Mining - Gold"
"Cheetah Mobile","CMCM","173.1","Computer and Technology","Internet - Software"
"Columbus McKinnon","CMCO","551.51","Industrial Products","Manufacturing - Material Handling"
"Comcast","CMCSA","113727.91","Consumer Discretionary","Cable Television"
"CREATIVE MDA&CT","CMCT","1.85","Finance","REIT and Equity Trust - Other"
"Costamare Bulkers Holdings Limited","CMDB","445.69","Transportation","Transportation - Services"
"CME Group","CME","115042.14","Finance","Securities and Exchanges"
"China Marine Food Group","CMFO","1.86","Consumer Staples","Food - Meat Products"
"Chipotle Mexican Grill","CMG","47525.42","Retail-Wholesale","Retail - Restaurants"
"Chemring Group PLC - Unsponsored ADR","CMGMY","1836.83","Aerospace","Aerospace - Defense Equipment"
"Community Heritage Financial","CMHF","90.59","Finance","Banks - Northeast"
"Cummins","CMI","82965.59","Auto-Tires-Trucks","Automotive - Internal Combustion Engines"
"Cumulus Media","CMLS","1.39","Consumer Discretionary","Broadcast Radio and Television"
"Chemomab Therapeutics","CMMB","9.54","Medical","Medical - Biomedical and Genetics"
"Clearmind Medicine Inc.","CMND","1.74","Medical","Medical - Drugs"
"Compass Minerals International","CMP","1022.72","Basic Materials","Chemical - Diversified "
"CompuMed","CMPD","6.17","Medical","Medical - Products"
"Compass Group","CMPGY","50247.72","Retail-Wholesale","Retail - Restaurants"
"Cimpress","CMPR","1738.82","Consumer Discretionary","Consumer Services - Miscellaneous"
"COMPASS Pathways","CMPS","767.18","Medical","Medical Services"
"Compass Therapeutics, Inc.","CMPX","1067.17","Medical","Medical - Biomedical and Genetics"
"Commerce.com, Inc.","CMRC","227.54","Retail-Wholesale","Internet - Commerce"
"Costamare","CMRE","2019.32","Transportation","Transportation - Shipping"
"CMS Energy","CMS","23527","Utilities","Utility - Electric Power"
"Core Molding Technologies","CMT","170.07","Industrial Products","Rubber - Plastics"
"Claros Mortgage Trust, Inc.","CMTG","314.09","Finance","REIT and Equity Trust - Other"
"Comtech Telecommunications","CMTL","165.92","Computer and Technology","Wireless Equipment"
"Cementos Argos S.A. Sponsored ADR","CMTOY","4864.77","Construction","Building Products - Concrete and Aggregates"
"Community Ban","CMTV","177.25","Finance","Banks - Northeast"
"MFS HI YLD","CMU","91.01","Finance","Financial - Investment Funds"
"Commonwealth Bank of Australia","CMWAY","213667.69","Finance","Banks - Foreign"
"CNA Financial","CNA","12751.42","Finance","Insurance - Property and Casualty"
"Commercial National Financial","CNAF","24.33","Finance","Banks - Northeast"
"Chester Bancorp","CNBA","2.95","Finance","Banks - Midwest"
"Centene","CNC","20836.34","Medical","Medical - HMOs"
"Coincheck Group N.V.","CNCK","328.95","Finance","Financial - Miscellaneous Services"
"Concord Acquisition Corp II","CNDA","80.07","Unclassified","Unclassified"
"Conduent","CNDT","233.61","Business Services","Outsourcing"
"ZW Data Action Technologies","CNET","2.65","Business Services","Advertising and Marketing"
"CN Energy Group","CNEY","5.66","Oils-Energy","Alternative Energy - Other"
"CNFinance","CNF","37.79","Finance","Financial - Mortgage & Related Services"
"CFN Enterprises ","CNFN","9.1","Finance","Financial - Miscellaneous Services"
"Canna-Global Acquisition Corp.","CNGL","59.49","Business Services","Financial Transaction Services"
"CNH Industrial","CNH","15891.66","Industrial Products","Manufacturing - Farm Equipment"
"Canadian National Railway","CNI","68239.95","Transportation","Transportation - Rail"
"Cinemark","CNK","2964.4","Consumer Discretionary","Film and Television Production and Distribution"
"Collective Mining Ltd.","CNL","1850.15","Basic Materials","Mining - Gold"
"Core & Main","CNM","10919.36","Industrial Products","Manufacturing - Tools & Related Products"
"CONMED","CNMD","1420.19","Medical","Medical - Dental Supplies"
"Cannae","CNNE","579.1","Finance","Financial - Investment Management"
"Canacol Energy","CNNEQ","1.74","Oils-Energy","Oil and Gas - Integrated - International"
"CNO Financial Group","CNO","3968.61","Finance","Insurance - Multi line"
"ConnectOne Bancorp","CNOB","1349.33","Finance","Banks - Northeast"
"CenterPoint Energy","CNP","27942.91","Utilities","Utility - Electric Power"
"Canadian Natural Resources Limited","CNQ","88658.66","Oils-Energy","Oil and Gas - Exploration and Production - Canadian"
"Core Natural Resources, Inc.","CNR","4528.51","Oils-Energy","Coal"
"Conrad Industries","CNRD","141.76","Aerospace","Aerospace - Defense"
"Cohen & Steers","CNS","3415.47","Finance","Financial - Investment Management"
"CNS Pharmaceuticals","CNSP","1.84","Medical","Medical - Biomedical and Genetics"
"Centessa Pharmaceuticals","CNTA","3873.22","Medical","Medical - Drugs"
"Connect Biopharma Holdings","CNTB","136.96","Medical","Medical - Biomedical and Genetics"
"Canton Strategic Holdings, Inc.","CNTN","171.65","Finance","Financial - Miscellaneous Services"
"Context Therapeutics Inc.","CNTX","227.86","Medical","Medical - Drugs"
"Century Casinos","CNTY","47.11","Consumer Discretionary","Gaming"
"CONAVI MEDICAL","CNVIF","21","Medical","Medical - Instruments"
"CINEVERSE CORP","CNVS","61.97","Consumer Discretionary","Media Conglomerates"
"CNX Resources","CNX","5347.35","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"Concentrix","CNXC","1867.4","Business Services","Business - Services"
"PC Connection","CNXN","1517.74","Retail-Wholesale","Retail - Computer Hardware"
"CONX","CNXX","77.61","Unclassified","Unclassified"
"Envoy Medical, Inc.","COCH","21.39","Medical","Medical - Instruments"
"Vita Coco Company","COCO","3153.22","Consumer Staples","Beverages - Soft drinks"
"Cocrystal Pharma","COCP","13.72","Medical","Medical - Biomedical and Genetics"
"Coda Octopus Group","CODA","160.49","Computer and Technology","Electronics - Semiconductors"
"Compass Diversified Holdings","CODI","609.41","Finance","Financial - Investment Funds"
"CoDiagnostics","CODX","5.27","Medical","Medical Services"
"Compagnie de Saint-Gobain - Unsponsored ADR","CODYY","51560.8","Construction","Building Products - Miscellaneous"
"51Talk Online Education Group Sponsored ADR","COE","162.54","Consumer Discretionary","Consumer Services - Miscellaneous"
"Coeptis Therapeutics Holdings, Inc.","COEP","64.4","Medical","Medical - Biomedical and Genetics"
"Capital One Financial","COF","122246.87","Finance","Financial - Consumer Loans"
"ChoiceOne Financial Services","COFS","431.18","Finance","Financial - Miscellaneous Services"
"Cogent Biosciences","COGT","6359.26","Medical","Medical - Biomedical and Genetics"
"Institutional Financial Markets","COHN","26.92","Finance","Financial - Miscellaneous Services"
"COHERENT CORP","COHR","47781.63","Business Services","Technology Services"
"Cohu","COHU","1434.78","Computer and Technology","Electronics - Manufacturing Machinery"
"Croda International","COIHY","6132.79","Basic Materials","Chemical - Specialty"
"Coinbase Global","COIN","42788.1","Finance","Financial - Miscellaneous Services"
"Coca-Cola Consolidated, Inc.","COKE","16679.73","Consumer Staples","Beverages - Soft drinks"
"Columbia Banking System","COLB","8931.75","Finance","Banks - West"
"Americold Realty Trust","COLD","3725.9","Finance","REIT and Equity Trust - Other"
"Collegium Pharmaceutical","COLL","1427.87","Medical","Medical - Drugs"
"Columbia Sportswear","COLM","3327.1","Consumer Discretionary","Textile - Apparel"
"Compass","COMP","5311.69","Computer and Technology","Internet - Software"
"Concentra Group Holdings Parent, Inc.","CON","3000.46","Medical","Medical Services"
"The Cooper Companies","COO","16375.92","Medical","Medical - Dental Supplies"
"Traeger","COOK","116.85","Consumer Discretionary","Consumer Products - Discretionary"
"Australian Oilseeds Holdings Limited","COOT","18.42","Consumer Staples","Food - Miscellaneous"
"ConocoPhillips","COP","136658.08","Oils-Energy","Oil and Gas - Integrated - United States"
"Cencora, Inc.","COR","70883.09","Medical","Medical Services"
"Corcept Therapeutics","CORT","3837.27","Medical","Medical - Drugs"
"Core Scientific, Inc.","CORZ","5540.8","Finance","Financial - Miscellaneous Services"
"Cosmos Health Inc.","COSM","13.62","Medical","Medical - Drugs"
"CoastalSouth Bancshares, Inc.","COSO","302.59","Finance","Banks - Southeast"
"Costco Wholesale","COST","443172.53","Retail-Wholesale","Retail - Discount Stores"
"Coty","COTY","2349.62","Consumer Staples","Cosmetics"
"Coursera","COUR","1059.66","Business Services","Technology Services"
"Covestro","COVTY","14711.32","Basic Materials","Chemical - Plastic"
"Coya Therapeutics, Inc.","COYA","102.53","Medical","Medical - Biomedical and Genetics"
"Canadian Pacific Kansas City Limited","CP","77467.23","Transportation","Transportation - Rail"
"Copa Holdings","CPA","5986.14","Transportation","Transportation - Airline"
"Corpay, Inc.","CPAY","23699.69","Business Services","Financial Transaction Services"
"The Campbell's Company","CPB","8133.1","Consumer Staples","Food - Miscellaneous"
"Central Plains Bancshares, Inc.","CPBI","74.47","Finance","Banks - Midwest"
"Cathay Pacific Airways","CPCAY","11207.9","Transportation","Transportation - Airline"
"CPB","CPF","881.02","Finance","Banks - West"
"Canterbury Park Holding","CPHC","79.29","Consumer Discretionary","Gaming"
"China Pharma Holdings","CPHI","3.08","Medical","Medical - Generic Drugs"
"Cumberland Pharmaceuticals","CPIX","58.63","Medical","Medical - Drugs"
"Chesapeake Utilities","CPK","3194.02","Utilities","Utility - Gas Distribution"
"Chesapeake Financial Shares","CPKF","150.63","Finance","Banks - Southeast"
"Golden Dragon Holding Co.","CPMD","2.37","Medical","Medical - Drugs"
"Mosaic ImmunoEngineering","CPMV","2.9","Medical","Medical - Biomedical and Genetics"
"Coupang","CPNG","33957.38","Retail-Wholesale","Internet - Commerce"
"Pop Culture Group Co.","CPOP","5.33","Business Services","Advertising and Marketing"
"Capri Holdings","CPRI","2422.56","Retail-Wholesale","Retail - Apparel and Shoes"
